,Speaker,Utterance,Unified
5,M,Yeah,M|Yeah
6,A,"and, uh, I've seen, uh, a lot of people get convicted, sentenced, and then just nothing happens,  just endless, endless, endless appeals.","A|and, uh, I've seen, uh, a lot of people get convicted, sentenced, and then just nothing happens,  just endless, endless, endless appeals."
7,M,"Right. Yeah, I think that's true.","M|Right. Yeah, I think that's true."
8,A,"Yeah, what's amazing is some of them have been on death row for a number of years.","A|Yeah, what's amazing is some of them have been on death row for a number of years."
9,M,I know.,M|I know.
10,A,"And, uh, here in Maryland I know we have a real problem with overcrowding in prisons, uh, just,","A|And, uh, here in Maryland I know we have a real problem with overcrowding in prisons, uh, just,"
11,M,Yeah,M|Yeah
12,A,"Yeah, but I mean, in, here it's, uh, to the point where they were letting prisoners go. Uh, commuting the sentences of those that were in, in jail for lesser crimes,  in order to put more people in, into the jails.","A|Yeah, but I mean, in, here it's, uh, to the point where they were letting prisoners go. Uh, commuting the sentences of those that were in, in jail for lesser crimes,  in order to put more people in, into the jails."
13,M,Right.,M|Right.
14,A,"And it was just, uh, amazing to me, and of course they made a big deal out of the, the few that got out and turned around and committed a crime within five days of getting out,  and being rearrested an.","A|And it was just, uh, amazing to me, and of course they made a big deal out of the, the few that got out and turned around and committed a crime within five days of getting out,  and being rearrested an."
15,M,"Oh, yeah. Yeah, I, I don't know, I guess I don, I'm kind of, I think I'm, I can't really see the, uh the rehabilitation aspect of it.","M|Oh, yeah. Yeah, I, I don't know, I guess I don, I'm kind of, I think I'm, I can't really see the, uh the rehabilitation aspect of it."
16,A,"Uh, I can't remember. Refresh my memory.","A|Uh, I can't remember. Refresh my memory."
17,M,"Well, I, I think it was, it was the, it's the, uh the one thing that, uh","M|Well, I, I think it was, it was the, it's the, uh the one thing that, uh"
18,A,"Um, I don't remember myself.","A|Um, I don't remember myself."
19,M,"Well, it was, it's, it really was a big political turn, uh","M|Well, it was, it's, it really was a big political turn, uh"
20,A,"Um, I think if they, if they started executing them on a regular basis, uh, that I think it might make a difference. Right now,  I don't see it making a difference.","A|Um, I think if they, if they started executing them on a regular basis, uh, that I think it might make a difference. Right now,  I don't see it making a difference."
21,M,Yeah.,M|Yeah.
22,A,"I don't see someone not going out there and committing murder because they're afraid they're going to get sentenced to death. I mean,  most people out there committing murders don't care.","A|I don't see someone not going out there and committing murder because they're afraid they're going to get sentenced to death. I mean,  most people out there committing murders don't care."
23,M,Yeah. That's true.,M|Yeah. That's true.
24,A,They just don't care.,A|They just don't care.
25,M,Yeah.,M|Yeah.
26,A,Yeah.,A|Yeah.
27,M,"And so it's, you know, it becomes a double whammy.","M|And so it's, you know, it becomes a double whammy."
28,A,"Yeah, yeah, and there's, uh, there's a lot of people here in Baltimore that, uh, have and we just had, uh, a real big cocaine bust, and of course, you know, they're, they're playing it up real big that it was, looked like it was a very, very small ring and they just happened to get lucky and catch the guy.","A|Yeah, yeah, and there's, uh, there's a lot of people here in Baltimore that, uh, have and we just had, uh, a real big cocaine bust, and of course, you know, they're, they're playing it up real big that it was, looked like it was a very, very small ring and they just happened to get lucky and catch the guy."
29,M,"Oh, really?","M|Oh, really?"
30,A,"But, I mean, uh, Baltimore has, uh, an all time record for the number of deaths so far this year. I think they've got over a hundred dead already this year.","A|But, I mean, uh, Baltimore has, uh, an all time record for the number of deaths so far this year. I think they've got over a hundred dead already this year."
31,M,Wow.,M|Wow.
32,A,"Well, it's kind of, it's kind of moved up and you have to remember that it, it, it, uh, there's, I think, X number of people out there that are going to commit murders,","A|Well, it's kind of, it's kind of moved up and you have to remember that it, it, it, uh, there's, I think, X number of people out there that are going to commit murders,"
33,M,"Yeah,","M|Yeah,"
34,A,"and, uh, once you kill off a few of them","A|and, uh, once you kill off a few of them"
35,M,Yeah.,M|Yeah.
36,A,"I mean if you murder a guy because he murdered your partner or something like that, I mean pretty soon you run out of people to murder.","A|I mean if you murder a guy because he murdered your partner or something like that, I mean pretty soon you run out of people to murder."
37,M,"Yeah, that's true.","M|Yeah, that's true."
38,A,Yeah.,A|Yeah.
39,M,"!!!!,!!%!! Remind me of that, that's a good one.","M|!!!!,!!%!! Remind me of that, that's a good one."
40,A,Yeah.,A|Yeah.
41,M,"But, uh, I know that, uh you know there's a lot of things that I would like to see, uh. I think a lot, a lot more people would like a, a, you, you're, you want to say, uh I want to see if I can get along with this person, you have to be a good character and, and be a nice guy to, uh","M|But, uh, I know that, uh you know there's a lot of things that I would like to see, uh. I think a lot, a lot more people would like a, a, you, you're, you want to say, uh I want to see if I can get along with this person, you have to be a good character and, and be a nice guy to, uh"
42,A,"Yeah, you know, it makes sense, um, you know, you have the occasional person who may have been falsely accused, but I mean, uh, so few and far between, uh, you know, makes good T V movies and that's about it.","A|Yeah, you know, it makes sense, um, you know, you have the occasional person who may have been falsely accused, but I mean, uh, so few and far between, uh, you know, makes good T V movies and that's about it."
43,M,Right.,M|Right.
44,A,Yeah.,A|Yeah.
45,M,"You know, I, I don, I just don't have a, a, uh a, you, I guess you could put it that way.","M|You know, I, I don, I just don't have a, a, uh a, you, I guess you could put it that way."
46,A,Yeah.,A|Yeah.
