,Speaker,Utterance,Unified
5,M,"So, it was really neat.","M|So, it was really neat."
6,A,Uh-huh.,A|Uh-huh.
7,M,"My dad's going to come over and he's going, you can come over, and I'll tell him I'll come over to my house.","M|My dad's going to come over and he's going, you can come over, and I'll tell him I'll come over to my house."
8,A,Yes.,A|Yes.
9,M,"You know, and I don't know, I, I don, I think it's going to be too much of a strain on everyone, especially the younger generation, because I think, you, you need to be able to do more of what you're doing, and you know you need, you can be more involved, and, you have to be willing to take responsibility for yourself.","M|You know, and I don't know, I, I don, I think it's going to be too much of a strain on everyone, especially the younger generation, because I think, you, you need to be able to do more of what you're doing, and you know you need, you can be more involved, and, you have to be willing to take responsibility for yourself."
10,A,With all of you living so close together.,A|With all of you living so close together.
11,M,Yeah.,M|Yeah.
12,A,Oh.,A|Oh.
13,M,"So, that's the only time I was really, really close to her because I had a real close friend that worked at the same place, and she would cook there.","M|So, that's the only time I was really, really close to her because I had a real close friend that worked at the same place, and she would cook there."
14,A,"Well, I come from a very small family. And we planned a family reunion this spring. Uh, where we are from Texas and my family is from Ohio and we met in Florida.","A|Well, I come from a very small family. And we planned a family reunion this spring. Uh, where we are from Texas and my family is from Ohio and we met in Florida."
15,M,Uh-huh.,M|Uh-huh.
16,A,"So the seven of us went on a cruise and then went to Disney together. So that's all the family, so planning our family reunion was very easy you know .","A|So the seven of us went on a cruise and then went to Disney together. So that's all the family, so planning our family reunion was very easy you know ."
17,M,"Oh, that's neat.","M|Oh, that's neat."
18,A,"Yeah, well, we had a wonderful","A|Yeah, well, we had a wonderful"
