,Speaker,Utterance,Unified
5,M,"I, I agree with you.","M|I, I agree with you."
6,A,Uh-huh.,A|Uh-huh.
7,M,"and, and he's, he's going to be out in two years.","M|and, and he's, he's going to be out in two years."
8,A,"So you're in, you're in favor of capital punishment, then.","A|So you're in, you're in favor of capital punishment, then."
9,M,"Well, I think, I mean I think it's a good thing, but I think that it's, I don't know, it's something that needs to be taken care of.","M|Well, I think, I mean I think it's a good thing, but I think that it's, I don't know, it's something that needs to be taken care of."
10,A,Right.,A|Right.
11,M,"But, uh, I, I don't know. I guess I'd have to say that I'm not in favor. Uh, I think it's a pretty good idea.","M|But, uh, I, I don't know. I guess I'd have to say that I'm not in favor. Uh, I think it's a pretty good idea."
12,A,"Uh-huh. Uh-huh. Needs to be punished or, uh, eliminated from society.","A|Uh-huh. Uh-huh. Needs to be punished or, uh, eliminated from society."
13,M,Yeah.,M|Yeah.
14,A,Right. And then do it all over again. Uh-huh.,A|Right. And then do it all over again. Uh-huh.
15,M,Yeah.,M|Yeah.
16,A,"Right. Have to agree with you, and I'm kind of in favor of capital punishment also. I just don't think that it acts much as a deterrent to these people because, uh, you still see them committing the same crimes, but, I tend to agree with you that, uh, we should have it I just, I don't know that it's always effective but I guess we, uh, we're kind of stuck with it. It's, it's a difficult, uh, problem, isn't it, to determine how you're going to punish somebody for a particular crime, uh,","A|Right. Have to agree with you, and I'm kind of in favor of capital punishment also. I just don't think that it acts much as a deterrent to these people because, uh, you still see them committing the same crimes, but, I tend to agree with you that, uh, we should have it I just, I don't know that it's always effective but I guess we, uh, we're kind of stuck with it. It's, it's a difficult, uh, problem, isn't it, to determine how you're going to punish somebody for a particular crime, uh,"
17,M,"Right, right.","M|Right, right."
18,A,"Uh-huh. Uh-huh. Right, uh-huh.","A|Uh-huh. Uh-huh. Right, uh-huh."
19,M,and then you see them in jail for a year or two and they're out doing it again.,M|and then you see them in jail for a year or two and they're out doing it again.
20,A,"Uh-huh, huh. Do you think they should be punished at all, or, uh, like go to prison, uh, because they're not really a danger to society. It was almost really self defense, isn't it, in a case like that.","A|Uh-huh, huh. Do you think they should be punished at all, or, uh, like go to prison, uh, because they're not really a danger to society. It was almost really self defense, isn't it, in a case like that."
21,M,"Yeah. I, I, you, you can't say that they're, they're a danger, but I, uh.","M|Yeah. I, I, you, you can't say that they're, they're a danger, but I, uh."
22,A,Uh-huh.,A|Uh-huh.
23,M,"but, uh.","M|but, uh."
24,A,"I know they put, uh, put them in jail sometimes, I guess. Uh,","A|I know they put, uh, put them in jail sometimes, I guess. Uh,"
25,M,"Uh, well,","M|Uh, well,"
26,A,"Uh-huh. Uh-huh. Um. Uh-huh. You know, now, I wonder what you think about this and, uh, unfortunately, we, we don't get to do it, but, uh, it used to be a long time ago, I guess in Biblical times when they had punishment if somebody did something, for example, to your family, then you had the right to administer the punishment. So if somebody killed somebody in your family then you had the right to, uh, if that person was caught and found guilty, you had the right to, uh, execute that person. And I know that, uh, if somebody had done something to my family, I would feel that I had the right to, to get revenge on them and, uh, but, I, I don't think that's done much anywhere That's kind of drastic punishment.","A|Uh-huh. Uh-huh. Um. Uh-huh. You know, now, I wonder what you think about this and, uh, unfortunately, we, we don't get to do it, but, uh, it used to be a long time ago, I guess in Biblical times when they had punishment if somebody did something, for example, to your family, then you had the right to administer the punishment. So if somebody killed somebody in your family then you had the right to, uh, if that person was caught and found guilty, you had the right to, uh, execute that person. And I know that, uh, if somebody had done something to my family, I would feel that I had the right to, to get revenge on them and, uh, but, I, I don't think that's done much anywhere That's kind of drastic punishment."
27,M,"Well, I know, uh","M|Well, I know, uh"
28,A,Right.,A|Right.
29,M,"But, uh.","M|But, uh."
30,A,Might make you feel better but,A|Might make you feel better but
31,M,"Well I,","M|Well I,"
32,A,Uh-huh. Right.,A|Uh-huh. Right.
33,M,Because I know that there are a lot of people who would be willing to give up their American citizenship just for that very reason.,M|Because I know that there are a lot of people who would be willing to give up their American citizenship just for that very reason.
34,A,"Uh-huh. Right. Uh-huh. Right, because they're a danger to everybody else. Huh, that's interesting. I have to, uh agree with that.","A|Uh-huh. Right. Uh-huh. Right, because they're a danger to everybody else. Huh, that's interesting. I have to, uh agree with that."
35,M,"!!!!,!!That's right.","M|!!!!,!!That's right."
36,A,"There's a lot of folks, probably, that are in prison that, uh, that aren't really a danger to society, huh, and, uh,","A|There's a lot of folks, probably, that are in prison that, uh, that aren't really a danger to society, huh, and, uh,"
37,M,"Yeah, yeah, I think that, that there's a, a lot, a big part of it is, uh uh, the, the society doesn't understand, uh.","M|Yeah, yeah, I think that, that there's a, a lot, a big part of it is, uh uh, the, the society doesn't understand, uh."
38,A,"Right. Right, probably more of them then the other way around Interesting. I don't, I don't, not sure I, I'm in Washington, D C or at least very close to it. I'm not sure what kind of, uh, capital punishment we have here.","A|Right. Right, probably more of them then the other way around Interesting. I don't, I don't, not sure I, I'm in Washington, D C or at least very close to it. I'm not sure what kind of, uh, capital punishment we have here."
39,M,Uh-uh.,M|Uh-uh.
40,A,Uh-huh.,A|Uh-huh.
41,M,"But, uh.","M|But, uh."
