,Speaker,Utterance,Unified
5,M,"So, uh","M|So, uh"
6,A,"Oh, but how wonderful. Are you close to getting it done?","A|Oh, but how wonderful. Are you close to getting it done?"
7,M,Yeah.,M|Yeah.
8,A,Oh.,A|Oh.
9,M,"and I'm just, I'm really excited about it, so I'm, I don't know, I just, it, it just keeps me very busy, and, uh.","M|and I'm just, I'm really excited about it, so I'm, I don't know, I just, it, it just keeps me very busy, and, uh."
10,A,Are you going to move your whole family over there then?,A|Are you going to move your whole family over there then?
11,M,"I'm not sure. I, I don't know, I have a friend who's really, uh","M|I'm not sure. I, I don't know, I have a friend who's really, uh"
12,A,"Uh-huh, kind of your getaway place.","A|Uh-huh, kind of your getaway place."
13,M,"and, uh","M|and, uh"
14,A,"Oh, how beautiful, and it's pretty flat there?","A|Oh, how beautiful, and it's pretty flat there?"
15,M,"Uh, it is.","M|Uh, it is."
16,A,"See, I've only been to Texas once. I have two sisters in Texas now, um, one in Austin, one in Dallas, and the one in Dallas is the one that got me to doing this","A|See, I've only been to Texas once. I have two sisters in Texas now, um, one in Austin, one in Dallas, and the one in Dallas is the one that got me to doing this"
17,M,Uh-uh.,M|Uh-uh.
18,A,"and, uh, I thought Austin was beautiful","A|and, uh, I thought Austin was beautiful"
19,M,Uh-huh.,M|Uh-huh.
20,A,"I liked the hills and the trees,","A|I liked the hills and the trees,"
21,M,"Yeah, I do, too.","M|Yeah, I do, too."
22,A,"Oh, and you've always,  lived in Texas, have you?","A|Oh, and you've always,  lived in Texas, have you?"
23,M,Yeah.,M|Yeah.
24,A,"Uh-huh. Born and raised Texan, huh.","A|Uh-huh. Born and raised Texan, huh."
25,M,Yeah.,M|Yeah.
26,A,"Well, I had never been there, that's pretty neat. My sisters both seem to like it pretty well. My brother-in-law works for the University, um, in Dallas. He's admissions director. Uh. University of Texas in Dallas.","A|Well, I had never been there, that's pretty neat. My sisters both seem to like it pretty well. My brother-in-law works for the University, um, in Dallas. He's admissions director. Uh. University of Texas in Dallas."
27,M,"Oh, okay.","M|Oh, okay."
28,A,Yeah.,A|Yeah.
29,M,Uh-uh.,M|Uh-uh.
30,A,"Yeah, well that's, he's got a job there and this is his first year, so, it's been a real interesting thing for them","A|Yeah, well that's, he's got a job there and this is his first year, so, it's been a real interesting thing for them"
31,M,Yeah,M|Yeah
32,A,"But they seem to like it okay. I think they're too far away from me, but maybe some day they can get closer,","A|But they seem to like it okay. I think they're too far away from me, but maybe some day they can get closer,"
33,M,"Yeah. I don't know, I, I've, I don, I grew up in New York, and I, you know, my parents were sort of, uh, you wouldn't know it,","M|Yeah. I don't know, I, I've, I don, I grew up in New York, and I, you know, my parents were sort of, uh, you wouldn't know it,"
34,A,we'll see.,A|we'll see.
35,M,"Okay, well, thanks a lot.","M|Okay, well, thanks a lot."
36,A,"Well, I'm mother of four, so basically I'm just, real busy with my kids right now in sports, and we have a little Halloween talent show tonight, and, I substitute at the schools part-time.","A|Well, I'm mother of four, so basically I'm just, real busy with my kids right now in sports, and we have a little Halloween talent show tonight, and, I substitute at the schools part-time."
37,M,"Oh, that's great.","M|Oh, that's great."
38,A,"Well, I am a travel agent at heart, and my hobby is just, I love traveling and, and being involved of that and finding out more, uh, but, it's real hard to work in the summers and holidays and weekends when you have four children and a husband, so I reluctantly gave that career up and am just substituting at the school,","A|Well, I am a travel agent at heart, and my hobby is just, I love traveling and, and being involved of that and finding out more, uh, but, it's real hard to work in the summers and holidays and weekends when you have four children and a husband, so I reluctantly gave that career up and am just substituting at the school,"
39,M,Oh.,M|Oh.
40,A,"so I've been librarian all this week, which has been real interesting, and I'm enjoying it. I'm around my kids","A|so I've been librarian all this week, which has been real interesting, and I'm enjoying it. I'm around my kids"
41,M,Uh-huh.,M|Uh-huh.
