,Speaker,Utterance,Unified
5,M,"I'm, I'm not an American car person at all.","M|I'm, I'm not an American car person at all."
6,A,"No, regardless of that fact. It's the best car in the class for the cheapest amount of money. I'm interested in having it for, uh, doing a little autocross racing, uh, closed circuit racing","A|No, regardless of that fact. It's the best car in the class for the cheapest amount of money. I'm interested in having it for, uh, doing a little autocross racing, uh, closed circuit racing"
7,M,Uh-huh.,M|Uh-huh.
8,A,"and, uh, it seems to just blow the competition away.","A|and, uh, it seems to just blow the competition away."
9,M,"Well, that's the way I feel about Hondas.","M|Well, that's the way I feel about Hondas."
10,A,"Handling, power, everything. Yeah, it just got like the top rating. It was compared up against, uh, let's see, there was like the Mazda M X three, uh, Nissan's, whatever, their two, N X two thousand, the Civic S I and it just, you know, it, it dominated over all of them. Everybody, all the, uh, raters loved it. I like the, I like the styling and, I seen a few of them actually race and they seem to be really good cars for it.","A|Handling, power, everything. Yeah, it just got like the top rating. It was compared up against, uh, let's see, there was like the Mazda M X three, uh, Nissan's, whatever, their two, N X two thousand, the Civic S I and it just, you know, it, it dominated over all of them. Everybody, all the, uh, raters loved it. I like the, I like the styling and, I seen a few of them actually race and they seem to be really good cars for it."
11,M,Uh-huh.,M|Uh-huh.
12,A,"Mustang G T Uh, can't afford it.","A|Mustang G T Uh, can't afford it."
13,M,"Well, that's, that was, that is a Mustang, yeah, the, the G T is the same.","M|Well, that's, that was, that is a Mustang, yeah, the, the G T is the same."
14,A,"Right, yeah, I'm a graduate student and, let's face it, I don't make any money so,","A|Right, yeah, I'm a graduate student and, let's face it, I don't make any money so,"
15,M,"No, I, I never did.","M|No, I, I never did."
16,A,"Yeah. Yeah, we'll see then. Yeah, right now I'm stuck, I, I've got a, a Pontiac Sunbird Turbo that, it's fast, but unreliable and trying to get it prepared for racing. But it's, it would be nice, just like scrap it and go for the Saturn.","A|Yeah. Yeah, we'll see then. Yeah, right now I'm stuck, I, I've got a, a Pontiac Sunbird Turbo that, it's fast, but unreliable and trying to get it prepared for racing. But it's, it would be nice, just like scrap it and go for the Saturn."
17,M,"Well, we've got, we have a Dodge Daytona, and we've had, uh, we just bought a Dodge Omni a couple of months ago, and it, it was, it, you know, it handled just like a truck, you could put it in, and, uh it, the engine just kept running, it ran just fine, and the only thing that really bothered me was the seats.","M|Well, we've got, we have a Dodge Daytona, and we've had, uh, we just bought a Dodge Omni a couple of months ago, and it, it was, it, you know, it handled just like a truck, you could put it in, and, uh it, the engine just kept running, it ran just fine, and the only thing that really bothered me was the seats."
18,A,"Oh, yeah, I'd do it, I'd use it for both. The nice thing about autocrossing is you can, you can do both.","A|Oh, yeah, I'd do it, I'd use it for both. The nice thing about autocrossing is you can, you can do both."
19,M,"Well, that's great.","M|Well, that's great."
20,A,"Uh, just like a, uh, set up a lot of times and it's like really large, uh, parking lots. And pylons and things.","A|Uh, just like a, uh, set up a lot of times and it's like really large, uh, parking lots. And pylons and things."
21,M,Yeah.,M|Yeah.
22,A,"Tight turns, hard acceleration. I've seen a lot of Mustangs, uh, compete and it's interesting. They get dominated by the Corvettes that are also in their class.","A|Tight turns, hard acceleration. I've seen a lot of Mustangs, uh, compete and it's interesting. They get dominated by the Corvettes that are also in their class."
23,M,Uh-huh.,M|Uh-huh.
24,A,Yeah.,A|Yeah.
25,M,Huh.,M|Huh.
26,A,"Uh, what are you thinking about buying?","A|Uh, what are you thinking about buying?"
27,M,"Well, I've been thinking about it for a while, and I really don't know. I think, uh I would like to buy a new car just for my family.","M|Well, I've been thinking about it for a while, and I really don't know. I think, uh I would like to buy a new car just for my family."
28,A,The Legend. Uh.,A|The Legend. Uh.
29,M,"Oh, really?","M|Oh, really?"
30,A,Uh-huh. Yeah.,A|Uh-huh. Yeah.
31,M,"But, uh.","M|But, uh."
32,A,"Yeah, well, I was, I was actually in, uh, a lot of the B M W are produced in, uh, uh, Stutgardt and, uh, and Munich","A|Yeah, well, I was, I was actually in, uh, a lot of the B M W are produced in, uh, uh, Stutgardt and, uh, and Munich"
33,M,"Uh, uh-hau, uh.","M|Uh, uh-hau, uh."
34,A,"and I was, I was there this, uh, summer and, uh, I was really impressed by the, uh, the, uh, factory, uh, tours and such for B M W.","A|and I was, I was there this, uh, summer and, uh, I was really impressed by the, uh, the, uh, factory, uh, tours and such for B M W."
35,M,"Oh, yeah.","M|Oh, yeah."
36,A,Yeah.,A|Yeah.
37,M,"but, uh.","M|but, uh."
38,A,"Uh, Oh, of course, of course they are. They want you to buy their car. Yeah, there, it was, it was interesting. I was at, I, I also went to, uh, the Porsche and, uh, it was, it was amazing how they were completely opposed.","A|Uh, Oh, of course, of course they are. They want you to buy their car. Yeah, there, it was, it was interesting. I was at, I, I also went to, uh, the Porsche and, uh, it was, it was amazing how they were completely opposed."
39,M,Uh-huh.,M|Uh-huh.
40,A,"Yeah, the, uh, the B M W is really, oh, like, oh, we have all these like high tech things and everything is put together with exacting tolerances and, and then you go to Porsche and it's like, well, uh, these cars are completely handmade","A|Yeah, the, uh, the B M W is really, oh, like, oh, we have all these like high tech things and everything is put together with exacting tolerances and, and then you go to Porsche and it's like, well, uh, these cars are completely handmade"
41,M,Uh-huh.,M|Uh-huh.
42,A,and no two of them are alike And,A|and no two of them are alike And
43,M,Oh.,M|Oh.
