,Speaker,Utterance,Unified
5,M,"And then, uh we went, uh to the, uh, closer to Oahu and then to, uh the, closer to the wharf, uh  the wharimar, uh uh, the whalming, uh","M|And then, uh we went, uh to the, uh, closer to Oahu and then to, uh the, closer to the wharf, uh  the wharimar, uh uh, the whalming, uh"
6,A,"Oh that's, wow. Yeah.","A|Oh that's, wow. Yeah."
7,M,"And then, we went up to the, uh the, closer to Maui, and then we went over to the coast.","M|And then, we went up to the, uh the, closer to Maui, and then we went over to the coast."
8,A,"Oh I've I've been lots of places. My last vacation was actually in Morocco I guess we, that one would count ,","A|Oh I've I've been lots of places. My last vacation was actually in Morocco I guess we, that one would count ,"
9,M,"Oh, I went to Europe.","M|Oh, I went to Europe."
10,A,"Uh, that was about a year and a half ago, and,","A|Uh, that was about a year and a half ago, and,"
11,M,"Oh, that's cool.","M|Oh, that's cool."
12,A,"Uh, well my husband is French and we were living in France at the time","A|Uh, well my husband is French and we were living in France at the time"
13,M,"Oh, uh-huh.","M|Oh, uh-huh."
14,A,"and we decided that I, I've never been to Africa and I needed to get that continent since I hadn't been there yet. And it, it's, actually it's a fairly common vacation place for French people to go and they speak French and, so, uh, you know, in that sense is just a little bit easier","A|and we decided that I, I've never been to Africa and I needed to get that continent since I hadn't been there yet. And it, it's, actually it's a fairly common vacation place for French people to go and they speak French and, so, uh, you know, in that sense is just a little bit easier"
15,M,"Oh, yeah.","M|Oh, yeah."
16,A,"and it just seemed like it would be a fun place to go. And, So we, we didn't really have enough time.","A|and it just seemed like it would be a fun place to go. And, So we, we didn't really have enough time."
17,M,Yeah.,M|Yeah.
18,A,"We had about, a little bit less than two weeks.","A|We had about, a little bit less than two weeks."
19,M,"Uh, uh-hope.","M|Uh, uh-hope."
20,A,"And as always, it it seems a bit, uh, rushed. We do a lot of traveling around. We rented a car and drove pretty much everywhere.","A|And as always, it it seems a bit, uh, rushed. We do a lot of traveling around. We rented a car and drove pretty much everywhere."
21,M,"Well, that's great.","M|Well, that's great."
22,A,"No, in fact some of the days we froze. It was,","A|No, in fact some of the days we froze. It was,"
23,M,Oh.,M|Oh.
24,A,"well we were there in the winter. In uh, January or February, I don't remember which,","A|well we were there in the winter. In uh, January or February, I don't remember which,"
25,M,Uh-huh.,M|Uh-huh.
26,A,Uh-huh. Uh-huh.,A|Uh-huh. Uh-huh.
