,Speaker,Utterance,Unified
5,M,"Yeah, that's, that was the first thing I thought of when I saw the price tag.","M|Yeah, that's, that was the first thing I thought of when I saw the price tag."
6,A,"Uh, got kids?","A|Uh, got kids?"
7,M,Uh-huh.,M|Uh-huh.
8,A,married?,A|married?
9,M,Uh-huh.,M|Uh-huh.
10,A,Yeah.,A|Yeah.
11,M,"We had to cut down to about three hundred and fifty dollars to get the, to get, to put the sign down.","M|We had to cut down to about three hundred and fifty dollars to get the, to get, to put the sign down."
12,A,"Well, my wife and I and we've got a thirteen week old baby so don't do much cooking for him yet.","A|Well, my wife and I and we've got a thirteen week old baby so don't do much cooking for him yet."
13,M,"Oh, no.","M|Oh, no."
14,A,"Uh,","A|Uh,"
15,M,"But we've had, uh, some pretty good meals out, and, uh we usually order out of a restaurant or out of an open bar.","M|But we've had, uh, some pretty good meals out, and, uh we usually order out of a restaurant or out of an open bar."
16,A,"Uh, yeah what kind of menu would you plan for a dinner party and, uh, what kind of dishes you might have for it, or some sort of thing like that.","A|Uh, yeah what kind of menu would you plan for a dinner party and, uh, what kind of dishes you might have for it, or some sort of thing like that."
17,M,"Right. Uh-hue. Uh, I like to have, uh uh, a lot of different kinds of foods. Uh  you know, a nice, uh, uh, you know, homemade French bread with maybe some, uh  sausage, uh sausage, you name it, uh","M|Right. Uh-hue. Uh, I like to have, uh uh, a lot of different kinds of foods. Uh  you know, a nice, uh, uh, you know, homemade French bread with maybe some, uh  sausage, uh sausage, you name it, uh"
18,A,"Let's see, a good dinner party menu.","A|Let's see, a good dinner party menu."
19,M,"Yeah, that's something I like to have.","M|Yeah, that's something I like to have."
20,A,"I suppose it would just about depend on who was coming, I guess.","A|I suppose it would just about depend on who was coming, I guess."
21,M,"Oh, sure, yeah.","M|Oh, sure, yeah."
22,A,"You know, uh, something light and easy. If it was pretty informal about anything.","A|You know, uh, something light and easy. If it was pretty informal about anything."
23,M,Right.,M|Right.
24,A,"Breast of chicken Oh, gosh, yeah. How do you usually cook your deer?","A|Breast of chicken Oh, gosh, yeah. How do you usually cook your deer?"
25,M,"Uh, mostly like, uh turkey and a chicken breast or turkey and, uh things like that.","M|Uh, mostly like, uh turkey and a chicken breast or turkey and, uh things like that."
26,A,How do you usually cook your deer?,A|How do you usually cook your deer?
27,M,"Uh, usually, uh","M|Uh, usually, uh"
28,A,Yeah.,A|Yeah.
29,M,"We usually, uh, just, uh eat out","M|We usually, uh, just, uh eat out"
30,A,Yeah.,A|Yeah.
31,M,"and then we'll, uh, let it cook on high for a while, then put it on low for another two hours to cool it up.","M|and then we'll, uh, let it cook on high for a while, then put it on low for another two hours to cool it up."
32,A,I imagine.,A|I imagine.
33,M,It is good for you.,M|It is good for you.
34,A,I would imagine it is.,A|I would imagine it is.
35,M,"And, uh, I have a great recipe for cheese cake.","M|And, uh, I have a great recipe for cheese cake."
36,A,"Yeah. Yeah, I understand. We just had, uh, deer stew sort of uh, it was deer steak stew. Uh, well about a day, day and a half in the crock pot, uh uh, some deer steaks in kind of a mushroom gravy.","A|Yeah. Yeah, I understand. We just had, uh, deer stew sort of uh, it was deer steak stew. Uh, well about a day, day and a half in the crock pot, uh uh, some deer steaks in kind of a mushroom gravy."
37,M,Oh.,M|Oh.
38,A,"Uh, some veggies in it.","A|Uh, some veggies in it."
39,M,Oh.,M|Oh.
40,A,No.,A|No.
41,M,"No, no, no.","M|No, no, no."
42,A,"No, the times I've been out deer hunting, I, I can go out in the woods unarmed and deer will be tripping over me and vice versa.","A|No, the times I've been out deer hunting, I, I can go out in the woods unarmed and deer will be tripping over me and vice versa."
43,M,Uh-huh.,M|Uh-huh.
44,A,"I mean, I get close to the woods with anything resembling a weapon and suddenly there isn't a deer within fifty miles. So, no, this was given to us by some friends.","A|I mean, I get close to the woods with anything resembling a weapon and suddenly there isn't a deer within fifty miles. So, no, this was given to us by some friends."
45,M,"Oh, that's wonderful.","M|Oh, that's wonderful."
46,A,"Uh, guy was in a, uh, in a hunting club","A|Uh, guy was in a, uh, in a hunting club"
47,M,Uh.,M|Uh.
48,A,"and, you know, but the whole group goes out hunting and then at the end of the day, they split it","A|and, you know, but the whole group goes out hunting and then at the end of the day, they split it"
49,M,Uh.,M|Uh.
50,A,"and whoever brought it down gets the lion's share and the rest of it is split with the rest, with everybody in the group.","A|and whoever brought it down gets the lion's share and the rest of it is split with the rest, with everybody in the group."
51,M,Uh.,M|Uh.
52,A,"Well, he they, they went out last year and almost everybody got it, the limit","A|Well, he they, they went out last year and almost everybody got it, the limit"
53,M,"Uh, I don't know, I, I just, I think, uh, I'd like to see it happen more where people can actually get out of a car and get on the road and get around and enjoy themselves.","M|Uh, I don't know, I, I just, I think, uh, I'd like to see it happen more where people can actually get out of a car and get on the road and get around and enjoy themselves."
54,A,"so there's, everybody had deer coming out their ears. So,","A|so there's, everybody had deer coming out their ears. So,"
55,M,Oh.,M|Oh.
56,A,"Yeah, they, they gave us some deer and some of it's still in the freezer and they, about eight months ago they gave it to us.","A|Yeah, they, they gave us some deer and some of it's still in the freezer and they, about eight months ago they gave it to us."
57,M,Uh.,M|Uh.
58,A,"We, we either crock pot deer or we'll, uh, you know, put it out on the grill so that, uh the bulk of the tallow will dribble off of it.","A|We, we either crock pot deer or we'll, uh, you know, put it out on the grill so that, uh the bulk of the tallow will dribble off of it."
59,M,Uh-huh.,M|Uh-huh.
60,A,Yeah. Yeah.,A|Yeah. Yeah.
61,M,"And, uh.","M|And, uh."
62,A,That is good.,A|That is good.
63,M,!!!ety-!!etwork!!%!!body!!eting!! Remind me!!ets!!eder!! et cetera!!;!!!!!,M|!!!ety-!!etwork!!%!!body!!eting!! Remind me!!ets!!eder!! et cetera!!;!!!!!
64,A,Deer spaghetti is real good.,A|Deer spaghetti is real good.
65,M,"Oh, I love that.","M|Oh, I love that."
66,A,"Anyway, uh, no, I think if I was going to have a dinner party, I'd probably have, uh, sandwiches or something along those lines and then, uh, uh, you know, just something light finger food sort of something or, Or maybe have something roasting out on the fire.","A|Anyway, uh, no, I think if I was going to have a dinner party, I'd probably have, uh, sandwiches or something along those lines and then, uh, uh, you know, just something light finger food sort of something or, Or maybe have something roasting out on the fire."
67,M,Right.,M|Right.
68,A,"Oh, well, anyway. Uh, we don't do much in the way of entertaining.","A|Oh, well, anyway. Uh, we don't do much in the way of entertaining."
69,M,"No, we, uh.","M|No, we, uh."
70,A,"Usually it's, one other couple come over for a dinner.","A|Usually it's, one other couple come over for a dinner."
71,M,Yeah.,M|Yeah.
72,A,"Let's see, what did we have the last time we had guests over. Ah, yeah, we had a, uh, a turkey loaf.","A|Let's see, what did we have the last time we had guests over. Ah, yeah, we had a, uh, a turkey loaf."
73,M,"Oh, I know.","M|Oh, I know."
74,A,"Which, uh, kind of taco turkey loaf. It was good. Uh, scalloped potatoes.","A|Which, uh, kind of taco turkey loaf. It was good. Uh, scalloped potatoes."
75,M,"Ooh, sculled,","M|Ooh, sculled,"
76,A,"No, mashed potatoes.","A|No, mashed potatoes."
77,M,Uh-huh.,M|Uh-huh.
78,A,"Mashed potatoes with, uh, cheese melted over the top of them. A couple things like that. It was pretty good little dinner. Yeah, usually it's","A|Mashed potatoes with, uh, cheese melted over the top of them. A couple things like that. It was pretty good little dinner. Yeah, usually it's"
79,M,"It's not, it's not good on Mondays.","M|It's not, it's not good on Mondays."
80,A,"Oh, don't you hate that? I've got a, I got a few pounds to lose myself. That's okay.","A|Oh, don't you hate that? I've got a, I got a few pounds to lose myself. That's okay."
81,M,"Well, that's good.","M|Well, that's good."
82,A,I've been fighting my weight since I was about ten years old.,A|I've been fighting my weight since I was about ten years old.
83,M,Oh.,M|Oh.
84,A,"Yeah, yeah, I was, left the fourth grade weighing about a hundred pounds and started the seventh grade, grade at two,","A|Yeah, yeah, I was, left the fourth grade weighing about a hundred pounds and started the seventh grade, grade at two,"
