,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
6,A,"or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool.","A|or maybe you don't like the person you have to, you would want to carpool with, that kind of thing, so it's, it's kind of a thing where, uh, I think the majority of the people do not carpool."
7,M,"Uh, that would be true.","M|Uh, that would be true."
8,A,Uh-huh.,A|Uh-huh.
9,M,"and, uh I think that, um","M|and, uh I think that, um"
10,A,Yeah.,A|Yeah.
11,M,"but, uh.","M|but, uh."
12,A,Exactly.,A|Exactly.
13,M,"so they, they'll stay at home and do their own thing.","M|so they, they'll stay at home and do their own thing."
14,A,"Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,","A|Uh-huh, or if somebody gets sick. Yeah, or if somebody gets sick, and it's not the other person and they want to go home, and that one person's got the car then they're, they're stuck,"
15,M,Yeah. Yeah.,M|Yeah. Yeah.
16,A,"you're definitely right,","A|you're definitely right,"
17,M,Yeah.,M|Yeah.
18,A,"Uh-huh. Sure. Sure, that happens quite a bit,","A|Uh-huh. Sure. Sure, that happens quite a bit,"
19,M,and I think that's one of the major things that needs to happen.,M|and I think that's one of the major things that needs to happen.
20,A,"Yes, yeah","A|Yes, yeah"
21,M,"But I donno, I guess I'm not for sure what our next step is.","M|But I donno, I guess I'm not for sure what our next step is."
22,A,"that's very true. Uh, other than that, uh, I don't know,","A|that's very true. Uh, other than that, uh, I don't know,"
23,M,"I, I just, uh","M|I, I just, uh"
24,A,Okay.,A|Okay.
25,M,"Okay, I guess we're on.","M|Okay, I guess we're on."
26,A,"Oh, okay, we'll try to be real quick here.","A|Oh, okay, we'll try to be real quick here."
27,M,"Okay, well, it was nice talking to you.","M|Okay, well, it was nice talking to you."
28,A,"The other thing then is, because I don't know how long they want us to talk,","A|The other thing then is, because I don't know how long they want us to talk,"
29,M,Uh-huh.,M|Uh-huh.
30,A,"Five minutes, oh, okay.","A|Five minutes, oh, okay."
31,M,"Okay, well, we're all ready.","M|Okay, well, we're all ready."
32,A,"Minneapolis area,","A|Minneapolis area,"
33,M,"Yeah, yeah, yeah.","M|Yeah, yeah, yeah."
34,A,"Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season","A|Uh, actually no. We have, uh, quite a bit, uh, the only problem that we have and that's all over the whole world is ozone and of course hay fever season"
35,M,"Oh, yeah.","M|Oh, yeah."
36,A,"you get some pollutants such as those, but those are natural","A|you get some pollutants such as those, but those are natural"
37,M,Uh.,M|Uh.
38,A,"um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,","A|um, but there is starting to, in Minneapolis itself, because of so many people on the highway, there is becoming a problem of pollution, and they just put in a strict law that as of every year when you get your license tabs you have to have your car inspected to see if it's releasing any, uh, lead into the air or other pollutants,"
39,M,Uh.,M|Uh.
40,A,"and if that's the case, then you have to get your car fixed,","A|and if that's the case, then you have to get your car fixed,"
41,M,Yeah.,M|Yeah.
42,A,at least where you .,A|at least where you .
43,M,"!!!%!! Remind me of that, yeah.","M|!!!%!! Remind me of that, yeah."
44,A,"Sure, yeah,","A|Sure, yeah,"
45,M,and they've had it for a few years now.,M|and they've had it for a few years now.
46,A,"Yeah, it's not a bad idea. Uh-huh. Sure, sure,","A|Yeah, it's not a bad idea. Uh-huh. Sure, sure,"
47,M,"they're, they're still, uh","M|they're, they're still, uh"
48,A,"Exactly,","A|Exactly,"
49,M,"I don't know if they're going to do that in California, but, uh","M|I don't know if they're going to do that in California, but, uh"
50,A,Uh-huh. Sure. Uh-huh.,A|Uh-huh. Sure. Uh-huh.
51,M,"and that's, that's a, that, that would be a huge step in the right direction.","M|and that's, that's a, that, that would be a huge step in the right direction."
52,A,Uh-huh.,A|Uh-huh.
53,M,"and, uh, she can't, she doesn't like the, uh the Styrofoam, the, the the, you know the, all the styrofoams,","M|and, uh, she can't, she doesn't like the, uh the Styrofoam, the, the the, you know the, all the styrofoams,"
54,A,Sure.,A|Sure.
55,M,"but they can, they know they're getting the message.","M|but they can, they know they're getting the message."
56,A,Uh-huh. Sure.,A|Uh-huh. Sure.
57,M,so.,M|so.
58,A,Uh-huh. Yeah. Sure,A|Uh-huh. Yeah. Sure
59,M,"!!!%!!;!!!,!!That!!I!!You!!Have!! translated!!This!!They!!We!!?!! LINE!! Auto!! Remind!! This!!Thank!!","M|!!!%!!;!!!,!!That!!I!!You!!Have!! translated!!This!!They!!We!!?!! LINE!! Auto!! Remind!! This!!Thank!!"
60,A,"uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it","A|uh, the other thing when you're talking about freon with cars, uh, air conditioning, I'm sure over there it's a necessity versus something up here we can live without it"
61,M,"Uh, yeah.","M|Uh, yeah."
62,A,but it's uncomfortable,A|but it's uncomfortable
63,M,Right.,M|Right.
64,A,"but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,","A|but, uh, this year my husband recharged our freon because it was, needed to be done, and one of the cans released entire amount of freon into the, uh, into the air because he opened it,"
65,M,"Uh, uh-hous.","M|Uh, uh-hous."
