,Speaker,Utterance,Unified
5,M,"Oh, really?","M|Oh, really?"
6,A,"and we start out with EVENING SHADE and MAJOR DAD,","A|and we start out with EVENING SHADE and MAJOR DAD,"
7,M,"Okay, what kind of movies have you seen lately?","M|Okay, what kind of movies have you seen lately?"
8,A,and I think that's the one night that we really try to watch television.,A|and I think that's the one night that we really try to watch television.
9,M,"Uh, that's a good show.","M|Uh, that's a good show."
10,A,You know my husband's always got it on.,A|You know my husband's always got it on.
11,M,Right.,M|Right.
12,A,"I'm not always sitting down, and,","A|I'm not always sitting down, and,"
13,M,!!!%!! Remind me.,M|!!!%!! Remind me.
14,A,"Yes. Yes, yes. I just, I love that, all those, that two hours","A|Yes. Yes, yes. I just, I love that, all those, that two hours"
15,M,"Yeah, they're just great.","M|Yeah, they're just great."
16,A,"and, uh, now tonight I just finished up with that A WOMAN CALLED JACKIE, did you watch did you watch it?","A|and, uh, now tonight I just finished up with that A WOMAN CALLED JACKIE, did you watch did you watch it?"
17,M,"I watched it, yeah.","M|I watched it, yeah."
18,A,"Yeah, it, it was pretty good, it, uh, sometimes I like a dramatization, and I like, uh, U S A, when they had their, uh, uh, mystery movies and things, their made for T V movies","A|Yeah, it, it was pretty good, it, uh, sometimes I like a dramatization, and I like, uh, U S A, when they had their, uh, uh, mystery movies and things, their made for T V movies"
19,M,"Uh, uh-hue.","M|Uh, uh-hue."
20,A,"and, uh, I like those. We very seldom watch any, uh, Public Television, Channel Thirteen. Do you watch it much?","A|and, uh, I like those. We very seldom watch any, uh, Public Television, Channel Thirteen. Do you watch it much?"
21,M,"No, not really. I, uh I think I'm, uh,","M|No, not really. I, uh I think I'm, uh,"
22,A,Yes.,A|Yes.
23,M,"but, uh.","M|but, uh."
24,A,Yes,A|Yes
25,M,"and we watch it every Sunday night, and we like to, to catch the, uh the repeats.","M|and we watch it every Sunday night, and we like to, to catch the, uh the repeats."
26,A,Now we haven't watched any of those.,A|Now we haven't watched any of those.
27,M,"Oh, we haven t V much either.","M|Oh, we haven t V much either."
28,A,"Yes, now we have watched some things on that.","A|Yes, now we have watched some things on that."
29,M,Uh-huh.,M|Uh-huh.
30,A,"Yeah, we had, uh, I don't know, my husband loves to, uh, that male syndrome of flicking that channel, so, you know, and he's sit in front of it and, and he went by and he said, Whoops, and he backed up, and, you know, there's this surgery going on as we're eating our dinner you know,","A|Yeah, we had, uh, I don't know, my husband loves to, uh, that male syndrome of flicking that channel, so, you know, and he's sit in front of it and, and he went by and he said, Whoops, and he backed up, and, you know, there's this surgery going on as we're eating our dinner you know,"
31,M,Uh-huh.,M|Uh-huh.
32,A,and I'm saying let's move right on,A|and I'm saying let's move right on
33,M,"Right, right.","M|Right, right."
34,A,"But our grandchildren like that Discovery Channel if they're over here, because lots of times it will have things on, uh, animals","A|But our grandchildren like that Discovery Channel if they're over here, because lots of times it will have things on, uh, animals"
35,M,Uh-huh.,M|Uh-huh.
36,A,"and they just thoroughly, you know, enjoy that","A|and they just thoroughly, you know, enjoy that"
37,M,"Uh, uh-hum.","M|Uh, uh-hum."
38,A,"in fact, I think they were watching something on, uh, whales, or killer sharks, one or the other couple of weeks ago over here","A|in fact, I think they were watching something on, uh, whales, or killer sharks, one or the other couple of weeks ago over here"
39,M,Uh.,M|Uh.
40,A,"and, uh, so we have watched that","A|and, uh, so we have watched that"
41,M,That is a pretty scary show.,M|That is a pretty scary show.
42,A,"and, uh, otherwise, of course my husband's into the football","A|and, uh, otherwise, of course my husband's into the football"
43,M,"Uh, uh-hints.","M|Uh, uh-hints."
44,A,"and, you know, I will watch that some if I'm reading or doing something else, you know with him.","A|and, you know, I will watch that some if I'm reading or doing something else, you know with him."
45,M,Uh.,M|Uh.
46,A,"Yes. Yes, and sometimes now we're getting that, uh, the other football where they play it inside, and you know, this is a, you know, this is too much Saturdays and Sunday, this is fine, but do we have to carry this on into the summer and the spring you know, all of that,","A|Yes. Yes, and sometimes now we're getting that, uh, the other football where they play it inside, and you know, this is a, you know, this is too much Saturdays and Sunday, this is fine, but do we have to carry this on into the summer and the spring you know, all of that,"
47,M,Uh-huh.,M|Uh-huh.
48,A,"and, uh, but he will, uh, he'll flip around, I think the other night we had on, uh, uh, it was a, it was car races, some kind of car races where they were bumping over hills and flying into the air and coming down. I don't know what channel he found that on","A|and, uh, but he will, uh, he'll flip around, I think the other night we had on, uh, uh, it was a, it was car races, some kind of car races where they were bumping over hills and flying into the air and coming down. I don't know what channel he found that on"
49,M,Uh-huh.,M|Uh-huh.
50,A,"and, uh, but he will turn that on, especially for, if, again, if our, uh, oldest grandson is over here. He's ten","A|and, uh, but he will turn that on, especially for, if, again, if our, uh, oldest grandson is over here. He's ten"
51,M,!!! Remind me.,M|!!! Remind me.
52,A,"and, uh, they'll find something like that and just absolutely sit glued to it, I, you know, I keep telling them it's the same mentality you know, and something's wrong, and, uh, but, uh, and we very seldom watch television on a Friday night or Saturday night, because we're not home","A|and, uh, they'll find something like that and just absolutely sit glued to it, I, you know, I keep telling them it's the same mentality you know, and something's wrong, and, uh, but, uh, and we very seldom watch television on a Friday night or Saturday night, because we're not home"
53,M,"Uh, uh-homing.","M|Uh, uh-homing."
54,A,"and, uh, so, and Sundays, uh, we usually have, all of our kids are over on Sunday, so, you know, we don't get into that, except that sometimes we'll get into their home videos","A|and, uh, so, and Sundays, uh, we usually have, all of our kids are over on Sunday, so, you know, we don't get into that, except that sometimes we'll get into their home videos"
55,M,Uh.,M|Uh.
56,A,do you ever watch that?,A|do you ever watch that?
57,M,"Um, yeah, I like to watch that.","M|Um, yeah, I like to watch that."
58,A,"Yeah, uh-huh","A|Yeah, uh-huh"
59,M,yeah.,M|yeah.
60,A,that are sometimes so dumb,A|that are sometimes so dumb
61,M,Yeah.,M|Yeah.
62,A,"But very true to life, I mean, I've seen our family in several of those situations","A|But very true to life, I mean, I've seen our family in several of those situations"
