,Speaker,Utterance,Unified
5,M,"and he's going to decide, you're right, whether or not you're, uh.","M|and he's going to decide, you're right, whether or not you're, uh."
6,A,"Well, what about the idea that one is only guilty, uh, when proven guilty beyond a reasonable doubt? I thought that was the point of, uh, a unanimous jury was the idea that if everyone agrees then there shouldn't be any reasonable doubt.","A|Well, what about the idea that one is only guilty, uh, when proven guilty beyond a reasonable doubt? I thought that was the point of, uh, a unanimous jury was the idea that if everyone agrees then there shouldn't be any reasonable doubt."
7,M,I think so.,M|I think so.
8,A,"But, if there are some people who don't agree uh, then there must be, it seems to be there must be at least a reasonable doubt for some people.","A|But, if there are some people who don't agree uh, then there must be, it seems to be there must be at least a reasonable doubt for some people."
9,M,"Well I don, I, I agree with you on that. Uh","M|Well I don, I, I agree with you on that. Uh"
10,A,Really? Have you served on a jury?,A|Really? Have you served on a jury?
11,M,Yes.,M|Yes.
12,A,"I never have either, but my friends, my few friends who have, uh, say just the opposite They say they're, uh, remarkably incompetent. And, uh, don't know what they're doing and say one thing in the courtroom and then as soon as they get in the back room they just start letting all their prejudices hang out and to, to air, and all that.","A|I never have either, but my friends, my few friends who have, uh, say just the opposite They say they're, uh, remarkably incompetent. And, uh, don't know what they're doing and say one thing in the courtroom and then as soon as they get in the back room they just start letting all their prejudices hang out and to, to air, and all that."
13,M,Uh-hous.,M|Uh-hous.
14,A,"Right, , they don't want anyone with anyone with particular experience or knowledge of the legal system.","A|Right, , they don't want anyone with anyone with particular experience or knowledge of the legal system."
15,M,No.,M|No.
16,A,"And they tend, and since anyone can get out of it who basically says they don't want to do it, I mean, you know, it's, it's anyone can get out of jury just about, and, uh, so, it, it's, uh, it's not really my peers that, if I were let's say I were arrested falsely or not and put up for a jury I wouldn't feel that, uh, I would be being tried by a jury of my peers.","A|And they tend, and since anyone can get out of it who basically says they don't want to do it, I mean, you know, it's, it's anyone can get out of jury just about, and, uh, so, it, it's, uh, it's not really my peers that, if I were let's say I were arrested falsely or not and put up for a jury I wouldn't feel that, uh, I would be being tried by a jury of my peers."
17,M,Yeah.,M|Yeah.
18,A,"I'd be, I mean I'd be tried by a jury of you know, people who had nothing else to do and weren't very knowledgeable about certain sorts of things, and, uh, I don't know,","A|I'd be, I mean I'd be tried by a jury of you know, people who had nothing else to do and weren't very knowledgeable about certain sorts of things, and, uh, I don't know,"
19,M,Yeah.,M|Yeah.
20,A,"I, I get a little bit nervous about it, and, uh,","A|I, I get a little bit nervous about it, and, uh,"
21,M,"Yeah, I, I think it's important that they, that they do a little more research before they, uh","M|Yeah, I, I think it's important that they, that they do a little more research before they, uh"
22,A,"Yeah, I, I was called once, but I was out of the country, and apparently I, apparently they thought I served so I didn't, I didn't make any noise about it I came back and they said the record showed I served, but I was out of the country at the time, so I'm pretty sure I didn't. Uh,","A|Yeah, I, I was called once, but I was out of the country, and apparently I, apparently they thought I served so I didn't, I didn't make any noise about it I came back and they said the record showed I served, but I was out of the country at the time, so I'm pretty sure I didn't. Uh,"
23,M,"Well, I'm sure you were.","M|Well, I'm sure you were."
24,A,"Yeah, well, I I, I don't know, I definitely feel like we need to keep it at least unanimous because, uh, you know, there's the classic sort of TO KILL A MOCKINGBIRD kind of story where you get, you know,","A|Yeah, well, I I, I don't know, I definitely feel like we need to keep it at least unanimous because, uh, you know, there's the classic sort of TO KILL A MOCKINGBIRD kind of story where you get, you know,"
25,M,"Oh, yeah.","M|Oh, yeah."
26,A,"And, uh, it seems to me that if you could just have a simple majority or something you could pretty much you know, browbeat the jury,  a majority, in the, of the, a majority of the jury,","A|And, uh, it seems to me that if you could just have a simple majority or something you could pretty much you know, browbeat the jury,  a majority, in the, of the, a majority of the jury,"
27,M,Right.,M|Right.
28,A,"that's hard to say. Uh, so, it's, it's, uh, you know, saying, well, look we don't like the way he looks and, let's, uh, let's throw the rascal in jail and stuff.","A|that's hard to say. Uh, so, it's, it's, uh, you know, saying, well, look we don't like the way he looks and, let's, uh, let's throw the rascal in jail and stuff."
29,M,Yeah.,M|Yeah.
30,A,"And you also get a lot of, uh, juries are extremely, uh, and from what I hear, I, I have, I have some friends who do expert witness testimony and they say that, uh, juries are extremely vulnerable to, uh, sort of emotional pitches, you know, the prosecutor will want to, oh, I don't know show the, show the mugging victim, you know, show what the nice person he was and what a family life, and basically get the jury to be very sympathetic with the victim, and, uh, or, or, uh, if it's a corporation, that was, uh, you know, harming some individual or something like that, they get very much, well, you know, it's just a big faceless corporation. Let's, let's make them pay as much as possible. Things like that.","A|And you also get a lot of, uh, juries are extremely, uh, and from what I hear, I, I have, I have some friends who do expert witness testimony and they say that, uh, juries are extremely vulnerable to, uh, sort of emotional pitches, you know, the prosecutor will want to, oh, I don't know show the, show the mugging victim, you know, show what the nice person he was and what a family life, and basically get the jury to be very sympathetic with the victim, and, uh, or, or, uh, if it's a corporation, that was, uh, you know, harming some individual or something like that, they get very much, well, you know, it's just a big faceless corporation. Let's, let's make them pay as much as possible. Things like that."
31,M,"Uh, I think, uh-havings, I mean, jeez, jeezer, jokes, are, are pretty much automatic penalties.","M|Uh, I think, uh-havings, I mean, jeez, jeezer, jokes, are, are pretty much automatic penalties."
32,A,"So, not, I, I mean, I'm, the problem is I can't guarantee that a judge would be necessarily be much better than a jury, but I'd be real nervous having a jury not at least fully agree on what the settlements would be,  things like that.","A|So, not, I, I mean, I'm, the problem is I can't guarantee that a judge would be necessarily be much better than a jury, but I'd be real nervous having a jury not at least fully agree on what the settlements would be,  things like that."
33,M,"Well, you can't, you, you don't have a perfect system.","M|Well, you can't, you, you don't have a perfect system."
34,A,Yeah.,A|Yeah.
35,M,"You know, I think the jury should be able to recommend sentencing.","M|You know, I think the jury should be able to recommend sentencing."
36,A,"Uh-huh. Well, how about having a jury and a judge work together on it somehow? I wonder if that's possible? I guess the judge's time is worth too much, though.","A|Uh-huh. Well, how about having a jury and a judge work together on it somehow? I wonder if that's possible? I guess the judge's time is worth too much, though."
37,M,"Well, I would think so.","M|Well, I would think so."
38,A,"They pay that judge, they pay those jury members very little money compared to that judge","A|They pay that judge, they pay those jury members very little money compared to that judge"
39,M,"Uh,","M|Uh,"
40,A,He makes more money in an hour than all twelve of them put together.,A|He makes more money in an hour than all twelve of them put together.
41,M,"Yeah, that's true.","M|Yeah, that's true."
42,A,"Uh-huh, uh-huh.","A|Uh-huh, uh-huh."
43,M,"And, uh.","M|And, uh."
44,A,"Oh, of course. It's, it's political maneuvering. The, the one side is looking for someone whose face they think will, you know, want to hang everyone, and the other one is going to look for someone very sympathetic. They're not looking for someone who's going to be the most reasoned or sensible or rational juror. *whose who's Neither side wants that. They want to find a juror that's going to, uh, be most persuadable by their arguments, you know.","A|Oh, of course. It's, it's political maneuvering. The, the one side is looking for someone whose face they think will, you know, want to hang everyone, and the other one is going to look for someone very sympathetic. They're not looking for someone who's going to be the most reasoned or sensible or rational juror. *whose who's Neither side wants that. They want to find a juror that's going to, uh, be most persuadable by their arguments, you know."
45,M,Right.,M|Right.
46,A,"Uh, I wish it were a little bit harder to not serve on juries actually. I mean, I know, it, it, it's tricky because I know, you know, an awful lot of intelligent people who just, well I'm too busy to serve on a jury,","A|Uh, I wish it were a little bit harder to not serve on juries actually. I mean, I know, it, it, it's tricky because I know, you know, an awful lot of intelligent people who just, well I'm too busy to serve on a jury,"
47,M,Uh-uh. Yeah.,M|Uh-uh. Yeah.
48,A,"so I'll tell them that and they won't, or just, you know, just answer one of the questions the wrong way because you can do that, you know,","A|so I'll tell them that and they won't, or just, you know, just answer one of the questions the wrong way because you can do that, you know,"
49,M,Yeah.,M|Yeah.
50,A,"they just say do you believe in such and such. Uh,","A|they just say do you believe in such and such. Uh,"
51,M,Yeah.,M|Yeah.
52,A,"Right. Course, they'd be, they would be barred, but","A|Right. Course, they'd be, they would be barred, but"
53,M,"Right, right.","M|Right, right."
54,A,"Uh-huh. Yeah, well it sounds like we both need to get out there and serve on a jury.","A|Uh-huh. Yeah, well it sounds like we both need to get out there and serve on a jury."
55,M,I think so too.,M|I think so too.
56,A,I hope we're called up before too long.,A|I hope we're called up before too long.
57,M,"Okay, well, we'll talk to you later.","M|Okay, well, we'll talk to you later."
58,A,"They will, they will eventually. Okay, well it was nice talking with you.","A|They will, they will eventually. Okay, well it was nice talking with you."
59,M,"It was nice to talk to you, too.","M|It was nice to talk to you, too."
60,A,Bye-bye.,A|Bye-bye.
61,M,Okay.,M|Okay.
