,Speaker,Utterance,Unified
5,M,Um.,M|Um.
6,A,"Well, I have this new fondue pot and I was going to do basic cheese fondue, and I have two different kinds of breads and some ham and I was going to try something weird which, you know, when you have fish au gratin, I was going to make some, uh, like fish chunks and dip it in the fondue. I don't know if it will come out.","A|Well, I have this new fondue pot and I was going to do basic cheese fondue, and I have two different kinds of breads and some ham and I was going to try something weird which, you know, when you have fish au gratin, I was going to make some, uh, like fish chunks and dip it in the fondue. I don't know if it will come out."
7,M,!!!;!! Remind me of that.,M|!!!;!! Remind me of that.
8,A,"Yeah, the cheese fondue I make, some people like swiss, um, I prefer cheddar. And I'll mix, I won't make, I won't have a sharp cheddar because it, for fondue I think it should be a little calmer than real sharp, cheddar.","A|Yeah, the cheese fondue I make, some people like swiss, um, I prefer cheddar. And I'll mix, I won't make, I won't have a sharp cheddar because it, for fondue I think it should be a little calmer than real sharp, cheddar."
9,M,Uh-huh.,M|Uh-huh.
10,A,And then I was going to make other things like potato skins.,A|And then I was going to make other things like potato skins.
11,M,"Oh, those are good too.","M|Oh, those are good too."
12,A,"see you don't necessarily have to dip this stuff. And, um, I was going to have broccoli and cauliflower for a, a vegetable.","A|see you don't necessarily have to dip this stuff. And, um, I was going to have broccoli and cauliflower for a, a vegetable."
13,M,Uh-huh.,M|Uh-huh.
14,A,"Oh, yeah, it's amazing how vegetables trays will go at a party.","A|Oh, yeah, it's amazing how vegetables trays will go at a party."
15,M,"Yeah, it really is.","M|Yeah, it really is."
16,A,"Yeah, instead of something greasy or,","A|Yeah, instead of something greasy or,"
17,M,!!!%!!;!! Remind me of that now.,M|!!!%!!;!! Remind me of that now.
18,A,"my, uh, girlfriends do catering and they always, about every party they do is they have a vegetable tray. I think they try and suggest it.","A|my, uh, girlfriends do catering and they always, about every party they do is they have a vegetable tray. I think they try and suggest it."
19,M,Uh-huh.,M|Uh-huh.
20,A,"What I've been doing when I get invited someplace and bring something, I make, uh, food kabobs. You take little toothpicks and cut up, uh, pineapple and strawberry, and even banana if you can do it just before you leave.","A|What I've been doing when I get invited someplace and bring something, I make, uh, food kabobs. You take little toothpicks and cut up, uh, pineapple and strawberry, and even banana if you can do it just before you leave."
21,M,Um.,M|Um.
22,A,It stays nice and fresh.,A|It stays nice and fresh.
23,M,Yes.,M|Yes.
24,A,"Yeah. Yeah, I like those","A|Yeah. Yeah, I like those"
25,M,"Yeah, that sounds good.","M|Yeah, that sounds good."
26,A,"Um, they, they made a couple of those, uh, they made one for my, uh, bridal shower and I was pretty pleased. I never made one for myself though. But they look easy enough to make it's not,","A|Um, they, they made a couple of those, uh, they made one for my, uh, bridal shower and I was pretty pleased. I never made one for myself though. But they look easy enough to make it's not,"
