,Speaker,Utterance,Unified
5,A,"And, uh, I think that's a national problem, though.","A|And, uh, I think that's a national problem, though."
6,M,I think so.,M|I think so.
7,A,"It's not unique,","A|It's not unique,"
8,M,"Yeah, yeah, I mean, you know, there's, there are crimes that are punishable by death,","M|Yeah, yeah, I mean, you know, there's, there are crimes that are punishable by death,"
9,A,"Yes. Uh-huh. Well, now, we're pretty close to the golden triangle, aren't you?","A|Yes. Uh-huh. Well, now, we're pretty close to the golden triangle, aren't you?"
10,M,"Uh-hope, we, we have.","M|Uh-hope, we, we have."
11,A,"Right, research triangle and all of that.","A|Right, research triangle and all of that."
12,M,Yeah.,M|Yeah.
13,A,"And, uh, I'm sure you have a lot of students there, uh, and a lot of researchers so you, you may have a, you know, perhaps a little better economic climate, but, in all your cities now, it seems like there is a, a crowd that's really effected by this bill.","A|And, uh, I'm sure you have a lot of students there, uh, and a lot of researchers so you, you may have a, you know, perhaps a little better economic climate, but, in all your cities now, it seems like there is a, a crowd that's really effected by this bill."
14,M,Uh-hue.,M|Uh-hue.
15,A,Really?,A|Really?
16,M,Yeah.,M|Yeah.
17,A,Really?,A|Really?
18,M,Yeah.,M|Yeah.
19,A,"Um. Well, here, uh, I'm not sure how many Dallas has had. I've, uh, Houston is averaging about two a week or three or four, I, I don't know. A, a number every week.","A|Um. Well, here, uh, I'm not sure how many Dallas has had. I've, uh, Houston is averaging about two a week or three or four, I, I don't know. A, a number every week."
20,M,Yeah.,M|Yeah.
21,A,"Uh, Dallas is having quite a few. Seems like most of ours are occurring in late at night or, or, like I say, drug related. Uh, I guess the other thing was that are causing a lot of the crime now is the decrease in values. Seems like a, a lot of people don't hold human life quite as high as perhaps they used to.","A|Uh, Dallas is having quite a few. Seems like most of ours are occurring in late at night or, or, like I say, drug related. Uh, I guess the other thing was that are causing a lot of the crime now is the decrease in values. Seems like a, a lot of people don't hold human life quite as high as perhaps they used to."
22,M,Right.,M|Right.
23,A,"Uh, I,","A|Uh, I,"
24,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
25,A,The economy is lousy,A|The economy is lousy
26,M,"Yeah, and, and I don't know,","M|Yeah, and, and I don't know,"
27,A,Uh-huh.,A|Uh-huh.
28,M,"And, uh, they've, they have a, a real, uh they have real problem with, uh with Hispanics.","M|And, uh, they've, they have a, a real, uh they have real problem with, uh with Hispanics."
29,A,"Boy that really, that really takes someone who is bold to do that.","A|Boy that really, that really takes someone who is bold to do that."
30,M,It really does.,M|It really does.
31,A,"Well, now, do you find that security is very good in, in a, in a town home?","A|Well, now, do you find that security is very good in, in a, in a town home?"
32,M,"Well not really. Uh, there's some, there are some really nice ones. Uh we have a, a, uh, uh a very nice one. Uh it's just a, it, it has a basement and it's the only thing that really bothers me. The rest of it is pretty nice. Uh.","M|Well not really. Uh, there's some, there are some really nice ones. Uh we have a, a, uh, uh a very nice one. Uh it's just a, it, it has a basement and it's the only thing that really bothers me. The rest of it is pretty nice. Uh."
33,A,Uh-huh.,A|Uh-huh.
34,M,"and it's not always the, the people that are at home are the ones that are buying the most.","M|and it's not always the, the people that are at home are the ones that are buying the most."
35,A,"Well, that,","A|Well, that,"
36,M,"So, it's, it is a real problem.","M|So, it's, it is a real problem."
37,A,I see.,A|I see.
38,M,"And, uh, so, I was kind of thinking, well, you know, we're going to have a reunion in a couple of years, and I really like that","M|And, uh, so, I was kind of thinking, well, you know, we're going to have a reunion in a couple of years, and I really like that"
39,A,Yeah.,A|Yeah.
40,M,"so, I mean, I don't, I just, I think I'm getting old, and I don 't like it when kids are involved in things like that.","M|so, I mean, I don't, I just, I think I'm getting old, and I don 't like it when kids are involved in things like that."
41,A,"Well, I think you hit on one point there is you know each other.","A|Well, I think you hit on one point there is you know each other."
42,M,"Yeah, well, it's, it, it seems like it's pretty steady. I don't know, you, you need to keep up with a lot of things, I guess.","M|Yeah, well, it's, it, it seems like it's pretty steady. I don't know, you, you need to keep up with a lot of things, I guess."
43,A,"I'm, I'm in a neighborhood where we try to keep up with everything. Uh, I am, oh, about three blocks off a major road and, uh, a couple of blocks off another road that kind of runs, I guess you would say the neighborhood road, it runs between the high school and the, the commercial districts and, uh, I'm over the northeast part of Dallas. It's a, in a nice neighborhood. The houses here, uh, before the recession were running two hundred thousand or so and, course, everything's down ten to twenty percent now.","A|I'm, I'm in a neighborhood where we try to keep up with everything. Uh, I am, oh, about three blocks off a major road and, uh, a couple of blocks off another road that kind of runs, I guess you would say the neighborhood road, it runs between the high school and the, the commercial districts and, uh, I'm over the northeast part of Dallas. It's a, in a nice neighborhood. The houses here, uh, before the recession were running two hundred thousand or so and, course, everything's down ten to twenty percent now."
44,M,"Oh, I see.","M|Oh, I see."
45,A,"But we have, uh, one, one thing that effects us is we have apartments that are probably about a half mile away and now the economy is bad, they have trouble keeping those full so they've dropped the, uh, they're not nearly as selective as they used to be.","A|But we have, uh, one, one thing that effects us is we have apartments that are probably about a half mile away and now the economy is bad, they have trouble keeping those full so they've dropped the, uh, they're not nearly as selective as they used to be."
46,M,Uh-huh.,M|Uh-huh.
47,A,"And, course, that's kind of like a cancer in an apartment complex. You start letting that happen and they go down and then before you know it you have drugs and a lot of other things so, uh, I'm sure that aggravates it also.","A|And, course, that's kind of like a cancer in an apartment complex. You start letting that happen and they go down and then before you know it you have drugs and a lot of other things so, uh, I'm sure that aggravates it also."
48,M,Right.,M|Right.
49,A,"But, unemployment now in Dallas, or in Texas is up around six point,","A|But, unemployment now in Dallas, or in Texas is up around six point,"
