,Speaker,Utterance,Unified
5,M,!!!%!!;!! Remind me.,M|!!!%!!;!! Remind me.
6,A,I've been in the house I'm in here right now about twelve and a half years.,A|I've been in the house I'm in here right now about twelve and a half years.
7,M,"Oh, my goodness.","M|Oh, my goodness."
8,A,Uh-huh.,A|Uh-huh.
9,M,"so,","M|so,"
10,A,"Oh, really? Uh-huh.","A|Oh, really? Uh-huh."
11,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
12,A,"Uh-huh. Well, I bet you, Uh-huh.","A|Uh-huh. Well, I bet you, Uh-huh."
13,M,"And, uh  it's, uh","M|And, uh  it's, uh"
14,A,Uh-huh.,A|Uh-huh.
15,M,but it's all custom.,M|but it's all custom.
16,A,"Well, that sounds interesting. I bet he's enjoyed having it that way","A|Well, that sounds interesting. I bet he's enjoyed having it that way"
17,M,Well it's been a pleasure talking to you.,M|Well it's been a pleasure talking to you.
18,A,because kind of hard to find one prebuilt that 's kind of fits those specifications.,A|because kind of hard to find one prebuilt that 's kind of fits those specifications.
19,M,Uh-uh. Yeah.,M|Uh-uh. Yeah.
20,A,Uh-huh.,A|Uh-huh.
21,M,and they're not quite as nice looking.,M|and they're not quite as nice looking.
22,A,"Well, then, most of them don't have a three car garage.","A|Well, then, most of them don't have a three car garage."
23,M,Right.,M|Right.
24,A,They're kind of rare.,A|They're kind of rare.
25,M,Yeah.,M|Yeah.
26,A,Uh-huh.,A|Uh-huh.
27,M,"And it was, it was a lot of fun.","M|And it was, it was a lot of fun."
28,A,Uh-huh.,A|Uh-huh.
29,M,"And, uh, we, I don't know, we were, we just didn't do it.","M|And, uh, we, I don't know, we were, we just didn't do it."
30,A,"Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything.","A|Uh-huh. Well that, my, we've just got a two car garage, but my husband's got a big space in between the, where the cars are and the house, where he has a big work shop, you know, workbench and everything."
31,M,Yeah.,M|Yeah.
32,A,"Now, mine does not work on cars, he just piddles on this and that.","A|Now, mine does not work on cars, he just piddles on this and that."
33,M,"Oh, my goodness.","M|Oh, my goodness."
34,A,"But he likes to have a spot to keep all of his, his piddling things.","A|But he likes to have a spot to keep all of his, his piddling things."
35,M,"Uh-oh, uh-oh.","M|Uh-oh, uh-oh."
36,A,It really is.,A|It really is.
37,M,"Yeah, and, uh,","M|Yeah, and, uh,"
38,A,"Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,","A|Because, you know, they have a lot of things of their own, and I, you know, I wouldn't mind having, and I at one time was going to fix up when one of my daughters left, a bedroom to where I had a room to just put all of my craft stuff and sewing machine and all that kind of stuff,"
39,M,Uh.,M|Uh.
40,A,"but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something.","A|but I, someone, I don't know, it ended up I got some furniture back that one of them had moved out or something."
41,M,!!!;!!%!! Remind me.,M|!!!;!!%!! Remind me.
42,A,So I didn't end up with my vacant room like I had thought I would.,A|So I didn't end up with my vacant room like I had thought I would.
43,M,"Uh, I had to sell the house.","M|Uh, I had to sell the house."
44,A,Uh-huh.,A|Uh-huh.
45,M,And they're really trying to start a family.,M|And they're really trying to start a family.
46,A,Uh-huh.,A|Uh-huh.
47,M,"and so it's, it's a lot of different things. But, uh, it is, uh","M|and so it's, it's a lot of different things. But, uh, it is, uh"
48,A,"Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know.","A|Uh-huh. Well, I still, all three of my daughters are married, but, I don't know, I just still have need for the four bedrooms just having company from time to time. And some of them coming back home and things, you know."
49,M,Right.,M|Right.
50,A,"And we've got grandchildren now, so when they come, they have to have a place.","A|And we've got grandchildren now, so when they come, they have to have a place."
51,M,"Oh, yeah.","M|Oh, yeah."
52,A,"That's right, you sure don't. At times I keep thinking, though, that might be kind of nice.","A|That's right, you sure don't. At times I keep thinking, though, that might be kind of nice."
53,M,"Yeah, you, you have to be able, you really have to want to be there to be, uh, able to do something.","M|Yeah, you, you have to be able, you really have to want to be there to be, uh, able to do something."
54,A,Uh-huh.,A|Uh-huh.
55,M,"And, uh.","M|And, uh."
56,A,Uh-huh.,A|Uh-huh.
57,M,"and, uh.","M|and, uh."
58,A,Uh-huh.,A|Uh-huh.
59,M,"and, uh, so, uh","M|and, uh, so, uh"
60,A,Uh-huh.,A|Uh-huh.
61,M,So.,M|So.
62,A,"Well, I don't blame you for that.","A|Well, I don't blame you for that."
63,M,No.,M|No.
64,A,"Well, I have the three girls and then we ended up with four grandsons.","A|Well, I have the three girls and then we ended up with four grandsons."
65,M,"Oh, well that's good.","M|Oh, well that's good."
66,A,And little boys are around the house a whole lot more than girls.,A|And little boys are around the house a whole lot more than girls.
67,M,Yeah.,M|Yeah.
68,A,"And, uh, I enjoy them coming, but for short doses","A|And, uh, I enjoy them coming, but for short doses"
69,M,Uh-hum.,M|Uh-hum.
70,A,"It feels, after they've been here ten minutes, they have already explored the entire house, they know everything.","A|It feels, after they've been here ten minutes, they have already explored the entire house, they know everything."
