,Speaker,Utterance,Unified
5,M,"!!!%!! Remind me of that, oh, I know where you live, that's, uh.","M|!!!%!! Remind me of that, oh, I know where you live, that's, uh."
6,A,Uh-huh.,A|Uh-huh.
7,M,"and I, uh, I live in a, a fairly nice suburb of, uh Baltimore.","M|and I, uh, I live in a, a fairly nice suburb of, uh Baltimore."
8,A,Uh-huh. Yes.,A|Uh-huh. Yes.
9,M,"and, uh","M|and, uh"
10,A,"Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes.","A|Yeah, I, uh, I ethically don't like the idea but, or I should say morally I don't like the idea, but, uh, social and ethics, socially and ethically I think it's a good idea, in certain crimes."
11,M,"Uh,","M|Uh,"
12,A,"Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,","A|Uh-huh. Uh-huh. Right, any ,  on the street, no, I know. Uh-huh. Yeah, and Texas is having a problem right now and it's, the, the, the, the, the I think that's the, the repeat crimes and the repeat offenders is happening down here where they're, they're patrol, the state patrol board is letting people walk that have done, oh, heinous things from from killing police officers to, I mean just multiple, you know, molestations to murders of children, just, you know, really bad things and they're get, these people are getting out like three to five years before they're even suppose to be considered,"
13,M,Yeah.,M|Yeah.
14,A,"and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten","A|and now, they can't find them and they're finding bodies in you know, I mean, you think why they say it's because you're over crowd, it's over crowded, and you think how is, is everybody that stupid or is the world really that rotten"
15,M,"Uh, yeah, I agree with you there.","M|Uh, yeah, I agree with you there."
16,A,I know.,A|I know.
17,M,"I mean, I, I guess it's just me but I don 't much care about the, about the punishment aspect.","M|I mean, I, I guess it's just me but I don 't much care about the, about the punishment aspect."
18,A,"And then,","A|And then,"
19,M,"and we have, we had a, a, uh a population of about seventy-six thousand.","M|and we have, we had a, a, uh a population of about seventy-six thousand."
20,A,"I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun","A|I don't know how Americans are about handguns but, uh, yesterday a lady I work with just told me today that, uh, in the state capitol here in Austin, Texas, they had been, uh, looking at a bill, uh, making it easier to accept the bill to access, to access handguns and they passed it, which basically means without an F B I check any person here in this state over twenty-one can get a gun"
21,M,Uh-huh.,M|Uh-huh.
22,A,"Is it, that's good.","A|Is it, that's good."
23,M,Yeah.,M|Yeah.
24,A,"Say, that good, I think that's, like the state of Virginia, yeah, that's great.","A|Say, that good, I think that's, like the state of Virginia, yeah, that's great."
25,M,Yeah.,M|Yeah.
26,A,Uh-huh.,A|Uh-huh.
27,M,"and you have,","M|and you have,"
28,A,Uh-huh.,A|Uh-huh.
29,M,"so I, I went ahead and got one.","M|so I, I went ahead and got one."
30,A,"Uh-huh. Right, they're no, the cattiness behind, right, yeah,","A|Uh-huh. Right, they're no, the cattiness behind, right, yeah,"
31,M,"you know, it would be a good way to get rid of the salesman, I guess.","M|you know, it would be a good way to get rid of the salesman, I guess."
32,A,"I mean I don't like guns in general but when I think about, uh, this topic like capital punishment I look at somebody, I mean, I just remember when I was in college in a dorm and I think if he'd been around one of my family members probably would have killed him but in Florida, in the state of Washington when they had the Ted Bundy case","A|I mean I don't like guns in general but when I think about, uh, this topic like capital punishment I look at somebody, I mean, I just remember when I was in college in a dorm and I think if he'd been around one of my family members probably would have killed him but in Florida, in the state of Washington when they had the Ted Bundy case"
33,M,"Uh, uh-hue.","M|Uh, uh-hue."
