,Speaker,Utterance,Unified
5,M,Uh-huh.,M|Uh-huh.
6,A,And we only have one. We tore all the rest of them up.,A|And we only have one. We tore all the rest of them up.
7,M,"Oh, that's not bad.","M|Oh, that's not bad."
8,A,"Because I don't like credit cards for one thing, you know, I mean, they're okay, I guess, if you're on a trip or something, you don't have to take a whole bunch of, you know, cash with you,","A|Because I don't like credit cards for one thing, you know, I mean, they're okay, I guess, if you're on a trip or something, you don't have to take a whole bunch of, you know, cash with you,"
9,M,"Uh, no.","M|Uh, no."
10,A,"but I don't like using them because I've seen too many people that used them and ended up bankrupt or on,  chapter thirteen and stuff like that.","A|but I don't like using them because I've seen too many people that used them and ended up bankrupt or on,  chapter thirteen and stuff like that."
11,M,Yeah.,M|Yeah.
12,A,"Because they have this weird opinion that if you use that card, you don't have to pay for it.","A|Because they have this weird opinion that if you use that card, you don't have to pay for it."
13,M,Yeah.,M|Yeah.
14,A,"Yeah, yeah, and it gives you a, um, a false sense of security or something it seems like because you say, oh, well, I don't have to pay for it now but you're going to have to pay for it, and it seems like ...","A|Yeah, yeah, and it gives you a, um, a false sense of security or something it seems like because you say, oh, well, I don't have to pay for it now but you're going to have to pay for it, and it seems like ..."
15,M,Yeah.,M|Yeah.
16,A,Uh-huh.,A|Uh-huh.
17,M,"So, I mean, I guess, I just don't know. I, I'm not too much of a person that, uh, I, uh I don tinker with credit cards or anything.","M|So, I mean, I guess, I just don't know. I, I'm not too much of a person that, uh, I, uh I don tinker with credit cards or anything."
18,A,Right. Are you married?,A|Right. Are you married?
19,M,"No, I'm not.","M|No, I'm not."
20,A,"Oh, okay. Well, I know that a lot of young people, you know, I, it took me a long time to get it through my child's head, I mean, that was her goal, you know, uh, got to have a credit card,","A|Oh, okay. Well, I know that a lot of young people, you know, I, it took me a long time to get it through my child's head, I mean, that was her goal, you know, uh, got to have a credit card,"
21,M,Uh-uh. Uh-hue.,M|Uh-uh. Uh-hue.
22,A,"but now that she has one, she's only used it one time but she wanted to establish some credit,","A|but now that she has one, she's only used it one time but she wanted to establish some credit,"
23,M,Right.,M|Right.
24,A,"but I think it finally sunk in, you know, because she saw some of the other people and just like she heard them say, you know, well, I used a credit card. And my husband's sister is the world's worst at, oh, well, I'll just use the credit cards and she has all of her credit cards up to the limit.","A|but I think it finally sunk in, you know, because she saw some of the other people and just like she heard them say, you know, well, I used a credit card. And my husband's sister is the world's worst at, oh, well, I'll just use the credit cards and she has all of her credit cards up to the limit."
25,M,"Uh,","M|Uh,"
26,A,"You know, and I'm, I'm thinking woman, wake up and smell the roses before they come and get you. But ...","A|You know, and I'm, I'm thinking woman, wake up and smell the roses before they come and get you. But ..."
27,M,"Yeah, I agree with you there.","M|Yeah, I agree with you there."
28,A,"Right, and people don't see that either.","A|Right, and people don't see that either."
29,M,!!!%!! Remind me of that.,M|!!!%!! Remind me of that.
30,A,"Right. The only one that we, we have that we kept was the Discover card,","A|Right. The only one that we, we have that we kept was the Discover card,"
31,M,Uh-huh.,M|Uh-huh.
32,A,"and it pays you to use it.  I mean, if you pay your bill off right away,  if you don't ever have to pay any interest on it because they give you a certain amount every time that you use it,","A|and it pays you to use it.  I mean, if you pay your bill off right away,  if you don't ever have to pay any interest on it because they give you a certain amount every time that you use it,"
33,M,"Oh, that's good.","M|Oh, that's good."
34,A,"and you make that money as long as you don't ever have to pay them any, uh, interest. Now it's, and people say, well, you know, I'm making money by using this credit card, but they don't realize that if they, I mean, it only takes one time for you to use it and not pay the interest, I mean, you have to pay the interest, not pay it right off,","A|and you make that money as long as you don't ever have to pay them any, uh, interest. Now it's, and people say, well, you know, I'm making money by using this credit card, but they don't realize that if they, I mean, it only takes one time for you to use it and not pay the interest, I mean, you have to pay the interest, not pay it right off,"
35,M,Right.,M|Right.
36,A,that's going to take up what you would have made.,A|that's going to take up what you would have made.
37,M,Yeah.,M|Yeah.
38,A,"So that's the only reason that we kept that, we debated for a long time plus they don't have that, um, charge on it, you know, like ...","A|So that's the only reason that we kept that, we debated for a long time plus they don't have that, um, charge on it, you know, like ..."
39,M,"Well, I've never, I haven't, I never, it's always been like my mom always says, well if you charge it, it will be automatically undoed, so,","M|Well, I've never, I haven't, I never, it's always been like my mom always says, well if you charge it, it will be automatically undoed, so,"
40,A,Yeah.,A|Yeah.
41,M,"Oh, okay.","M|Oh, okay."
42,A,"Right. They don't have one of those. So, it, we decided that was it, you know, and, I mean, everybody calls us and wants to give us a credit card. We have, we could have credit cards running down our ears.","A|Right. They don't have one of those. So, it, we decided that was it, you know, and, I mean, everybody calls us and wants to give us a credit card. We have, we could have credit cards running down our ears."
43,M,Uh-huh.,M|Uh-huh.
44,A,"Yes, yes. And then, I'll have, just like , uh, department stores. They'll call me up, you know, and I'll say, look, I don't want the credit card, well, we're just going to send it to you, you know, you don't have to ever use it if you don't want to. They'll send me any credit card, I tear it up. I just can't see it.","A|Yes, yes. And then, I'll have, just like , uh, department stores. They'll call me up, you know, and I'll say, look, I don't want the credit card, well, we're just going to send it to you, you know, you don't have to ever use it if you don't want to. They'll send me any credit card, I tear it up. I just can't see it."
45,M,Yeah. I know.,M|Yeah. I know.
46,A,Uh-huh. Yeah.,A|Uh-huh. Yeah.
47,M,and then you have to write a check for it. And I just hate them.,M|and then you have to write a check for it. And I just hate them.
48,A,"I know it, and you know what ...","A|I know it, and you know what ..."
49,M,and then they send it back to you.,M|and then they send it back to you.
50,A,"What's really bad about those though is just like young people if they don't, you know, we take the time to, you know, help my daughter, she's in college,","A|What's really bad about those though is just like young people if they don't, you know, we take the time to, you know, help my daughter, she's in college,"
51,M,Uh-uh.,M|Uh-uh.
