,Speaker,Utterance,Unified
5,M,"Uh, yes.","M|Uh, yes."
6,A,"So, what are your thoughts on dining out?","A|So, what are your thoughts on dining out?"
7,M,"Well, I guess I, I kind of like having a variety. I, uh I, like having, uh  you know, some, you know steak and lobster places,","M|Well, I guess I, I kind of like having a variety. I, uh I, like having, uh  you know, some, you know steak and lobster places,"
8,A,Not for the price?,A|Not for the price?
9,M,"No, not for the cost.","M|No, not for the cost."
10,A,Okay.,A|Okay.
11,M,"but I think that's just because I have to have my eyes on it, you know.","M|but I think that's just because I have to have my eyes on it, you know."
12,A,Uh-huh. The Really? Okay.,A|Uh-huh. The Really? Okay.
13,M,"!!!%!! translated It's, it's really, it, it really is good.","M|!!!%!! translated It's, it's really, it, it really is good."
14,A,Uh-huh.,A|Uh-huh.
15,M,"And they're, you know, they're all basically the same.","M|And they're, you know, they're all basically the same."
16,A,"My word, it's like mama in the back kitchen, huh?","A|My word, it's like mama in the back kitchen, huh?"
17,M,"Oh, it was, it really was.","M|Oh, it was, it really was."
18,A,Oh.,A|Oh.
19,M,"And, uh.","M|And, uh."
20,A,Yeah.,A|Yeah.
21,M,"And, uh, it was, it, it had a nice touch to it.","M|And, uh, it was, it, it had a nice touch to it."
22,A,Uh-huh.,A|Uh-huh.
23,M,"And, uh  they had, uh a really nice dinner party.","M|And, uh  they had, uh a really nice dinner party."
24,A,Okay.,A|Okay.
25,M,"But, uh.","M|But, uh."
26,A,"Wow. And where was that at, near your,","A|Wow. And where was that at, near your,"
27,M,"It's in Addison, just west of Addison.","M|It's in Addison, just west of Addison."
28,A,"Where, is it in Dallas?","A|Where, is it in Dallas?"
29,M,"Uh, Richardson.","M|Uh, Richardson."
30,A,Is it in the phone book?,A|Is it in the phone book?
31,M,"!!!%!! translated It's in the, uh in the book, and it's,","M|!!!%!! translated It's in the, uh in the book, and it's,"
32,A,Do you know how to spell it?,A|Do you know how to spell it?
33,M,"Oh, I don't know how.","M|Oh, I don't know how."
34,A,Okay.,A|Okay.
35,M,"It's a, it's a spell. It's like raisers, like raiser tops, like tennis shoes.","M|It's a, it's a spell. It's like raisers, like raiser tops, like tennis shoes."
36,A,"Kalli , K A L L I? Okay.","A|Kalli , K A L L I? Okay."
37,M,Yeah.,M|Yeah.
38,A,"Uh-huh, section, yes, uh-huh.","A|Uh-huh, section, yes, uh-huh."
39,M,"Okay, I'm, uh.","M|Okay, I'm, uh."
40,A,"What about fast foods? Do you have a preference if you were going to, eat a fast food?","A|What about fast foods? Do you have a preference if you were going to, eat a fast food?"
41,M,"Well, I like, uh.","M|Well, I like, uh."
42,A,"You do, like Arby's? See I don't like Arby's.","A|You do, like Arby's? See I don't like Arby's."
43,M,Yeah.,M|Yeah.
44,A,"No, because they use everything they can and make this into pressed whatever. They use the, they use the insides of the animals, heart and liver and they, they form it, and they make it look like roast beef, and I said, no, thank you.","A|No, because they use everything they can and make this into pressed whatever. They use the, they use the insides of the animals, heart and liver and they, they form it, and they make it look like roast beef, and I said, no, thank you."
45,M,Wow.,M|Wow.
