,Speaker,Utterance,Unified
5,M,"Oh, well, that's good.","M|Oh, well, that's good."
6,A,"So, we're just starting into hunting for child care.","A|So, we're just starting into hunting for child care."
7,M,Yeah.,M|Yeah.
8,A,"Right now, both of us are students.","A|Right now, both of us are students."
9,M,Uh-huh.,M|Uh-huh.
10,A,"Uh, Uh, University of Southern Mississippi.","A|Uh, Uh, University of Southern Mississippi."
11,M,"Oh, okay.","M|Oh, okay."
12,A,"Uh, she's,","A|Uh, she's,"
13,M,"She's, she was a, a, uh, a sophomore at U T at the University of Texas at Dallas.","M|She's, she was a, a, uh, a sophomore at U T at the University of Texas at Dallas."
14,A,Yeah.,A|Yeah.
15,M,"And, uh, she, she got, she was from a poor immigrant family and, uh","M|And, uh, she, she got, she was from a poor immigrant family and, uh"
16,A,"Uh, probably. Uh, actually spring semester a year from now he's going to have to be in child care uh, five days a week more than likely. Uh, depending on how my class schedule runs","A|Uh, probably. Uh, actually spring semester a year from now he's going to have to be in child care uh, five days a week more than likely. Uh, depending on how my class schedule runs"
17,M,Uh-huh.,M|Uh-huh.
18,A,because my wife will be doing her internship that semester.,A|because my wife will be doing her internship that semester.
19,M,Uh-huh.,M|Uh-huh.
20,A,"It will be forty hour week, not, no, eight to five type of thing.","A|It will be forty hour week, not, no, eight to five type of thing."
21,M,"Oh, that's great.","M|Oh, that's great."
22,A,"So depending on what my class schedule looks like, he may spend four, anywhere from four to eight hours a day in child care at that point. Right now we're trying to avoid it, but we just, as a matter of fact just yesterday hired a, a girl to, uh, watch him. Uh, I get out of class at certain time and my wife is already supposed to be on her way to her class. You know, once a day this overlap happens where we can't, one of us be home.","A|So depending on what my class schedule looks like, he may spend four, anywhere from four to eight hours a day in child care at that point. Right now we're trying to avoid it, but we just, as a matter of fact just yesterday hired a, a girl to, uh, watch him. Uh, I get out of class at certain time and my wife is already supposed to be on her way to her class. You know, once a day this overlap happens where we can't, one of us be home."
23,M,Right.,M|Right.
24,A,"So for about twenty twenty, thirty minutes a day we got a baby-sitter comes in.","A|So for about twenty twenty, thirty minutes a day we got a baby-sitter comes in."
25,M,"Oh, my goodness.","M|Oh, my goodness."
26,A,Uh-huh,A|Uh-huh
27,M,"And, uh","M|And, uh"
28,A,Yeah.,A|Yeah.
29,M,"and whether it was going to cost us money or whether it would be better for us to have, you know, our own, you would have to be willing to sacrifice to have someone guide us.","M|and whether it was going to cost us money or whether it would be better for us to have, you know, our own, you would have to be willing to sacrifice to have someone guide us."
30,A,Uh-huh.,A|Uh-huh.
31,M,"We could have had her there to have her dressed, uh.","M|We could have had her there to have her dressed, uh."
32,A,Uh-huh.,A|Uh-huh.
33,M,"And they live in a town called David, which is on the outskirts of London. And they're, they're very happy. They have, uh a very elderly population.","M|And they live in a town called David, which is on the outskirts of London. And they're, they're very happy. They have, uh a very elderly population."
34,A,Yeah.,A|Yeah.
35,M,"And, uh.","M|And, uh."
36,A,Uh-huh.,A|Uh-huh.
37,M,"And, uh  it's, uh.","M|And, uh  it's, uh."
38,A,Yeah.,A|Yeah.
39,M,"and, uh.","M|and, uh."
40,A,"Uh, that makes a big difference.","A|Uh, that makes a big difference."
41,M,"Yeah, I think so.","M|Yeah, I think so."
42,A,Yes.,A|Yes.
43,M,"It's, it's, uh, it has a lot of things to offer, uh.","M|It's, it's, uh, it has a lot of things to offer, uh."
44,A,Yeah.,A|Yeah.
45,M,"and,","M|and,"
46,A,"There's a lot of child care available, but invariably there's waiting lists.","A|There's a lot of child care available, but invariably there's waiting lists."
47,M,"Yeah, that's true.","M|Yeah, that's true."
48,A,"And we were a little slow getting on the waiting list with the, uh, okay, the university, uh, university's, uh uh, department of, uh, uh, their Home Ec Department","A|And we were a little slow getting on the waiting list with the, uh, okay, the university, uh, university's, uh uh, department of, uh, uh, their Home Ec Department"
49,M,Uh.,M|Uh.
50,A,"uh, they, uh, they have a subbranch, uh, American Family Counseling and their people staff this, this, uh, the child care center just off campus. But, uh, they have a pretty good size waiting list.","A|uh, they, uh, they have a subbranch, uh, American Family Counseling and their people staff this, this, uh, the child care center just off campus. But, uh, they have a pretty good size waiting list."
51,M,"Oh, really?","M|Oh, really?"
52,A,"So,","A|So,"
53,M,"And I think that's one of the things that's really important to us is to, uh to make sure that, uh...","M|And I think that's one of the things that's really important to us is to, uh to make sure that, uh..."
54,A,Uh-huh.,A|Uh-huh.
55,M,"You know, it, it seems like, uh you know, the longer you wait the easier it is to get somebody, you know.","M|You know, it, it seems like, uh you know, the longer you wait the easier it is to get somebody, you know."
56,A,Yeah.,A|Yeah.
57,M,"And I think, you're right, there's a lot of things that you could do, like, you, you could go and, and, uh you know walk into a room and, you can't do anything.","M|And I think, you're right, there's a lot of things that you could do, like, you, you could go and, and, uh you know walk into a room and, you can't do anything."
58,A,"Yeah. Yeah,","A|Yeah. Yeah,"
59,M,"and, uh.","M|and, uh."
60,A,"a cottage industry's the best way to do it really, because if you over,","A|a cottage industry's the best way to do it really, because if you over,"
61,M,"Yeah, yeah.","M|Yeah, yeah."
62,A,Uh-huh. Yeah. Yeah.,A|Uh-huh. Yeah. Yeah.
63,M,"And, uh.","M|And, uh."
64,A,Uh-huh.,A|Uh-huh.
65,M,"And I think that we're really going to have to, uh","M|And I think that we're really going to have to, uh"
66,A,"Yes. And it's amazing how much good things like, uh, Sesame Street will do.","A|Yes. And it's amazing how much good things like, uh, Sesame Street will do."
67,M,"I know, I, I don't know if it's, uh.","M|I know, I, I don't know if it's, uh."
