,Speaker,Utterance,Unified
5,M,"Yes, uh-huh.","M|Yes, uh-huh."
6,A,"Yes, that's similar to Georgia.","A|Yes, that's similar to Georgia."
7,M,Uh-huh.,M|Uh-huh.
8,A,"That's probably true considering, Yes. Yes, uh, I guess in a way that, it, it kind of defeats the purpose of having capital punishment if,","A|That's probably true considering, Yes. Yes, uh, I guess in a way that, it, it kind of defeats the purpose of having capital punishment if,"
9,M,"Yeah, yeah.","M|Yeah, yeah."
10,A,"Yes. Right, that would be the intent of it.","A|Yes. Right, that would be the intent of it."
11,M,!!!%!!;!! Remind me.,M|!!!%!!;!! Remind me.
12,A,"Well, I think it would be more successful if it was applied in a more expedient manner, if there weren't so many  appeals.","A|Well, I think it would be more successful if it was applied in a more expedient manner, if there weren't so many  appeals."
13,M,Right.,M|Right.
14,A,"Yeah, if, if the person who's going to commit the crime knew that they were going to be punished severely, possibly capital punishment,","A|Yeah, if, if the person who's going to commit the crime knew that they were going to be punished severely, possibly capital punishment,"
15,M,Right.,M|Right.
16,A,"Uh, I'm a research engineer, I work, uh, with Georgia Tech.","A|Uh, I'm a research engineer, I work, uh, with Georgia Tech."
17,M,"Oh, you do work with, uh-homing.","M|Oh, you do work with, uh-homing."
18,A,Um.,A|Um.
19,M,"And, uh.","M|And, uh."
20,A,Yes.,A|Yes.
21,M,"And, uh.","M|And, uh."
22,A,Um.,A|Um.
23,M,"and, uh, I don't know, it's, it just, I think it's a problem that we've got to address.","M|and, uh, I don't know, it's, it just, I think it's a problem that we've got to address."
24,A,Uh-huh.,A|Uh-huh.
25,M,"but, you know, I, I don't see the problem with it.","M|but, you know, I, I don't see the problem with it."
26,A,"Um, that's probably true, but I guess there's other factors that,","A|Um, that's probably true, but I guess there's other factors that,"
27,M,"Well, I think the, the most significant factor is that we're not spending enough.","M|Well, I think the, the most significant factor is that we're not spending enough."
28,A,"But, pumping more money into the school system is a good thing,","A|But, pumping more money into the school system is a good thing,"
29,M,Uh-uh. Right.,M|Uh-uh. Right.
30,A,"but it's not going to, Oh, I see.","A|but it's not going to, Oh, I see."
31,M,"It's not just the school systems, I mean, there's been things done to try to, to slow down the rate of crime and I'm sure that that has not been,","M|It's not just the school systems, I mean, there's been things done to try to, to slow down the rate of crime and I'm sure that that has not been,"
32,A,Uh-huh.,A|Uh-huh.
