,Speaker,Utterance,Unified
5,M,Yeah.,M|Yeah.
6,A,"I mean, not, not to this large scale as Iraq, but that,","A|I mean, not, not to this large scale as Iraq, but that,"
7,M,Uh.,M|Uh.
8,A,"whenever we give arms to people, as we did, and as we sold arms to, pardon me, to Iraq, when we wanted them to fight Iran, and then, uh, and then it turn around and,","A|whenever we give arms to people, as we did, and as we sold arms to, pardon me, to Iraq, when we wanted them to fight Iran, and then, uh, and then it turn around and,"
9,M,Right.,M|Right.
10,A,Uh-huh.,A|Uh-huh.
11,M,"But, uh.","M|But, uh."
12,A,"Uh-huh. And I know when I spent, the time that I've studied in Mexico, uh, Spanish was one of my majors in college, that, uh, there was a kind of a lot of resentment there towards America,","A|Uh-huh. And I know when I spent, the time that I've studied in Mexico, uh, Spanish was one of my majors in college, that, uh, there was a kind of a lot of resentment there towards America,"
13,M,"Oh, really.","M|Oh, really."
14,A,"about, uh, like you say, using them, our interest there is, you know, what profit we could make off of any kind of relationship with them,","A|about, uh, like you say, using them, our interest there is, you know, what profit we could make off of any kind of relationship with them,"
15,M,Right.,M|Right.
16,A,"and that we weren't normally very interested in them, and they have, in other, in most Latin American countries, they, there are a lot of the kind of problems that we've fought for in other countries, you know, that they have corruption, and, and they don't have, uh, I mean, there's just very few really modern cities.","A|and that we weren't normally very interested in them, and they have, in other, in most Latin American countries, they, there are a lot of the kind of problems that we've fought for in other countries, you know, that they have corruption, and, and they don't have, uh, I mean, there's just very few really modern cities."
17,M,"Right, right.","M|Right, right."
18,A,Uh-huh.,A|Uh-huh.
19,M,"the, the drug lords and the big market up there, and that's, that, that I think is probably the most, uh-havings in Latin America.","M|the, the drug lords and the big market up there, and that's, that, that I think is probably the most, uh-havings in Latin America."
20,A,"Well, that's right, because that's just so much of the way that they make their money and so many communities have, uh, have to have that for farming","A|Well, that's right, because that's just so much of the way that they make their money and so many communities have, uh, have to have that for farming"
21,M,"Uh,","M|Uh,"
22,A,"And they don't look at it so much as, you know,","A|And they don't look at it so much as, you know,"
23,M,Yeah.,M|Yeah.
24,A,Uh-huh. That's right.,A|Uh-huh. That's right.
25,M,"You know, we, we don't, we pay an annual fee for it, and, and it's not, it's really not too bad. I mean, I, I think it's a pretty good idea, but I don't think it should be mandatory.","M|You know, we, we don't, we pay an annual fee for it, and, and it's not, it's really not too bad. I mean, I, I think it's a pretty good idea, but I don't think it should be mandatory."
26,A,"And I think it's really very sad that north of the border, you know, the United States and Canada is so different, from the from South America, and Central America.","A|And I think it's really very sad that north of the border, you know, the United States and Canada is so different, from the from South America, and Central America."
27,M,"Oh, yeah.","M|Oh, yeah."
28,A,"There's really a disparity between the, uh, what a I would call civilization of the countries, you know.","A|There's really a disparity between the, uh, what a I would call civilization of the countries, you know."
29,M,"Yeah, that's true.","M|Yeah, that's true."
30,A,Uh-huh.,A|Uh-huh.
31,M,"and, uh it's not, it's, it is not just a problem with America, it, it has to do with, uh the, the, there's a lot of resentment, I mean, the Mexican people are, are, they're a lot more, uh...","M|and, uh it's not, it's, it is not just a problem with America, it, it has to do with, uh the, the, there's a lot of resentment, I mean, the Mexican people are, are, they're a lot more, uh..."
32,A,"Yes, it's really kind of sad, and, that we would go all the way to Iraq and that we would be very concerned with the situation between Jerusalem and, uh, Israel and the Middle East Arab countries, and, and when we have, when we have a lot of problems, right in our own back door.","A|Yes, it's really kind of sad, and, that we would go all the way to Iraq and that we would be very concerned with the situation between Jerusalem and, uh, Israel and the Middle East Arab countries, and, and when we have, when we have a lot of problems, right in our own back door."
33,M,"Uh, yeah.","M|Uh, yeah."
34,A,Um.,A|Um.
35,M,"And, uh.","M|And, uh."
36,A,So I guess we've kind of neglected Latin America.,A|So I guess we've kind of neglected Latin America.
37,M,Uh-huh.,M|Uh-huh.
38,A,recently,A|recently
39,M,Right.,M|Right.
40,A,"Yeah, fairly recently. Well, that's really sad. I hadn't thought about that in a long time.","A|Yeah, fairly recently. Well, that's really sad. I hadn't thought about that in a long time."
41,M,Uh-huh.,M|Uh-huh.
42,A,"Well, I guess then, I will go, but I,","A|Well, I guess then, I will go, but I,"
43,M,"Well I, I don't know, it's just, I, it seems like I'm getting older and, and I'm not sure if I'm going to, to stay as old as I want to be.","M|Well I, I don't know, it's just, I, it seems like I'm getting older and, and I'm not sure if I'm going to, to stay as old as I want to be."
44,A,"made me stop and think a minute about, not worrying so much about the Middle East crisis.","A|made me stop and think a minute about, not worrying so much about the Middle East crisis."
45,M,Yeah.,M|Yeah.
46,A,"I know that it's not settled but, there are other areas that we could focus our attention on.","A|I know that it's not settled but, there are other areas that we could focus our attention on."
47,M,Right.,M|Right.
48,A,"Well, thank you, you have a good day.","A|Well, thank you, you have a good day."
49,M,You too.,M|You too.
50,A,Bye-bye.,A|Bye-bye.
51,M,"Okay, I guess we're ready to begin.","M|Okay, I guess we're ready to begin."
