,Speaker,Utterance,Unified
5,M,"I think that's, uh.","M|I think that's, uh."
6,A,How about your community?,A|How about your community?
7,M,"Well, it's a, it is a small community, but it's, uh it's fairly large and it's not a total, you know, it, it does have some recycling centers and things like that. Uh.","M|Well, it's a, it is a small community, but it's, uh it's fairly large and it's not a total, you know, it, it does have some recycling centers and things like that. Uh."
8,A,Dye Mound?,A|Dye Mound?
9,M,Yeah.,M|Yeah.
10,A,Uh-huh.,A|Uh-huh.
11,M,"Yeah, it's in the Plano area.","M|Yeah, it's in the Plano area."
12,A,Sounds like a place where I grew up,A|Sounds like a place where I grew up
13,M,"Yeah, uh-hope so,","M|Yeah, uh-hope so,"
14,A,"Well, I like it.","A|Well, I like it."
15,M,"But I'm, I, I don't know, I just don't think it's as, it's, uh","M|But I'm, I, I don't know, I just don't think it's as, it's, uh"
16,A,Uh-huh.,A|Uh-huh.
17,M,"It's a little more difficult to drive, but it's, it is a lot of fun.","M|It's a little more difficult to drive, but it's, it is a lot of fun."
18,A,"Well, good.","A|Well, good."
19,M,"So, uh.","M|So, uh."
20,A,"Oh, okay.","A|Oh, okay."
21,M,"So, uh.","M|So, uh."
22,A,Uh-huh.,A|Uh-huh.
23,M,"And, uh.","M|And, uh."
24,A,Oh.,A|Oh.
25,M,"It will, uh.","M|It will, uh."
26,A,"Well, let's hope not. You can be, uh, get in trouble for that.","A|Well, let's hope not. You can be, uh, get in trouble for that."
27,M,I'm sure it will.,M|I'm sure it will.
28,A,Uh-huh.,A|Uh-huh.
29,M,"and then, uh you, you, uh put the, uh in the middle of the bridge and, and then you, put the concrete under it and then, you put the slab under it.","M|and then, uh you, you, uh put the, uh in the middle of the bridge and, and then you, put the concrete under it and then, you put the slab under it."
30,A,"Well, it's quite similar to a hydraulic jack, isn't it?","A|Well, it's quite similar to a hydraulic jack, isn't it?"
31,M,Yeah.,M|Yeah.
32,A,"Okay, okay.","A|Okay, okay."
33,M,"I'm, I'm from the, uh, I was born and raised in Texas, so I know a little bit about Texas politics.","M|I'm, I'm from the, uh, I was born and raised in Texas, so I know a little bit about Texas politics."
34,A,"Yes, until you release it.","A|Yes, until you release it."
35,M,"And then you put it in there, and it's like, uh, oh, this is going to work.","M|And then you put it in there, and it's like, uh, oh, this is going to work."
36,A,All right.,A|All right.
37,M,"So, uh, what are your favorite shows?","M|So, uh, what are your favorite shows?"
38,A,"I think, Yes.","A|I think, Yes."
39,M,"And, uh.","M|And, uh."
40,A,"Oh, yes, I sure do.","A|Oh, yes, I sure do."
41,M,Yeah.,M|Yeah.
42,A,Uh-huh.,A|Uh-huh.
43,M,"And, uh, you know, it's like, it, it really is, I mean, you, you don't have to, you just don't even have to go out and buy it.","M|And, uh, you know, it's like, it, it really is, I mean, you, you don't have to, you just don't even have to go out and buy it."
44,A,Uh-huh. Oh.,A|Uh-huh. Oh.
45,M,"And I don't know why, why I don tinker with it.","M|And I don't know why, why I don tinker with it."
46,A,Yes.,A|Yes.
47,M,"And, uh","M|And, uh"
48,A,No.,A|No.
49,M,"I don't, I donno what the solution is to that.","M|I don't, I donno what the solution is to that."
50,A,"Well, great. That's excellent.","A|Well, great. That's excellent."
51,M,Yeah.,M|Yeah.
52,A,"Well, uh, if a lot of people did that, then we wouldn't have a lot of this junk mail. That's a great idea. I hadn't thought about that and we might be able to incorporate some of that. One thing,","A|Well, uh, if a lot of people did that, then we wouldn't have a lot of this junk mail. That's a great idea. I hadn't thought about that and we might be able to incorporate some of that. One thing,"
53,M,"Well we're, we're doing that. We're doing it in all the schools, too, so.","M|Well we're, we're doing that. We're doing it in all the schools, too, so."
54,A,Right.,A|Right.
55,M,"Uh, you know, we're not going to, we won't be able, uh  to completely eliminate it, but, uh.","M|Uh, you know, we're not going to, we won't be able, uh  to completely eliminate it, but, uh."
56,A,Uh-huh.,A|Uh-huh.
57,M,"And, uh.","M|And, uh."
58,A,Right.,A|Right.
59,M,"And, uh.","M|And, uh."
60,A,Oh.,A|Oh.
61,M,"And, uh, so I'm not real sure that I'm going to be able to make the kind of choices that I did that I would like to do because I think I would be, I would probably be uncomfortable with it.","M|And, uh, so I'm not real sure that I'm going to be able to make the kind of choices that I did that I would like to do because I think I would be, I would probably be uncomfortable with it."
62,A,Yes.,A|Yes.
63,M,"So, it, it just, it is amazing, to me how, how, you know, the, the amount of money that, that's, that was put into, uh, the research of, of this, that, uh-huh.","M|So, it, it just, it is amazing, to me how, how, you know, the, the amount of money that, that's, that was put into, uh, the research of, of this, that, uh-huh."
64,A,"Well, that's a great idea, that's a great idea.","A|Well, that's a great idea, that's a great idea."
65,M,"So,","M|So,"
66,A,Products. Yes.,A|Products. Yes.
67,M,"So, it, it seems like it's, uh.","M|So, it, it seems like it's, uh."
68,A,Uh-huh.,A|Uh-huh.
69,M,"and, and I think that that's one of the reasons that we're so cheap.","M|and, and I think that that's one of the reasons that we're so cheap."
70,A,"Yes, they will.","A|Yes, they will."
71,M,"And I think that's a, that's, that is a big problem. I think it's a big, uh","M|And I think that's a, that's, that is a big problem. I think it's a big, uh"
72,A,Exactly.,A|Exactly.
73,M,"So, I don't know. I think we've been lucky. I've had, uh, two boys through so far, and, uh  they've both been real picky about things.","M|So, I don't know. I think we've been lucky. I've had, uh, two boys through so far, and, uh  they've both been real picky about things."
74,A,Huh.,A|Huh.
75,M,"He's, uh, he's a, uh a character on MURPHY BROWN.","M|He's, uh, he's a, uh a character on MURPHY BROWN."
76,A,"Well, that's a full time job.","A|Well, that's a full time job."
77,M,Yeah.,M|Yeah.
78,A,"Yes, well, I've found out, too, that, uh, you know, a couple years ago, we've always been recycling newspaper for the last twelve years, and at one time we could get a pretty good return, uh, with the Boy Scouts. We could take and collect the newspaper,","A|Yes, well, I've found out, too, that, uh, you know, a couple years ago, we've always been recycling newspaper for the last twelve years, and at one time we could get a pretty good return, uh, with the Boy Scouts. We could take and collect the newspaper,"
