,Speaker,Utterance,Unified
5,M,Yeah.,M|Yeah.
6,A,"Yeah. Yeah my husband was complaining the other day because he said every time I turn around you're telling me some new rule about recycling like yesterday I was tell him, you have to, you're supposed to squeeze the plastic jugs before you take them up there.","A|Yeah. Yeah my husband was complaining the other day because he said every time I turn around you're telling me some new rule about recycling like yesterday I was tell him, you have to, you're supposed to squeeze the plastic jugs before you take them up there."
7,M,Right.,M|Right.
8,A,"Every time he turns around I'm giving him some new rule, where you're supposed to squish up the, you know, like collapse the plastic jugs. Instead of taking them up there solid.","A|Every time he turns around I'm giving him some new rule, where you're supposed to squish up the, you know, like collapse the plastic jugs. Instead of taking them up there solid."
9,M,Uh-huh.,M|Uh-huh.
10,A,"And I wish that our recycling center took paper bags. They won't take those. We like to put our, just put our newspapers in a paper bag, you know, and then carry them up there that way.","A|And I wish that our recycling center took paper bags. They won't take those. We like to put our, just put our newspapers in a paper bag, you know, and then carry them up there that way."
11,M,Yeah.,M|Yeah.
12,A,And we have to bring the paper bags back every time. Because they won't take them.,A|And we have to bring the paper bags back every time. Because they won't take them.
13,M,Oh.,M|Oh.
14,A,"Do you, uh, take your papers somewhere or does someone pick them up?","A|Do you, uh, take your papers somewhere or does someone pick them up?"
15,M,"No, I don't take any of those papers.","M|No, I don't take any of those papers."
16,A,"Uh-huh. We, um, we don't take our cans up to that center, though, our aluminum cans, we like to take them to one of the places where they pay you for them.","A|Uh-huh. We, um, we don't take our cans up to that center, though, our aluminum cans, we like to take them to one of the places where they pay you for them."
17,M,Right.,M|Right.
18,A,Uh-huh.,A|Uh-huh.
19,M,but we do take cans.,M|but we do take cans.
20,A,"Yeah, it takes us about a year to save up enough to be worth, you know, worth bothering to go in and do, but. Do you, um, have any ideas on anything that would make,","A|Yeah, it takes us about a year to save up enough to be worth, you know, worth bothering to go in and do, but. Do you, um, have any ideas on anything that would make,"
21,M,"Well, I don't know. I've always, I've never, uh, thought about getting involved in any type of recycling, uh.","M|Well, I don't know. I've always, I've never, uh, thought about getting involved in any type of recycling, uh."
22,A,Uh-huh.,A|Uh-huh.
23,M,"And, uh, and I know some places will take, uh newspaper, and they'll also take plastic bags, and, uh you know.","M|And, uh, and I know some places will take, uh newspaper, and they'll also take plastic bags, and, uh you know."
24,A,Right.,A|Right.
25,M,"and, and then you put it in your regular trash.","M|and, and then you put it in your regular trash."
26,A,Yeah that would be a good idea.,A|Yeah that would be a good idea.
27,M,"Uh-uh. I mean, I, I think, I know that there are a lot more people that use plastic.","M|Uh-uh. I mean, I, I think, I know that there are a lot more people that use plastic."
28,A,Yeah.,A|Yeah.
29,M,"And I'm not sure how you would, uh, how you'd route getting there and then getting it there.","M|And I'm not sure how you would, uh, how you'd route getting there and then getting it there."
30,A,"Right. Yeah, that would be a real good motivation for people.","A|Right. Yeah, that would be a real good motivation for people."
31,M,Uh-huh.,M|Uh-huh.
32,A,"Right. Yeah, my father was telling me about some program he read about where you buy your bags, like you buy your garbage bag from the city,","A|Right. Yeah, my father was telling me about some program he read about where you buy your bags, like you buy your garbage bag from the city,"
33,M,Uh-huh.,M|Uh-huh.
34,A,"and you pay more than just what you would pay for an empty garbage bag but then you don't pay any monthly fee or anything, so how ever many bags of garbage you throw away, that's how many you have to pay for.","A|and you pay more than just what you would pay for an empty garbage bag but then you don't pay any monthly fee or anything, so how ever many bags of garbage you throw away, that's how many you have to pay for."
35,M,"Oh, that sounds good.","M|Oh, that sounds good."
36,A,"Yeah. Yeah that would be a real good idea. I'm trying to think if there's anything else I could think of. They are talking about going to curbside pickup in our, in our city .","A|Yeah. Yeah that would be a real good idea. I'm trying to think if there's anything else I could think of. They are talking about going to curbside pickup in our, in our city ."
37,M,"Uh,","M|Uh,"
38,A,"Rowlett, Texas.","A|Rowlett, Texas."
39,M,Uh-huh.,M|Uh-huh.
40,A,Do you know where that is?,A|Do you know where that is?
41,M,Yeah.,M|Yeah.
42,A,"And I don't know if they decided to do, or not, but I think they said it was going to add like either a dollar or three dollars a month to your bill to have them do that. Although, I think a lot of those programs can operate at about a break even, break even point,  without charging people.","A|And I don't know if they decided to do, or not, but I think they said it was going to add like either a dollar or three dollars a month to your bill to have them do that. Although, I think a lot of those programs can operate at about a break even, break even point,  without charging people."
43,M,Yeah. That's true.,M|Yeah. That's true.
44,A,"Yeah I don't know, uh, I guess it just depends on how they manage it.","A|Yeah I don't know, uh, I guess it just depends on how they manage it."
45,M,Uh-huh.,M|Uh-huh.
