,Speaker,Utterance,Unified
5,M,Uh-huh. Right.,M|Uh-huh. Right.
6,A,"bit. Tell me how yours works. Well, at the I introduced you a little bit to it, a few minutes ago, when I said that we are, uh, we're on the east coast now.","A|bit. Tell me how yours works. Well, at the I introduced you a little bit to it, a few minutes ago, when I said that we are, uh, we're on the east coast now."
7,M,"Oh, okay.","M|Oh, okay."
8,A,"My husband quit a perfectly wonderful job and decided that, well, we both decided we wanted to move to North Carolina.","A|My husband quit a perfectly wonderful job and decided that, well, we both decided we wanted to move to North Carolina."
9,M,Oh.,M|Oh.
10,A,"And so naturally we put ourselves, we looked at our budget,","A|And so naturally we put ourselves, we looked at our budget,"
11,M,Uh.,M|Uh.
12,A,"and so, what we did was draw up a budget that we thought, uh, was realistic.","A|and so, what we did was draw up a budget that we thought, uh, was realistic."
13,M,!!!%!!;!!!!! Remind me.,M|!!!%!!;!!!!! Remind me.
14,A,"And, uh, so, we had to make some adjustments because we really are kind of looking for something that we want to do and he wants to do that's satisfactory, and we've been here seven months and he's still hasn't hit up on anything permanently.","A|And, uh, so, we had to make some adjustments because we really are kind of looking for something that we want to do and he wants to do that's satisfactory, and we've been here seven months and he's still hasn't hit up on anything permanently."
15,M,"Well, I know that my husband's been working and, and doing other things with his life and, uh he's had to take care of his own business.","M|Well, I know that my husband's been working and, and doing other things with his life and, uh he's had to take care of his own business."
16,A,"So, you see,","A|So, you see,"
17,M,"And we're looking forward to just traveling and having fun and, and having the time to do it too.","M|And we're looking forward to just traveling and having fun and, and having the time to do it too."
18,A,"Well, we actually planned for about one year.","A|Well, we actually planned for about one year."
19,M,Uh-huh.,M|Uh-huh.
20,A,"Uh, that God because, *listen  it never occurred to  it never occurred to us that it would take seven months.","A|Uh, that God because, *listen  it never occurred to  it never occurred to us that it would take seven months."
21,M,Yeah.,M|Yeah.
22,A,"And, uh, what we did was just, uh, decide how we had been spending our money before,","A|And, uh, what we did was just, uh, decide how we had been spending our money before,"
23,M,Uh-huh.,M|Uh-huh.
24,A,"and then we put that on the computer and then we took about three months and, uh, and adjusted,  where we could come down and where we didn't want to come down,","A|and then we put that on the computer and then we took about three months and, uh, and adjusted,  where we could come down and where we didn't want to come down,"
25,M,Yeah.,M|Yeah.
26,A,"and we really, uh, lessened it, uh, our living expenses, uh, more than what we thought we would.","A|and we really, uh, lessened it, uh, our living expenses, uh, more than what we thought we would."
27,M,Yeah.,M|Yeah.
28,A,"But,","A|But,"
29,M,"I think, I think that's really important,","M|I think, I think that's really important,"
30,A,"Oh, just our own design.","A|Oh, just our own design."
31,M,Oh.,M|Oh.
32,A,Uh-huh.,A|Uh-huh.
33,M,"And, uh, it, it was, it's really neat.","M|And, uh, it, it was, it's really neat."
34,A,"And the, so, but we've had budgets that didn't work when our, uh, you know, of our first fifteen years or eighteen years of being married nothing worked","A|And the, so, but we've had budgets that didn't work when our, uh, you know, of our first fifteen years or eighteen years of being married nothing worked"
35,M,"Uh,","M|Uh,"
36,A,"We spent too much money,  until our children went to college, so. So, tell me about,","A|We spent too much money,  until our children went to college, so. So, tell me about,"
37,M,"Well, I, I have a sister who's a, a, uh a, an English major who's in, uh","M|Well, I, I have a sister who's a, a, uh a, an English major who's in, uh"
38,A,"do you all, uh, have a budget?","A|do you all, uh, have a budget?"
39,M,"Well, I, I'm, uh  I'm a graduate student.","M|Well, I, I'm, uh  I'm a graduate student."
40,A,Wonderful. Yes.,A|Wonderful. Yes.
41,M,"and, uh.","M|and, uh."
42,A,Three and a two year old.,A|Three and a two year old.
43,M,"and, uh-huh.","M|and, uh-huh."
44,A,"Bang, *one utt?? bang.","A|Bang, *one utt?? bang."
45,M,That's right.,M|That's right.
46,A,Uh-huh.,A|Uh-huh.
47,M,"And, um we've been trying, um. We've tried everything, you can go to any store and you can take your clothes out of your own clothes, and they're just like, oh, how nice, how neat.","M|And, um we've been trying, um. We've tried everything, you can go to any store and you can take your clothes out of your own clothes, and they're just like, oh, how nice, how neat."
48,A,"Well, I think that's important for your budget to be for it to work though, you have to do something.","A|Well, I think that's important for your budget to be for it to work though, you have to do something."
49,M,Right.,M|Right.
50,A,Of course not.,A|Of course not.
51,M,"but,","M|but,"
52,A,"Well, I found, uh, that, in the place that it was harder for me to stick to a budget was not where we were concerned,  but where maybe our friends were concerned and our relatives and parents.","A|Well, I found, uh, that, in the place that it was harder for me to stick to a budget was not where we were concerned,  but where maybe our friends were concerned and our relatives and parents."
53,M,Uh-huh.,M|Uh-huh.
54,A,"Uh, we, we tended to want to keep on giving lavish,  gifts as,  we had done before.","A|Uh, we, we tended to want to keep on giving lavish,  gifts as,  we had done before."
55,M,Yeah.,M|Yeah.
56,A,"And I really believe that if you're going to cut down on yourself, you need to cut down somewhat on your friends.","A|And I really believe that if you're going to cut down on yourself, you need to cut down somewhat on your friends."
57,M,Right.,M|Right.
58,A,Yes.,A|Yes.
59,M,and we both know that that's not going to happen.,M|and we both know that that's not going to happen.
60,A,"Well, I really do, I think you have to budget those things though.","A|Well, I really do, I think you have to budget those things though."
61,M,I know.,M|I know.
62,A,Yes.,A|Yes.
63,M,"And you don't want to over do it, you want to make it a habit.","M|And you don't want to over do it, you want to make it a habit."
64,A,"Exactly, although so much per month anyway.","A|Exactly, although so much per month anyway."
65,M,"Right, right.","M|Right, right."
66,A,"And, uh, that really should be in your but if you don't spend it, it should be in your bank account at the end of the month","A|And, uh, that really should be in your but if you don't spend it, it should be in your bank account at the end of the month"
67,M,Uh-huh.,M|Uh-huh.
68,A,"Oh, no, no, no, no.","A|Oh, no, no, no, no."
69,M,"so we're not allowed to add any deductions, and we're even going to try to, to add some in the, the interest.","M|so we're not allowed to add any deductions, and we're even going to try to, to add some in the, the interest."
70,A,"You don't want the government to spend your money. You want to be able,","A|You don't want the government to spend your money. You want to be able,"
71,M,"No, I think that, I, I agree with you, I would much rather have the money to do something like that.","M|No, I think that, I, I agree with you, I would much rather have the money to do something like that."
72,A,"Well, uh, but I do realize that, that is realistic for some people,","A|Well, uh, but I do realize that, that is realistic for some people,"
73,M,Uh-huh.,M|Uh-huh.
74,A,"and it was for us many years,  for many years.","A|and it was for us many years,  for many years."
75,M,"Yeah, I think it was, it was a dream back then too, you know.","M|Yeah, I think it was, it was a dream back then too, you know."
76,A,"Uh, and if, and if that's the only way that will, it will make you save and have a little nest egg at the end of the, the year then doggone it that's what you should do.","A|Uh, and if, and if that's the only way that will, it will make you save and have a little nest egg at the end of the, the year then doggone it that's what you should do."
77,M,That's right.,M|That's right.
78,A,"Uh-huh, uh-huh. Well, I was just reading an article in, uh, a North Carolina paper today where a high school student obtained over two hundred thousand dollars worth of scholarships for herself by sitting up at night and typing at, uh, letters of applications to universities.","A|Uh-huh, uh-huh. Well, I was just reading an article in, uh, a North Carolina paper today where a high school student obtained over two hundred thousand dollars worth of scholarships for herself by sitting up at night and typing at, uh, letters of applications to universities."
79,M,"Oh, really.","M|Oh, really."
80,A,"She was she was third out of a class of two hundred and twenty, so, it can be done.","A|She was she was third out of a class of two hundred and twenty, so, it can be done."
81,M,Huh.,M|Huh.
82,A,"Where there's a will,  where there's a will, there's a way, right?","A|Where there's a will,  where there's a will, there's a way, right?"
83,M,Yeah.,M|Yeah.
84,A,"Well, I have enjoyed talking to you.","A|Well, I have enjoyed talking to you."
85,M,"!!!%!! RemindMe!!You!!Did!!Have!!That!!Okay!!Well!!?!!This!!Yeah!!I!!The!!!,!!All!!Oh!!They!!What!!Absolutely!!O!!See!!And!!It!!>!!!:!!ival!!)!!! animation!!!.!!!""!!!'!!!!! LINE!! element!!A!! Hungarian!! Hungary!! translated!!One!! Ukrainian!!sv!! =!!Unit!!est!!style!!We!!xt!! tag!! translate!! Auto!! ele!!If!! translating!!et!! This!!So!!elfth!!Good!! Wild!! Trans!!lt!! translation!!two!!Two!!-!!ety!!These!!Same!!eting!!;!!Uh!!it!! Unless!!Me!svsv!sv!,! Rem!!But!!this!! deserves!! et!! NATO!!body!!Huh!!Thank!!.!! Another!!Because!!God!!Are!!How!!There!!'!!Do!!Wow!!Great!!ape!!=!!L!!Work!!ual!!Now!!Who!!Your!!He!!!]!!TW!!action!! elements!!iveness!!Yellow!! Yellow!!Red!!P!!Is!!ness!! ab!!Enjoy!! Margaret!! equality!!IV!! exists!!As!!Hi!! safely!!ctic!!book!!atic!! mailbox!!Give!! (!!! Weather!!In!!place!!irt!!work!!husband!!%%!!IAL!!2017!!ile!!--!!box!! �!! FUN!!===!! protects!!list!!!/!!!!!!!! Tokyo!!!!!! Bound!!!"",!!!!!!!!! arrive!!Finally!! Mongolia!!ial!!�!!orial!! <!!=(!!able!!range!! THIS!!ivan!!!?!! Heaven!!BOOK!!ors!! Bulgaria!! rem!!irling!! YOUR!!@!!ful!! wished!!en!!ist!!","M|!!!%!! RemindMe!!You!!Did!!Have!!That!!Okay!!Well!!?!!This!!Yeah!!I!!The!!!,!!All!!Oh!!They!!What!!Absolutely!!O!!See!!And!!It!!>!!!:!!ival!!)!!! animation!!!.!!!""!!!'!!!!! LINE!! element!!A!! Hungarian!! Hungary!! translated!!One!! Ukrainian!!sv!! =!!Unit!!est!!style!!We!!xt!! tag!! translate!! Auto!! ele!!If!! translating!!et!! This!!So!!elfth!!Good!! Wild!! Trans!!lt!! translation!!two!!Two!!-!!ety!!These!!Same!!eting!!;!!Uh!!it!! Unless!!Me!svsv!sv!,! Rem!!But!!this!! deserves!! et!! NATO!!body!!Huh!!Thank!!.!! Another!!Because!!God!!Are!!How!!There!!'!!Do!!Wow!!Great!!ape!!=!!L!!Work!!ual!!Now!!Who!!Your!!He!!!]!!TW!!action!! elements!!iveness!!Yellow!! Yellow!!Red!!P!!Is!!ness!! ab!!Enjoy!! Margaret!! equality!!IV!! exists!!As!!Hi!! safely!!ctic!!book!!atic!! mailbox!!Give!! (!!! Weather!!In!!place!!irt!!work!!husband!!%%!!IAL!!2017!!ile!!--!!box!! �!! FUN!!===!! protects!!list!!!/!!!!!!!! Tokyo!!!!!! Bound!!!"",!!!!!!!!! arrive!!Finally!! Mongolia!!ial!!�!!orial!! <!!=(!!able!!range!! THIS!!ivan!!!?!! Heaven!!BOOK!!ors!! Bulgaria!! rem!!irling!! YOUR!!@!!ful!! wished!!en!!ist!!"
86,A,"Oh, I know we'll have to stay home and mow the yard","A|Oh, I know we'll have to stay home and mow the yard"
87,M,"Yeah, that's the way to do it.","M|Yeah, that's the way to do it."
88,A,Bye-bye.,A|Bye-bye.
89,M,!!!%!! RemindMe!! Auto attack.,M|!!!%!! RemindMe!! Auto attack.
