,Speaker,Utterance,Unified
5,M,What part?,M|What part?
6,A,"Um, the South Hills area, Beaver County, well originally Beaver County .","A|Um, the South Hills area, Beaver County, well originally Beaver County ."
7,M,Oh.,M|Oh.
8,A,"And, uh, where are you from?","A|And, uh, where are you from?"
9,M,"I'm from, uh, I live in Raleigh, North Carolina.","M|I'm from, uh, I live in Raleigh, North Carolina."
10,A,"Oh, okay, I know where that is.","A|Oh, okay, I know where that is."
11,M,"Yeah, it's, it was, it had a lot of trees there, and, uh.","M|Yeah, it's, it was, it had a lot of trees there, and, uh."
12,A,"Yeah, that's pretty out there. What, well,","A|Yeah, that's pretty out there. What, well,"
13,M,"We're just north of, uh, Washington State.","M|We're just north of, uh, Washington State."
14,A,"Oh, okay, yeah, I got my brother and my whole family there. I'm, I'm talking to you from Dallas right now.","A|Oh, okay, yeah, I got my brother and my whole family there. I'm, I'm talking to you from Dallas right now."
15,M,"Oh really, okay.","M|Oh really, okay."
16,A,Uh-huh,A|Uh-huh
17,M,Oh.,M|Oh.
18,A,"No, my husband does.","A|No, my husband does."
19,M,"Uh, okay.","M|Uh, okay."
20,A,"And who, how about you?","A|And who, how about you?"
21,M,"Well, we're, we, we have a daughter who's a sophomore at U T and a daughter that's a senior at U C L A.","M|Well, we're, we, we have a daughter who's a sophomore at U T and a daughter that's a senior at U C L A."
22,A,"place that, that needed this. *listen--not sure who's saying what","A|place that, that needed this. *listen--not sure who's saying what"
23,M,"Right, right.","M|Right, right."
24,A,"Well that's okay. I guess it's an easy thing to do. So you're you have a big, do you have a rural house or what do you have?","A|Well that's okay. I guess it's an easy thing to do. So you're you have a big, do you have a rural house or what do you have?"
25,M,"Uh, well, I have a town home, but it's not a very large one. Uh, I, I guess I do have a small town home.","M|Uh, well, I have a town home, but it's not a very large one. Uh, I, I guess I do have a small town home."
26,A,"Oh, that's a, Those are beautiful.","A|Oh, that's a, Those are beautiful."
27,M,"Yeah, it's a four story.","M|Yeah, it's a four story."
28,A,Uh-huh.,A|Uh-huh.
29,M,"But we've had, uh, a lot of problems with, uh with, with the, uh the, with, you, I don't know, the, the molding, uh","M|But we've had, uh, a lot of problems with, uh with, with the, uh the, with, you, I don't know, the, the molding, uh"
30,A,"Yeah, is it a, is it a working farm or is it?","A|Yeah, is it a, is it a working farm or is it?"
31,M,"It, it's a working, uh, farm house.","M|It, it's a working, uh, farm house."
32,A,"More, more, I can understand that, that's probably what I would, uh,","A|More, more, I can understand that, that's probably what I would, uh,"
33,M,"Uh-uh. I think we're going to have to do something, though, because I just don't think we can afford it.","M|Uh-uh. I think we're going to have to do something, though, because I just don't think we can afford it."
