,Speaker,Utterance,Unified
5,M,"Well, that's true.","M|Well, that's true."
6,A,you know what I mean?,A|you know what I mean?
7,M,Yeah.,M|Yeah.
8,A,Yeah.,A|Yeah.
9,M,"I mean, I don t even know what the procedures are.","M|I mean, I don t even know what the procedures are."
10,A,Right.,A|Right.
11,M,"I mean, it just, you know, it was just so out of the question.","M|I mean, it just, you know, it was just so out of the question."
12,A,That's it.,A|That's it.
13,M,"So I think that we have to do something about, uh, the length of the prison sentence.","M|So I think that we have to do something about, uh, the length of the prison sentence."
14,A,"Well, I, I feel the other thing too, uh, they were saying, uh, you know, what new ways could could it, you, you know, change the system. I, I really think that, uh, we spend a lot of time, uh, going through appeal after appeal after appeal after appeal, I mean, if you go to a trial by jury and especially if a person has confessed. If they have been caught, you know, point blank in the crime. There's, uh, no question","A|Well, I, I feel the other thing too, uh, they were saying, uh, you know, what new ways could could it, you, you know, change the system. I, I really think that, uh, we spend a lot of time, uh, going through appeal after appeal after appeal after appeal, I mean, if you go to a trial by jury and especially if a person has confessed. If they have been caught, you know, point blank in the crime. There's, uh, no question"
15,M,Uh-huh.,M|Uh-huh.
16,A,"it's beyond a reasonable doubt. You know, all these things. I mean, you know, we've gone through this over and over again.","A|it's beyond a reasonable doubt. You know, all these things. I mean, you know, we've gone through this over and over again."
17,M,"Right, well, they could have, uh  taken the money away from the criminal and let them go free and let the judge do it. Uh,","M|Right, well, they could have, uh  taken the money away from the criminal and let them go free and let the judge do it. Uh,"
18,A,"And it can go on for ten, twenty, years.","A|And it can go on for ten, twenty, years."
19,M,Yeah.,M|Yeah.
20,A,"I, I think this is a little ridiculous.","A|I, I think this is a little ridiculous."
21,M,Uh-huh.,M|Uh-huh.
22,A,I think the only people who benefit from that are the lawyers.,A|I think the only people who benefit from that are the lawyers.
23,M,Yeah.,M|Yeah.
24,A,"I, I'm serious. And I think that the lawyers have caused a lot of the problems that exist in the in the criminal system today. With plea bargaining.","A|I, I'm serious. And I think that the lawyers have caused a lot of the problems that exist in the in the criminal system today. With plea bargaining."
25,M,Yeah.,M|Yeah.
26,A,"You know, if someone is","A|You know, if someone is"
27,M,"You mean if they are not guilty,","M|You mean if they are not guilty,"
28,A,Well.,A|Well.
29,M,"If you're, you know, you're a lawyer and you're going to say well I, I can't do this, I have to go back and prove that I can, you can't, because I can make a hundred dollars, you name sounds a lot better than me.","M|If you're, you know, you're a lawyer and you're going to say well I, I can't do this, I have to go back and prove that I can, you can't, because I can make a hundred dollars, you name sounds a lot better than me."
30,A,"Well, I know. That's what I'm saying. But I think a lot of, all of the whole criminal system is messed up in, in that regard. I mean, you know, people who commit, uh, crimes that they, I don't know how it works exactly but  you know, they get lesser sentences","A|Well, I know. That's what I'm saying. But I think a lot of, all of the whole criminal system is messed up in, in that regard. I mean, you know, people who commit, uh, crimes that they, I don't know how it works exactly but  you know, they get lesser sentences"
31,M,Uh-huh.,M|Uh-huh.
32,A,"and I understand that the jails are full of people, you know, uh  and that they have to do something.","A|and I understand that the jails are full of people, you know, uh  and that they have to do something."
33,M,Uh-huh.,M|Uh-huh.
34,A,"But, I think that the reason they are full is because they know that they can get away with it.","A|But, I think that the reason they are full is because they know that they can get away with it."
35,M,That's true.,M|That's true.
36,A,"you know what I'm saying? That we don't have, uh, well a lot of states don't have capital punishment.","A|you know what I'm saying? That we don't have, uh, well a lot of states don't have capital punishment."
37,M,"No, huh-uh.","M|No, huh-uh."
38,A,"And, uh I, I think they should.","A|And, uh I, I think they should."
39,M,I do too.,M|I do too.
40,A,"I, and I think if a person is guilty of taking someone's life and like you say, it's, it's, there's no doubt whatsoever. Like drunk drivers that kill people and, uh, you know, all","A|I, and I think if a person is guilty of taking someone's life and like you say, it's, it's, there's no doubt whatsoever. Like drunk drivers that kill people and, uh, you know, all"
41,M,"Right, and it's not fair.","M|Right, and it's not fair."
42,A,"they, they're caught dead to rights. I, I just think that that's, they've, they've taken a life and if, they should pay for it with their life.","A|they, they're caught dead to rights. I, I just think that that's, they've, they've taken a life and if, they should pay for it with their life."
43,M,Uh-huh.,M|Uh-huh.
44,A,Yeah.,A|Yeah.
45,M,"I think that's the best way to go because then you can, you can get a, a judge to actually decide.","M|I think that's the best way to go because then you can, you can get a, a judge to actually decide."
46,A,Uh-huh.,A|Uh-huh.
47,M,"She served time in a mental hospital and was, uh...","M|She served time in a mental hospital and was, uh..."
48,A,"Oh, really.","A|Oh, really."
49,M,"and he's been back since then, and I've heard that they're really going to, uh, beef up his appeal process.","M|and he's been back since then, and I've heard that they're really going to, uh, beef up his appeal process."
50,A,"It, uh, Yeah.","A|It, uh, Yeah."
51,M,"And, uh.","M|And, uh."
52,A,"I know that, that Uh-huh. And, I don't know. Uh, what would you do to change it? To make it better?","A|I know that, that Uh-huh. And, I don't know. Uh, what would you do to change it? To make it better?"
53,M,"Well, I, I think there is, there is some things that need to be changed. Uh  like, uh.","M|Well, I, I think there is, there is some things that need to be changed. Uh  like, uh."
54,A,"Oh, yeah. I, I, I don't agree with that at all.","A|Oh, yeah. I, I, I don't agree with that at all."
55,M,"Uh, you know.","M|Uh, you know."
56,A,Imagine the guilt that person would have. I mean  burned out.,A|Imagine the guilt that person would have. I mean  burned out.
57,M,Yeah.,M|Yeah.
58,A,"There's  there's no possible way that you could, uh, you know, feel good about yourself.","A|There's  there's no possible way that you could, uh, you know, feel good about yourself."
59,M,Yeah. That's right.,M|Yeah. That's right.
60,A,"If you had to do something like that, day after day.","A|If you had to do something like that, day after day."
61,M,Right.,M|Right.
62,A,No. Not really.,A|No. Not really.
63,M,"You know, you can't be sued for anything.","M|You know, you can't be sued for anything."
64,A,"Well, do you think people should have a trial is they're caught dead to rights like,","A|Well, do you think people should have a trial is they're caught dead to rights like,"
65,M,"Yeah, that's true.","M|Yeah, that's true."
66,A,"I mean, supposing I come up to you and I just point blank kill you.","A|I mean, supposing I come up to you and I just point blank kill you."
67,M,Right.,M|Right.
