,Speaker,Utterance,Unified
5,g,ah yeah to to the to the west then okay,g|ah yeah to to the to the west then okay
6,M,right,M|right
7,g,come due south to level at the bottom of crest falls,g|come due south to level at the bottom of crest falls
8,M,mmhmm,M|mmhmm
9,g,just beyond crest falls,g|just beyond crest falls
10,M,right,M|right
11,g,due south to level at the bottom of crest falls that sounded like a long line ken,g|due south to level at the bottom of crest falls that sounded like a long line ken
12,M,yeah,M|yeah
13,g,it's right ehm go right along to about an inch from the end of the paper,g|it's right ehm go right along to about an inch from the end of the paper
14,M,uh-huh,M|uh-huh
15,g,go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge,g|go north and go north due north and proceed east over the footbridge just over it stop at the end of the footbridge
16,M,okay,M|okay
17,g,yeah just stop,g|yeah just stop
18,M,"!!!!,!!'!!""!!2019!!2018!!2020!!2017!!2016!! 2016!!4!!8!!6!!7!!2!!88!!","M|!!!!,!!'!!""!!2019!!2018!!2020!!2017!!2016!! 2016!!4!!8!!6!!7!!2!!88!!"
19,g,ah right do you have a poisoned stream directly east,g|ah right do you have a poisoned stream directly east
20,M,no,M|no
21,g,right come due south from the edge of the footbridge straight south for about two inches,g|right come due south from the edge of the footbridge straight south for about two inches
22,M,right okay,M|right okay
23,g,just ehm just about an inch above the starting cross,g|just ehm just about an inch above the starting cross
24,M,yeah,M|yeah
25,g,then do you have the old temple,g|then do you have the old temple
26,M,yeah,M|yeah
27,g,right go east and go north west of the old you know go north just to the west of the old temple,g|right go east and go north west of the old you know go north just to the west of the old temple
28,M,okay,M|okay
29,g,ah yeah and go up to the left of the north temple of the old temple go north to the left of the old temple,g|ah yeah and go up to the left of the north temple of the old temple go north to the left of the old temple
30,M,right so i go up and then round the top of the ruined monastery,M|right so i go up and then round the top of the ruined monastery
31,g,"go keep going up 'til you're about an inch below the ""x"" marks finish which i don't know if you have","g|go keep going up 'til you're about an inch below the ""x"" marks finish which i don't know if you have"
32,M,an inch,M|an inch
33,g,right can you see the remote village,g|right can you see the remote village
34,M,yeah,M|yeah
35,g,do you have the remote village,g|do you have the remote village
36,M,i do,M|i do
37,g,ten inches get away i don't know if i'd say that do you have the abandoned truck,g|ten inches get away i don't know if i'd say that do you have the abandoned truck
38,M,yeah i do,M|yeah i do
39,g,right well see ah about an inch above the abandoned truck that is where you should be,g|right well see ah about an inch above the abandoned truck that is where you should be
40,M,mmhmm,M|mmhmm
41,g,now are go straight across to the abandoned truck and then come south so that you're just underneath it,g|now are go straight across to the abandoned truck and then come south so that you're just underneath it
42,M,okay,M|okay
43,g,go to your left 'til you're uh ah until you're level and then south so that you're just underneath it you should be above it,g|go to your left 'til you're uh ah until you're level and then south so that you're just underneath it you should be above it
44,M,okay,M|okay
45,g,you go to your left obviously yes 'cause that's where the abandoned truck is now south so that you're just underneath it and just go to the end of the abandoned truck,g|you go to your left obviously yes 'cause that's where the abandoned truck is now south so that you're just underneath it and just go to the end of the abandoned truck
46,M,okay,M|okay
47,g,now do you have baboons,g|now do you have baboons
48,M,no,M|no
49,g,stop after you reach the just just right after you've gone under it okay,g|stop after you reach the just just right after you've gone under it okay
50,M,"!!!'!!!'!!,!!""!!2017!!8!!7!!","M|!!!'!!!'!!,!!""!!2017!!8!!7!!"
51,g,oh yeah you you you keep you go down and then you go left right you you right uh i don't suppose you've got the balloons the baboons,g|oh yeah you you you keep you go down and then you go left right you you right uh i don't suppose you've got the balloons the baboons
52,M,mmhmm,M|mmhmm
53,g,ehm right do you know where go down about two inches okay,g|ehm right do you know where go down about two inches okay
54,M,two inches okay okay,M|two inches okay okay
55,g,'til you're about an inch above the path that you took to the footbridge is that right,g|'til you're about an inch above the path that you took to the footbridge is that right
56,M,yeah right uh-huh,M|yeah right uh-huh
57,g,right and go due west as in to your left,g|right and go due west as in to your left
58,M,mmhmm,M|mmhmm
59,g,to the edge of the page,g|to the edge of the page
60,M,yeah,M|yeah
61,g,do you have the white mountain,g|do you have the white mountain
62,M,yeah,M|yeah
63,g,right go right up to the top of the page,g|right go right up to the top of the page
64,M,mmhmm,M|mmhmm
65,g,yeah ehm do you have the pyramid,g|yeah ehm do you have the pyramid
66,M,yeah,M|yeah
