,Speaker,Utterance,Unified
5,M,i do yeah,M|i do yeah
6,g,okay uh-huh,g|okay uh-huh
7,M,right okay,M|right okay
8,g,right beside it you just go straight down underneath it,g|right beside it you just go straight down underneath it
9,M,!!!!.!!'!!!'!!2017!!2018!!2020!!2019!! 2017!! 2018!!,M|!!!!.!!'!!!'!!2017!!2018!!2020!!2019!! 2017!! 2018!!
10,g,do you have a graveyard just along from the diamond mine,g|do you have a graveyard just along from the diamond mine
11,M,no,M|no
12,g,no no just ignore that,g|no no just ignore that
13,M,"!!!'!!""!!.!!226!!556!!286!!8!!84!!86!!4!!88!!424!!92!!688!!96!!886!!,!!888!!7!!889!!89!!91!!887!!423!!u!!!!!!!!!!!!!!!!!!!!!!!!987!!oh!!!--!!okay!!mm!!!.!!!'!!MH!!'t!!i!!s!!have!!right!!there!!that!!god!!all!!you!!and!!now!!q!!got!!am!!can!!o!!ah!!eh!!up!!big!!this!!remote!!the!!within!!Ukraine!!az!!ken!!but!!Fu!!fields!!Ak!! Tokyo!! Kats!! Tag!!ex!!are!!yeah!!do!!py!!Leader!!e!!%!! Eva!!ac!!bay!!f!! Kab!!Unit!!uh!! Nato!!field!!__!!y!!b!!k!!if!!it!!Sum!!go!!a!!Yu!! Kit!!Mask!! Kob!!my!!Uk!!hit!!p!!Japan!! bab!! Fu!!!!!er!!","M|!!!'!!""!!.!!226!!556!!286!!8!!84!!86!!4!!88!!424!!92!!688!!96!!886!!,!!888!!7!!889!!89!!91!!887!!423!!u!!!!!!!!!!!!!!!!!!!!!!!!987!!oh!!!--!!okay!!mm!!!.!!!'!!MH!!'t!!i!!s!!have!!right!!there!!that!!god!!all!!you!!and!!now!!q!!got!!am!!can!!o!!ah!!eh!!up!!big!!this!!remote!!the!!within!!Ukraine!!az!!ken!!but!!Fu!!fields!!Ak!! Tokyo!! Kats!! Tag!!ex!!are!!yeah!!do!!py!!Leader!!e!!%!! Eva!!ac!!bay!!f!! Kab!!Unit!!uh!! Nato!!field!!__!!y!!b!!k!!if!!it!!Sum!!go!!a!!Yu!! Kit!!Mask!! Kob!!my!!Uk!!hit!!p!!Japan!! bab!! Fu!!!!!er!!"
14,g,do you have carved stones,g|do you have carved stones
15,M,"!!!!:!!'!!""!!,!!.!!4!!8!!88!!","M|!!!!:!!'!!""!!,!!.!!4!!8!!88!!"
16,g,sorry no i said a graveyard,g|sorry no i said a graveyard
17,M,right so you want to go round the carved stones so you're underneath the diamond mine,M|right so you want to go round the carved stones so you're underneath the diamond mine
18,g,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it okay,g|no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it okay
19,M,"!!!'!!!'!!""!! Rem!!this!!okay!!is!!u!!i!!you!!s!!r!!c!!k!!mm!!","M|!!!'!!!'!!""!! Rem!!this!!okay!!is!!u!!i!!you!!s!!r!!c!!k!!mm!!"
20,g,well,g|well
21,M,i have i've gone round the graveyard,M|i have i've gone round the graveyard
22,g,so come along to about mm about five six inches anyway straight along to the right,g|so come along to about mm about five six inches anyway straight along to the right
23,M,to the right uh-huh,M|to the right uh-huh
24,g,underneath the diamond mine,g|underneath the diamond mine
25,M,yeah,M|yeah
26,g,it's about an inch or so,g|it's about an inch or so
27,M,"!!! Remindme!! Siri!!!,!!'!!""!!8!!7!!","M|!!! Remindme!! Siri!!!,!!'!!""!!8!!7!!"
28,g,no i don't have the ravine,g|no i don't have the ravine
29,M,oh right i see well you go up and then turn right and go along to the bottom of the map,M|oh right i see well you go up and then turn right and go along to the bottom of the map
30,g,do you have carved stones,g|do you have carved stones
31,M,mmhmm,M|mmhmm
32,g,yeah down below it,g|yeah down below it
33,M,right okay,M|right okay
34,g,right well try and ehm go as close to ravine as possible but up towards the carved stones,g|right well try and ehm go as close to ravine as possible but up towards the carved stones
35,M,right,M|right
36,g,in a curve above the carved stones,g|in a curve above the carved stones
37,M,in like a a uh-huh a curve up the way,M|in like a a uh-huh a curve up the way
38,g,yeah,g|yeah
39,M,right i've done that,M|right i've done that
40,g,uh-huh right round them and back down towards the indian country,g|uh-huh right round them and back down towards the indian country
41,M,right,M|right
42,g,'til you're right above the wigwams,g|'til you're right above the wigwams
43,M,mmhmm,M|mmhmm
44,g,okay,g|okay
45,M,!!!'!!okay!!i!!mm!!,M|!!!'!!okay!!i!!mm!!
46,g,right do you have to the left of the indian country a great rock,g|right do you have to the left of the indian country a great rock
47,M,yeah,M|yeah
48,g,no do you have a gold mine,g|no do you have a gold mine
49,M,no i don't,M|no i don't
50,g,okay,g|okay
51,M,mmhmm,M|mmhmm
52,g,well yeah well the great rock is level with the indian country and ehm in between the gold mine,g|well yeah well the great rock is level with the indian country and ehm in between the gold mine
53,M,ok,M|ok
54,g,and the indian country,g|and the indian country
55,M,uh right,M|uh right
56,g,so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is,g|so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is
57,M,right,M|right
58,g,well,g|well
59,M,right down,M|right down
60,g,yeah you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of,g|yeah you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of
61,M,so i'm going down to indian,M|so i'm going down to indian
62,g,uh-huh if you had a great rock as if you're going underneath it,g|uh-huh if you had a great rock as if you're going underneath it
63,M,right okay,M|right okay
64,g,to the side down by the side of the wigwams underneath this great rock,g|to the side down by the side of the wigwams underneath this great rock
65,M,right,M|right
66,g,then back up and above the gold mine,g|then back up and above the gold mine
67,M,right,M|right
68,g,okay just going curving along down the side of the gold mine,g|okay just going curving along down the side of the gold mine
69,M,ok,M|ok
70,g,you're going quite far down maybe wait a second what do you have underneath the gold mine anything,g|you're going quite far down maybe wait a second what do you have underneath the gold mine anything
71,M,a manned fort,M|a manned fort
72,g,right,g|right
73,M,right i'm down to the bottom of the totem pole,M|right i'm down to the bottom of the totem pole
74,g,right what you're trying to do is avoid the totem pole,g|right what you're trying to do is avoid the totem pole
75,M,right i'm trying to avoid the,M|right i'm trying to avoid the
