,Speaker,Utterance,Unified
5,M,how far,M|how far
6,g,mmhmm until you're like at the bottom of the kind of level with the bottom of the desert,g|mmhmm until you're like at the bottom of the kind of level with the bottom of the desert
7,M,mm,M|mm
8,g,right then travel west again,g|right then travel west again
9,M,right,M|right
10,g,right to the very end of paper,g|right to the very end of paper
11,M,right,M|right
12,g,map right,g|map right
13,M,right and then go down to the right-hand side of the paper,M|right and then go down to the right-hand side of the paper
14,g,and then up north,g|and then up north
15,M,up and to the left,M|up and to the left
16,g,now have you got anything down that side,g|now have you got anything down that side
17,M,no,M|no
18,g,no well have you got a collapsed shelter,g|no well have you got a collapsed shelter
19,M,"!!!""!!'!!':!!2017!!2018!!2019!!2020!! 2018!! 2017!!there!!you!!i!!8!!6!!7!!4!!2016!!","M|!!!""!!'!!':!!2017!!2018!!2019!!2020!! 2018!! 2017!!there!!you!!i!!8!!6!!7!!4!!2016!!"
20,g,right go straight up north,g|right go straight up north
21,M,straight up how far,M|straight up how far
22,g,until you get to a kind of level above the shelter,g|until you get to a kind of level above the shelter
23,M,mm,M|mm
24,g,and turn east to and travel right along,g|and turn east to and travel right along
25,M,mm,M|mm
26,g,past the the shelter that's over the top,g|past the the shelter that's over the top
27,M,uh-huh,M|uh-huh
28,g,right then south,g|right then south
29,M,southwest,M|southwest
30,g,just to below the shelter below the level of the shelter,g|just to below the shelter below the level of the shelter
31,M,right,M|right
32,g,in a kind of east and have you got a savannah,g|in a kind of east and have you got a savannah
33,M,uh-huh,M|uh-huh
34,g,there's a savannah right you want to travel east until you get to before the savannah,g|there's a savannah right you want to travel east until you get to before the savannah
35,M,uh-huh,M|uh-huh
36,g,then turn north up,g|then turn north up
37,M,mm,M|mm
38,g,don't go round about it just go up before it,g|don't go round about it just go up before it
39,M,right,M|right
40,g,right on my map there's a slate mountain you're traveling north,g|right on my map there's a slate mountain you're traveling north
41,M,mm,M|mm
42,g,right now have you got the hot wells,g|right now have you got the hot wells
43,M,no,M|no
44,g,or hot springs,g|or hot springs
45,M,well they're not actually on my maps but above the slate mountain go above the hot springs and turn to the right,M|well they're not actually on my maps but above the slate mountain go above the hot springs and turn to the right
46,g,right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it,g|right travel straight up north 'til you get just above the hot wells make sure you've cleared the the height of it
47,M,right so i'm going up and round,M|right so i'm going up and round
48,g,and turn to your the west,g|and turn to your the west
49,M,so i'm going round the bottom of the paper,M|so i'm going round the bottom of the paper
50,g,until you get to the hot wells,g|until you get to the hot wells
51,M,okay,M|okay
52,g,no don't go over the top of them,g|no don't go over the top of them
53,M,right okay,M|right okay
54,g,alright now and come down below them,g|alright now and come down below them
55,M,mmhmm,M|mmhmm
56,g,mmhmm until you just get past them then come down to them south,g|mmhmm until you just get past them then come down to them south
57,M,mm,M|mm
58,g,just a a couple of inches and then west,g|just a a couple of inches and then west
59,M,so i'm going past the adventure playground,M|so i'm going past the adventure playground
60,g,mmhmm and then north now have you got big white mountain,g|mmhmm and then north now have you got big white mountain
61,M,mm,M|mm
62,g,right you want to go right up north,g|right you want to go right up north
63,M,mm,M|mm
64,g,past it,g|past it
65,M,uh-huh,M|uh-huh
66,g,right up above it,g|right up above it
67,M,"!!!'!!!'!!':!!there!!""!!112!!228!!226!! Remarkable!!8!!4!!456!! Slay the wee man walking along","M|!!!'!!!'!!':!!there!!""!!112!!228!!226!! Remarkable!!8!!4!!456!! Slay the wee man walking along"
68,g,right have you got the lake,g|right have you got the lake
69,M,uh-huh,M|uh-huh
70,g,mm-mm,g|mm-mm
71,M,well go right up to the top of the page,M|well go right up to the top of the page
72,g,the roman baths,g|the roman baths
73,M,uh-huh,M|uh-huh
74,g,hmm antelopes,g|hmm antelopes
75,M,yeah,M|yeah
76,g,right you want to go sure you don't have a lake,g|right you want to go sure you don't have a lake
77,M,no i've got a lake up there,M|no i've got a lake up there
78,g,no but right the way over,g|no but right the way over
79,M,over the the mountain stream right,M|over the the mountain stream right
80,g,aye right go up to about the the level with the bottom of the lake,g|aye right go up to about the the level with the bottom of the lake
81,M,right,M|right
82,g,straight north to up to the level with the bottom of the lake,g|straight north to up to the level with the bottom of the lake
83,M,no no no no just keep going up to your left until you're about an inch from the left-hand side of the page,M|no no no no just keep going up to your left until you're about an inch from the left-hand side of the page
84,g,and then east 'til you get to the front of the lake,g|and then east 'til you get to the front of the lake
85,M,right okay,M|right okay
86,g,no,g|no
87,M,right okay,M|right okay
88,g,and you want to go right round about the lake,g|and you want to go right round about the lake
89,M,right i'm there,M|right i'm there
90,g,mmhmm and come back round on yourself 'til you get to,g|mmhmm and come back round on yourself 'til you get to
91,M,the left-hand side of it,M|the left-hand side of it
92,g,mmhmm right got your antelopes,g|mmhmm right got your antelopes
93,M,mm,M|mm
94,g,right just go round enough so you're like in a above them,g|right just go round enough so you're like in a above them
95,M,right,M|right
96,g,no the height above them but just below the lake but above the antelope,g|no the height above them but just below the lake but above the antelope
97,M,right okay,M|right okay
98,g,right should be a roman baths below the lake,g|right should be a roman baths below the lake
99,M,"!!! Rem!!!,!!'!!!'!!""!! Assad!!right!!","M|!!! Rem!!!,!!'!!!'!!""!! Assad!!right!!"
100,g,well on mines there is and you come between the lake and the roman baths so you'll have to avoid them,g|well on mines there is and you come between the lake and the roman baths so you'll have to avoid them
101,M,right okay,M|right okay
102,g,and you want to come south and round the antelopes,g|and you want to come south and round the antelopes
103,M,mmhmm,M|mmhmm
104,g,to the west of the antelopes,g|to the west of the antelopes
