,response,context,context/0,context/1,context/2,context/3
0,"Well, that's what I'm saying.","And I really don't agree with that I think that the trial by jury is better, uh, you know, than having a unanimous decision rather than to have one person be responsible. I don't think that they could be objective in every case, every time.",Uh-huh.,"Okay. Uh, one of the things they talked about was, uh, did we, what do we think about a judge making the decision?","No, you can start",You want to go first?
1,I know that the jury decides.,Right.,"And I really don't agree with that I think that the trial by jury is better, uh, you know, than having a unanimous decision rather than to have one person be responsible. I don't think that they could be objective in every case, every time.",Uh-huh.,"Okay. Uh, one of the things they talked about was, uh, did we, what do we think about a judge making the decision?","No, you can start"
2,"I know, uh huh.",you know what I mean?,Right.,"And I really don't agree with that I think that the trial by jury is better, uh, you know, than having a unanimous decision rather than to have one person be responsible. I don't think that they could be objective in every case, every time.",Uh-huh.,"Okay. Uh, one of the things they talked about was, uh, did we, what do we think about a judge making the decision?"
3,What do you mean?,"Right. There's, there, this topic is kind of mute. Uh",you know what I mean?,Right.,"And I really don't agree with that I think that the trial by jury is better, uh, you know, than having a unanimous decision rather than to have one person be responsible. I don't think that they could be objective in every case, every time.",Uh-huh.
4,"Yeah, I know.",Yeah.,"Right. There's, there, this topic is kind of mute. Uh",you know what I mean?,Right.,"And I really don't agree with that I think that the trial by jury is better, uh, you know, than having a unanimous decision rather than to have one person be responsible. I don't think that they could be objective in every case, every time."
5,Right.,"there, there's no way. We, we couldn't survive in a in a juror in a trial system without a jury.",Yeah.,"Right. There's, there, this topic is kind of mute. Uh",you know what I mean?,Right.
6,right.,Right.,"there, there's no way. We, we couldn't survive in a in a juror in a trial system without a jury.",Yeah.,"Right. There's, there, this topic is kind of mute. Uh",you know what I mean?
7,They are.,"Uh, one man can never be, one man, one woman can never be objectionable in every case.",Right.,"there, there's no way. We, we couldn't survive in a in a juror in a trial system without a jury.",Yeah.,"Right. There's, there, this topic is kind of mute. Uh"
8,There is no way that I could live with that.,That's it.,"Uh, one man can never be, one man, one woman can never be objectionable in every case.",Right.,"there, there's no way. We, we couldn't survive in a in a juror in a trial system without a jury.",Yeah.
9,We don't.,"Uh, every person has their opinions and that's why jury selection is often very difficult. Uh.",That's it.,"Uh, one man can never be, one man, one woman can never be objectionable in every case.",Right.,"there, there's no way. We, we couldn't survive in a in a juror in a trial system without a jury."
10,.,"Well, I, I feel the other thing too, uh, they were saying, uh, you know, what new ways could could it, you, you know, change the system. I, I really think that, uh, we spend a lot of time, uh, going through appeal after appeal after appeal after appeal, I mean, if you go to a trial by jury and especially if a person has confessed. If they have been caught, you know, point blank in the crime. There's, uh, no question","Uh, every person has their opinions and that's why jury selection is often very difficult. Uh.",That's it.,"Uh, one man can never be, one man, one woman can never be objectionable in every case.",Right.
