,response,context,context/0,context/1,context/2,context/3
0,yes but it's not a very good way to start,that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right,right now go south from the diamond mine until you are just above the desert,okay yeah,okay start off above the diamond mine
1,its a lot of fun,mmhmm,that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right,right now go south from the diamond mine until you are just above the desert,okay yeah
2,but below the water,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm,that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right,right now go south from the diamond mine until you are just above the desert
3,I don't think you're supposed to do that.,oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm,that's that's correct uh-huh and go below the diamond mine,so that's with the diamond mine on on your right
4,"You can't build a graveyard, you have to build a river.",okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm,that's that's correct uh-huh and go below the diamond mine
5,What is it?,fast running creek,okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole,mmhmm
6,could it be a fast running creek?,ehm mm don't know yeah it could be could be,fast running creek,okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard,and below the graveyard below the graveyard but above the carved wooden pole
7,no it's not,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be,fast running creek,okay so you don't have a graveyard do you have a fast flowing river,oh hang on i don't have a graveyard
8,i don't even know where that is,to your right uh-huh,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be,fast running creek,okay so you don't have a graveyard do you have a fast flowing river
9,"oh, yeah",right so i continue and go below the fast running creek,to your right uh-huh,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be,fast running creek
10,I don't get it,no go just until you go go below the diamond mine until just before the fast fast flowing river,right so i continue and go below the fast running creek,to your right uh-huh,is that to the right that'll be to my right to my right,ehm mm don't know yeah it could be could be
11,I'll have a quick run then,i don't have a fast flowing river,no go just until you go go below the diamond mine until just before the fast fast flowing river,right so i continue and go below the fast running creek,to your right uh-huh,is that to the right that'll be to my right to my right
12,"I'm on the way now, where are you?",you have a fast flowing creek,i don't have a fast flowing river,no go just until you go go below the diamond mine until just before the fast fast flowing river,right so i continue and go below the fast running creek,to your right uh-huh
13,which one is the red one?,i've a fast flowing running creek which is on the far right-hand corner,you have a fast flowing creek,i don't have a fast flowing river,no go just until you go go below the diamond mine until just before the fast fast flowing river,right so i continue and go below the fast running creek
14,you got a fast running river?,mmhmm,i've a fast flowing running creek which is on the far right-hand corner,you have a fast flowing creek,i don't have a fast flowing river,no go just until you go go below the diamond mine until just before the fast fast flowing river
15,i have a river,so you have,mmhmm,i've a fast flowing running creek which is on the far right-hand corner,you have a fast flowing creek,i don't have a fast flowing river
16,i have an acme and a scythe,well do you have an apache camp,so you have,mmhmm,i've a fast flowing running creek which is on the far right-hand corner,you have a fast flowing creek
17,do you have any apaches?,yeah got an apache camp,well do you have an apache camp,so you have,mmhmm,i've a fast flowing running creek which is on the far right-hand corner
18,I am in a tent,okay,yeah got an apache camp,well do you have an apache camp,so you have,mmhmm
19,north east,but that's like at forty-five degrees south east,okay,yeah got an apache camp,well do you have an apache camp,so you have
20,its not a minecraft server,right okay then right you're going to go below the diamond mine,but that's like at forty-five degrees south east,okay,yeah got an apache camp,well do you have an apache camp
21,"its just a diamond mine, you can make any stone you want",right,right okay then right you're going to go below the diamond mine,but that's like at forty-five degrees south east,okay,yeah got an apache camp
22,okay then,do you have a graveyard,right,right okay then right you're going to go below the diamond mine,but that's like at forty-five degrees south east,okay
23,do u have a deck?,no no graveyard,do you have a graveyard,right,right okay then right you're going to go below the diamond mine,but that's like at forty-five degrees south east
24,you have a grave,don't have a graveyard,no no graveyard,do you have a graveyard,right,right okay then right you're going to go below the diamond mine
25,"no, no",no,don't have a graveyard,no no graveyard,do you have a graveyard,right
26,"no, you have to go to the graveyard",do you have a desert,no,don't have a graveyard,no no graveyard,do you have a graveyard
27,no no,yes got a desert which if i continue straight down past the diamond mine,do you have a desert,no,don't have a graveyard,no no graveyard
28,you know what you need to do?,no don't go don't go any further than the desert don't go onto the desert,yes got a desert which if i continue straight down past the diamond mine,do you have a desert,no,don't have a graveyard
29,you should probably go there then,okay so i'm still below the diamond mine,no don't go don't go any further than the desert don't go onto the desert,yes got a desert which if i continue straight down past the diamond mine,do you have a desert,no
30,i mean what is the secret to the secret?,right you uh-huh below the diamond mine,okay so i'm still below the diamond mine,no don't go don't go any further than the desert don't go onto the desert,yes got a desert which if i continue straight down past the diamond mine,do you have a desert
31,you are the one who asked me,right okay,right you uh-huh below the diamond mine,okay so i'm still below the diamond mine,no don't go don't go any further than the desert don't go onto the desert,yes got a desert which if i continue straight down past the diamond mine
32,i'll go,and then go to your right,right okay,right you uh-huh below the diamond mine,okay so i'm still below the diamond mine,no don't go don't go any further than the desert don't go onto the desert
33,You are not near the diamond mines.,my right right okay,and then go to your right,right okay,right you uh-huh below the diamond mine,okay so i'm still below the diamond mine
34,"i'm not sure, i think i have a graveyard, but i don't know for sure",you've got neither a graveyard nor a fast flowing river,my right right okay,and then go to your right,right okay,right you uh-huh below the diamond mine
35,i have a graveyard and a fast flow river,i've got a fast running creek,you've got neither a graveyard nor a fast flowing river,my right right okay,and then go to your right,right okay
36,I have a slow running creek.,okay right you've got a fast flowing fast running creek i don't have a fast running creek,i've got a fast running creek,you've got neither a graveyard nor a fast flowing river,my right right okay,and then go to your right
37,i have a lot of luck with the lucky,how unlucky,okay right you've got a fast flowing fast running creek i don't have a fast running creek,i've got a fast running creek,you've got neither a graveyard nor a fast flowing river,my right right okay
38,You're stuck,so ehm ehm i'm kind of stuck,how unlucky,okay right you've got a fast flowing fast running creek i don't have a fast running creek,i've got a fast running creek,you've got neither a graveyard nor a fast flowing river
39,i'll just leave you alone,can i just go straight to the saloon bar,so ehm ehm i'm kind of stuck,how unlucky,okay right you've got a fast flowing fast running creek i don't have a fast running creek,i've got a fast running creek
40,okay im in the saloons and ill go there and wait for you to come,erm mark no just wait i know you're thirsty but just wait 'til you get to the desert,can i just go straight to the saloon bar,so ehm ehm i'm kind of stuck,how unlucky,okay right you've got a fast flowing fast running creek i don't have a fast running creek
41,i'm thirsty,right okay,erm mark no just wait i know you're thirsty but just wait 'til you get to the desert,can i just go straight to the saloon bar,so ehm ehm i'm kind of stuck,how unlucky
42,"i have a creek, i've had a river, and i've been a river for a while.",well okay then right you've got a creek i've got a river,right okay,erm mark no just wait i know you're thirsty but just wait 'til you get to the desert,can i just go straight to the saloon bar,so ehm ehm i'm kind of stuck
43,you know i'm not talking about the water,yes,well okay then right you've got a creek i've got a river,right okay,erm mark no just wait i know you're thirsty but just wait 'til you get to the desert,can i just go straight to the saloon bar
44,no they don't,so they must be linked somehow,yes,well okay then right you've got a creek i've got a river,right okay,erm mark no just wait i know you're thirsty but just wait 'til you get to the desert
45,I think they're linked to each other,yeah,so they must be linked somehow,yes,well okay then right you've got a creek i've got a river,right okay
46,you wanna go?,so do you want to just go along to your right,yeah,so they must be linked somehow,yes,well okay then right you've got a creek i've got a river
47,i am on my way,okay,so do you want to just go along to your right,yeah,so they must be linked somehow,yes
48,ok then,and then go up and over the top of where the creek is,okay,so do you want to just go along to your right,yeah,so they must be linked somehow
49,i dont know what you mean by that,right okay,and then go up and over the top of where the creek is,okay,so do you want to just go along to your right,yeah
50,go to the bottom of the hill,and then down south again,right okay,and then go up and over the top of where the creek is,okay,so do you want to just go along to your right
51,then go north,okay,and then down south again,right okay,and then go up and over the top of where the creek is,okay
52,"i am not sure, do you know where the water will go?",down south again until just above the apache camp,okay,and then down south again,right okay,and then go up and over the top of where the creek is
53,alright then,right okay,down south again until just above the apache camp,okay,and then down south again,right okay
54,ok I'll be there in a few minutes,and pass that by go to your southwest of the apache camp,right okay,down south again until just above the apache camp,okay,and then down south again
55,and what is your ign,passing above it,and pass that by go to your southwest of the apache camp,right okay,down south again until just above the apache camp,okay
56,how do i do that?,uh-huh,passing above it,and pass that by go to your southwest of the apache camp,right okay,down south again until just above the apache camp
57,passes the black line,but to the southwest,uh-huh,passing above it,and pass that by go to your southwest of the apache camp,right okay
58,well then,uh-huh,but to the southwest,uh-huh,passing above it,and pass that by go to your southwest of the apache camp
59,oh ok,okay,uh-huh,but to the southwest,uh-huh,passing above it
60,uhhh... huh...,right take the southwest direction,okay,uh-huh,but to the southwest,uh-huh
61,i don't see it,passing above it right,right take the southwest direction,okay,uh-huh,but to the southwest
62,now pass the wall,now do you have a walled city,passing above it right,right take the southwest direction,okay,uh-huh
63,still building?,yes,now do you have a walled city,passing above it right,right take the southwest direction,okay
64,"no, but i have a forest",and do you have a desert,yes,now do you have a walled city,passing above it right,right take the southwest direction
65,can you help me?,yes,and do you have a desert,yes,now do you have a walled city,passing above it right
66,we have a border,well pass from above the apache camp um and over the top of the walled city but between the desert and the walled city,yes,and do you have a desert,yes,now do you have a walled city
67,i think you have to pass through the wall first,between them,well pass from above the apache camp um and over the top of the walled city but between the desert and the walled city,yes,and do you have a desert,yes
68,"yes, there is",uh-huh so that's over the top of the walled city,between them,well pass from above the apache camp um and over the top of the walled city but between the desert and the walled city,yes,and do you have a desert
69,the walls,right okay,uh-huh so that's over the top of the walled city,between them,well pass from above the apache camp um and over the top of the walled city but between the desert and the walled city,yes
70,i dont know,okay,right okay,uh-huh so that's over the top of the walled city,between them,well pass from above the apache camp um and over the top of the walled city but between the desert and the walled city
71,I'm that is not in the way,but i'm that's not in a straight line,okay,right okay,uh-huh so that's over the top of the walled city,between them
72,yeah i know but i just want to get out of the straight line and into the city,oh that's fair enough right just just go between those two,but i'm that's not in a straight line,okay,right okay,uh-huh so that's over the top of the walled city
73,but I'm that is not in the straight line so I'm just gonna go between them,right okay right okay,oh that's fair enough right just just go between those two,but i'm that's not in a straight line,okay,right okay
74,just go between the two,right,right okay right okay,oh that's fair enough right just just go between those two,but i'm that's not in a straight line,okay
75,Right,right,right,right okay right okay,oh that's fair enough right just just go between those two,but i'm that's not in a straight line
76,you should start a thread,and then,right,right,right okay right okay,oh that's fair enough right just just go between those two
77,Ok ok i'm on,okay i'm between,and then,right,right,right okay right okay
78,i'm on,continue south,okay i'm between,and then,right,right
79,k go ahead,okay,continue south,okay i'm between,and then,right
80,"no, i have no carve wooden pole",right until do you you you have no carved wooden pole at all,okay,continue south,okay i'm between,and then
81,are you on right now?,yes,right until do you you you have no carved wooden pole at all,okay,continue south,okay i'm between
82,what is that,a totem pole sort of thing,yes,right until do you you you have no carved wooden pole at all,okay,continue south
83,i like to see it,yes uh-huh,a totem pole sort of thing,yes,right until do you you you have no carved wooden pole at all,okay
84,it's a tree,right,yes uh-huh,a totem pole sort of thing,yes,right until do you you you have no carved wooden pole at all
85,It's there.,but right at the very bottom,right,yes uh-huh,a totem pole sort of thing,yes
86,i don't have flat rocks.,well okay do you have any flat rocks,but right at the very bottom,right,yes uh-huh,a totem pole sort of thing
