,response,context,context/0,context/1,context/2,context/3
0,yeah i'm pretty sure i have a few of those in my inventory,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right,uh-huh,right so the start is at the top left-hand side of the page
1,Do you have the portal up above the cliffs?,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right,uh-huh
2,turn around,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs,do you have cliffs just to to the right
3,uhh... well I go up a hill to the right and down a mountain,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe,to the right uh-huh sandstone cliffs
4,where is it?,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no,mmhmm do you have a forge below the cliffs about you know an inch or so down two inches maybe
5,up where the water is,right,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve,er no
6,I don't know how to get to the bottom,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs,uh-huh how far down,you don't have a forge well the forge is eh below the the cliffs say about two inches down okay so you go from the start slightly to your right down the way right a curve
7,its a lot more complicated than that.,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs,uh-huh how far down
8,what if you're on the right hand side?,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right,to the bottom of the cliffs
9,Right on,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches,right
10,It's not really a problem if you're a right handed man,so now you're about,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page,and then you start to go left go about half an inch out to the left and and down about you know two and a half inches three inches
11,how far are you from the right of the pages,no hold on a minute,so now you're about,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there,so how far am i from the left of the page
12,i'm not sure how you can tell the length of a cross,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute,so now you're about,right,an inch and a half if you draw that line down you'll be on the left-hand side of the forge you don't have a forge but there is one there
13,you are right,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute,so now you're about,right
14,you know,no no,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute,so now you're about
15,i am,no,no no,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay,no hold on a minute
16,no it's a long way to the right,no the initial line from the cross,no,no no,right hold on wait a minute am i right under the sandstone cliffs,you should really end up about four inches down from the the cross er you know in the same line like just beneath it in fact four inches down okay
17,The initial line of the post is what I meant.,mmhmm,no the initial line from the cross,no,no no,right hold on wait a minute am i right under the sandstone cliffs
18,i'm confused,goes right but it doesn't go as far right as the cliffs,mmhmm,no the initial line from the cross,no,no no
19,cliffs are for the plebs,right okay,goes right but it doesn't go as far right as the cliffs,mmhmm,no the initial line from the cross,no
20,"I'm confused, the first line from a cross, the second line from an enemy",it goes down to where it says cliffs okay,right okay,goes right but it doesn't go as far right as the cliffs,mmhmm,no the initial line from the cross
21,... the cliffs...,uh-huh,it goes down to where it says cliffs okay,right okay,goes right but it doesn't go as far right as the cliffs,mmhmm
22,I don't get it,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh,it goes down to where it says cliffs okay,right okay,goes right but it doesn't go as far right as the cliffs
23,i dont get it,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh,it goes down to where it says cliffs okay,right okay
24,"right, right straight down the start then you're in the bottom of the start?",yeah,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh,it goes down to where it says cliffs okay
25,right then,right,yeah,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're,uh-huh
26,left straight up?,until you're about you know four inches or four and a half inches or so down from the start,right,yeah,right straight down under the start,about a centimetre from where it says cliffs to the left-hand side of it okay then you go back left slightly until you're beneath the the start and down you know two or three inches until you're
27,"well, if you're not a giant, then you're probably just a tiny",okay,until you're about you know four inches or four and a half inches or so down from the start,right,yeah,right straight down under the start
28,yes but i can't use my old pine or a new pine,do you have an old pine,okay,until you're about you know four inches or four and a half inches or so down from the start,right,yeah
29,I'm not sure what I'm supposed to be looking for here.,uh-huh in the right kind of towards the middle a bit,do you have an old pine,okay,until you're about you know four inches or four and a half inches or so down from the start,right
30,i don't know how you'd get that from the picture.,yeah a single old pine,uh-huh in the right kind of towards the middle a bit,do you have an old pine,okay,until you're about you know four inches or four and a half inches or so down from the start
31,yeah i got the pine,uh-huh,yeah a single old pine,uh-huh in the right kind of towards the middle a bit,do you have an old pine,okay
32,u dogetipbot 50 doge verify,and down down as far as that okay,uh-huh,yeah a single old pine,uh-huh in the right kind of towards the middle a bit,do you have an old pine
33,and left as far away as that,right,and down down as far as that okay,uh-huh,yeah a single old pine,uh-huh in the right kind of towards the middle a bit
34,there's a way,but you know beneath the start,right,and down down as far as that okay,uh-huh,yeah a single old pine
35,I think you need to start with the first word.,uh-huh,but you know beneath the start,right,and down down as far as that okay,uh-huh
36,i go up to the forge,so then you go right which would be under the forge and you go up over the old pine okay,uh-huh,but you know beneath the start,right,and down down as far as that okay
