,response,context,context/0,context/1,context/2,context/3
0,"okay, I'll just go in there and check",no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down,mmhmm,to the left of burnt forest,right ehm you've got to take your line down from the start to just vertically to just to the left of burnt forest
1,is it okay?,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down,mmhmm,to the left of burnt forest
2,no i mean like a little bit down,right take that same line still down vertically to the left of the ravine,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down,mmhmm
3,i want to go to the ravines but i don't know where,there's a cottage on my map,right take that same line still down vertically to the left of the ravine,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine,so it's not far down
4,i think you can't go around the ravines on the ravins,well just draw round it,there's a cottage on my map,right take that same line still down vertically to the left of the ravine,yeah,no it's a tiny bit okay and while you're doing that go in to your right a bit but it doesn't really matter okay ehm have you got a ravine
5,where is the ravines?,the left of the ravine,well just draw round it,there's a cottage on my map,right take that same line still down vertically to the left of the ravine,yeah
6,It's a ravine.,uh-huh is the cottage in the way there no,the left of the ravine,well just draw round it,there's a cottage on my map,right take that same line still down vertically to the left of the ravine
7,Is the ravining on the right?,it's next to the ravine,uh-huh is the cottage in the way there no,the left of the ravine,well just draw round it,there's a cottage on my map
8,"i dont know how to take a picture of a ravine, it was the ravines fault",well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine,uh-huh is the cottage in the way there no,the left of the ravine,well just draw round it
9,the ravine?,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine,uh-huh is the cottage in the way there no,the left of the ravine
10,oh so you're in the ravines right now?,is there a space between them yeah,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine,uh-huh is the cottage in the way there no
11,"i mean they are in the ravines, they just have a different name",mmhmm,is there a space between them yeah,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine,it's next to the ravine
12,"I'm in the ravines, just walk around and you'll find me",right take the line and go to your right underneath the cottage can you do that,mmhmm,is there a space between them yeah,mmhmm right next to it,well that's okay right now take that take the line is the cottage directly beside the ravine
13,mmmhmmm... what do you mean?,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that,mmhmm,is there a space between them yeah,mmhmm right next to it
14,i think you're the one that needs to draw that,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that,mmhmm,is there a space between them yeah
15,up through,and down through,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that,mmhmm
16,i think it's more to do with the angle of the picture,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage,right take the line and go to your right underneath the cottage can you do that
17,I'm on my way!,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through,yeah but i want you to draw up through between the cottage and the ravine,no 'cause the ravine's on the right of the cottage
18,Where do you live?,between the cottage and the ravine,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through,yeah but i want you to draw up through between the cottage and the ravine
19,i'm on the opposite side,i've just come down there,between the cottage and the ravine,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up,and down through
20,I was told it was supposed to be a pond,you weren't meant to,i've just come down there,between the cottage and the ravine,mmhmm,no up through go go down vertically until you're and draw underneath the cottage and then come up
21,you have to be a little careful around the ravines,right,you weren't meant to,i've just come down there,between the cottage and the ravine,mmhmm
22,i did,okay right you went down past burnt forest,right,you weren't meant to,i've just come down there,between the cottage and the ravine
23,how did you get in there,i went underneath burnt forest,okay right you went down past burnt forest,right,you weren't meant to,i've just come down there
24,i was not,well you weren't meant to,i went underneath burnt forest,okay right you went down past burnt forest,right,you weren't meant to
25,i did,well you said draw round the cottage,well you weren't meant to,i went underneath burnt forest,okay right you went down past burnt forest,right
