,response,context,context/0,context/1,context/2,context/3
0,you have to go up to the top,right so go down just sort of diagonally just towards them but pass them,yes,right and eh have you got cliffs below that just below and to the right,right oh sorry okay,right you start at the top left
1,you need to look up the exact angles of the pillars on the ground,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them,yes,right and eh have you got cliffs below that just below and to the right,right oh sorry okay
2,"right, and how do you pass them?",pass them on your their left,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them,yes,right and eh have you got cliffs below that just below and to the right
3,go up,on the left,pass them on your their left,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them,yes
4,pass the on the right and the bottom pass the on their left.,uh-huh right and then have you got a forge underneath the cliffs,on the left,pass them on your their left,on the the bottom side of them pass them on the bottom,right so go down just sort of diagonally just towards them but pass them
5,on your left?,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs,on the left,pass them on your their left,on the the bottom side of them pass them on the bottom
6,yeah i do,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs,on the left,pass them on your their left
7,have you got anything in the bottom of the cliff?,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs,on the left
8,i can't think of anything,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs,uh-huh right and then have you got a forge underneath the cliffs
9,what is a forge?,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs,no i've just got nothing in below the cliffs
10,what do you mean?,well like you know a pretend loop,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes,oh have you got an old pine tree sort of down diagonally right from the cliffs
11,what's the right way to do it?,inside or the aye to the inside or the outside of the map,well like you know a pretend loop,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle,yes
12,i don't know what that means,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map,well like you know a pretend loop,a pretend semicircle to the,right well sort of pretend there's a forge right below the cliffs right and instead of right so you go down round the bottom of the forge so like draw a sort of a pretend semicircle
13,theres no way to know without seeing it,i'm just below the cliffs,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map,well like you know a pretend loop,a pretend semicircle to the
14,"I'm in the mountains, so the map is in the middle of the mountains",right so you go out towards outside of the map,i'm just below the cliffs,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map,well like you know a pretend loop
15,which map?,towards the outside of the map right,right so you go out towards outside of the map,i'm just below the cliffs,right start right so you're just below the cliffs,inside or the aye to the inside or the outside of the map
