,response,context,context/0,context/1,context/2,context/3
0,"uhhh, you're going to have to explain that one to me.",ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh,okay,uh-huh,okay the start part is at the top left-hand corner
1,You're coming down the opposite way.,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh,okay,uh-huh
2,oh yeah,okay uh-huh,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh,okay
3,you're coming down the right hand side,right down there,okay uh-huh,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there,uh-huh
4,how do you get to the top of the mountain?,right beside it you just go straight down underneath it,right down there,okay uh-huh,yeah right on the right-hand side roughly just,ehm you're coming the for three inches down below that do you have a diamond mine there
5,the left hand side of the sword is the right hand side,right okay oops that was,right beside it you just go straight down underneath it,right down there,okay uh-huh,yeah right on the right-hand side roughly just
6,i dont know how to do that,do you have a graveyard just along from the diamond mine,right okay oops that was,right beside it you just go straight down underneath it,right down there,okay uh-huh
7,you have a gallowboob to the right?,no i've got a gallows to the left like below the left,do you have a graveyard just along from the diamond mine,right okay oops that was,right beside it you just go straight down underneath it,right down there
8,the one that's above the right side of the diamond farm,no no just ignore that,no i've got a gallows to the left like below the left,do you have a graveyard just along from the diamond mine,right okay oops that was,right beside it you just go straight down underneath it
9,I'm in the diamond mining area,right okay,no no just ignore that,no i've got a gallows to the left like below the left,do you have a graveyard just along from the diamond mine,right okay oops that was
10,"no, I can't, I don't have stone.",do you have carved stones,right okay,no no just ignore that,no i've got a gallows to the left like below the left,do you have a graveyard just along from the diamond mine
11,i have a gold ore,oh no i have got a gold mine but it's it's a it's a good bit below that,do you have carved stones,right okay,no no just ignore that,no i've got a gallows to the left like below the left
12,do u have a graveyard?,sorry no i said a graveyard,oh no i have got a gold mine but it's it's a it's a good bit below that,do you have carved stones,right okay,no no just ignore that
13,i did say a graveyard...,oh sorry no oh no i,sorry no i said a graveyard,oh no i have got a gold mine but it's it's a it's a good bit below that,do you have carved stones,right okay
14,oh ok sorry no i just found a diamond ore on the bottom left of the map,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it okay,oh sorry no oh no i,sorry no i said a graveyard,oh no i have got a gold mine but it's it's a it's a good bit below that,do you have carved stones
15,No it's the diamond mining area,no i haven't got that,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it okay,oh sorry no oh no i,sorry no i said a graveyard,oh no i have got a gold mine but it's it's a it's a good bit below that
16,yes but you didnt get it,well,no i haven't got that,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it okay,oh sorry no oh no i,sorry no i said a graveyard
17,i have no idea,okay,well,no i haven't got that,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it okay,oh sorry no oh no i
18,"i dont have a compass, i have a map",so come along to about mm about five six inches anyway straight along to the right,okay,well,no i haven't got that,no it's to the right-hand side of the diamond mine on my map there's a graveyard right beside it okay
19,what are you doing?,underneath the diamond mine,so come along to about mm about five six inches anyway straight along to the right,okay,well,no i haven't got that
20,you mean under the diamond mines?,underneath the diamond mine,underneath the diamond mine,so come along to about mm about five six inches anyway straight along to the right,okay,well
21,i have a few of them,right how far underneath the diamond mine,underneath the diamond mine,underneath the diamond mine,so come along to about mm about five six inches anyway straight along to the right,okay
22,how far underneath?,it's about an inch or so,right how far underneath the diamond mine,underneath the diamond mine,underneath the diamond mine,so come along to about mm about five six inches anyway straight along to the right
23,5 inches,right okay five inches right along up along to near a a ravine stuff thing,it's about an inch or so,right how far underneath the diamond mine,underneath the diamond mine,underneath the diamond mine
24,"yeah, what about it?",no i don't have the ravine,right okay five inches right along up along to near a a ravine stuff thing,it's about an inch or so,right how far underneath the diamond mine,underneath the diamond mine
25,can you make the ravines into diamonds?,i've got,no i don't have the ravine,right okay five inches right along up along to near a a ravine stuff thing,it's about an inch or so,right how far underneath the diamond mine
26,yes and i have the sword,do you have carved stones,i've got,no i don't have the ravine,right okay five inches right along up along to near a a ravine stuff thing,it's about an inch or so
27,i have carved stone,i've got carved stones and then indian country,do you have carved stones,i've got,no i don't have the ravine,right okay five inches right along up along to near a a ravine stuff thing
28,i mean like on the top,yeah down below it,i've got carved stones and then indian country,do you have carved stones,i've got,no i don't have the ravine
29,about 6m,bit underneath it and i've got a ravine right in the middle between they two,yeah down below it,i've got carved stones and then indian country,do you have carved stones,i've got
30,so where do i go?,right well try and ehm go as close to ravine as possible but up towards the carved stones,bit underneath it and i've got a ravine right in the middle between they two,yeah down below it,i've got carved stones and then indian country,do you have carved stones
31,i've been to the ravine but i've been in a hill,right in a curve or a tight angle,right well try and ehm go as close to ravine as possible but up towards the carved stones,bit underneath it and i've got a ravine right in the middle between they two,yeah down below it,i've got carved stones and then indian country
32,left or right?,in a curve above the carved stones,right in a curve or a tight angle,right well try and ehm go as close to ravine as possible but up towards the carved stones,bit underneath it and i've got a ravine right in the middle between they two,yeah down below it
33,just above the ravine,above the carved stones,in a curve above the carved stones,right in a curve or a tight angle,right well try and ehm go as close to ravine as possible but up towards the carved stones,bit underneath it and i've got a ravine right in the middle between they two
34,what are you trying to accomplish?,yeah,above the carved stones,in a curve above the carved stones,right in a curve or a tight angle,right well try and ehm go as close to ravine as possible but up towards the carved stones
35,"that's not a roundabout, that's a flat circle",right round the carved stones kind of thing,yeah,above the carved stones,in a curve above the carved stones,right in a curve or a tight angle
36,right in the carved stone,uh-huh right round them and back down towards the indian country,right round the carved stones kind of thing,yeah,above the carved stones,in a curve above the carved stones
37,how far down,right how far down do you want me to go,uh-huh right round them and back down towards the indian country,right round the carved stones kind of thing,yeah,above the carved stones
38,You'll be fine.,'til you're right above the wigwams,right how far down do you want me to go,uh-huh right round them and back down towards the indian country,right round the carved stones kind of thing,yeah
39,haha i like the way you think.,okey-dokey,'til you're right above the wigwams,right how far down do you want me to go,uh-huh right round them and back down towards the indian country,right round the carved stones kind of thing
40,It's not a crime to be a little bit crazy.,okay,okey-dokey,'til you're right above the wigwams,right how far down do you want me to go,uh-huh right round them and back down towards the indian country
41,i like this idea,uh-huh,okay,okey-dokey,'til you're right above the wigwams,right how far down do you want me to go
42,you're in the wrong country.,right do you have to the left of the indian country a great rock,uh-huh,okay,okey-dokey,'til you're right above the wigwams
43,you know you can just right click it,no,right do you have to the left of the indian country a great rock,uh-huh,okay,okey-dokey
44,i have a big gold mine.,no do you have a gold mine,no,right do you have to the left of the indian country a great rock,uh-huh,okay
45,I don't get it,yeah it's right it's it's on like the other side,no do you have a gold mine,no,right do you have to the left of the indian country a great rock,uh-huh
46,"yes, but not to the otherside",okay,yeah it's right it's it's on like the other side,no do you have a gold mine,no,right do you have to the left of the indian country a great rock
47,it's not that big,and it's down a wee bit,okay,yeah it's right it's it's on like the other side,no do you have a gold mine,no
48,but the rock is down a bit,well yeah well the great rock is level with the indian country and ehm in between the gold mine,and it's down a wee bit,okay,yeah it's right it's it's on like the other side,no do you have a gold mine
49,and the great metal rock is in the middle of the indians rock?,uh-huh,well yeah well the great rock is level with the indian country and ehm in between the gold mine,and it's down a wee bit,okay,yeah it's right it's it's on like the other side
50,and in between,and the indian country,uh-huh,well yeah well the great rock is level with the indian country and ehm in between the gold mine,and it's down a wee bit,okay
51,it's up,right okay,and the indian country,uh-huh,well yeah well the great rock is level with the indian country and ehm in between the gold mine,and it's down a wee bit
52,"i don't know what you're talking about, there's a huge rock in the middle of the middle east.",so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is,right okay,and the indian country,uh-huh,well yeah well the great rock is level with the indian country and ehm in between the gold mine
53,"go down a bit, then go down again, then down again",how do you mean go down,so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is,right okay,and the indian country,uh-huh
54,how come?,well,how do you mean go down,so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is,right okay,and the indian country
55,go to the top of the page,do i go to the side of the indian country,well,how do you mean go down,so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is,right okay
56,"oh, i'm gonna be going to the end of the island to the middle of the ocean",yeah you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of,do i go to the side of the indian country,well,how do you mean go down,so you're trying to avoid that so go down a little bit 'til just underneath where the indian country is
57,you go over the gold mines?,right as if i was going underneath the gold rock if it if i had it there,yeah you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of,do i go to the side of the indian country,well,how do you mean go down
58,i mean i would but i have no clue what that is,uh-huh if you had a great rock as if you're going underneath it,right as if i was going underneath the gold rock if it if i had it there,yeah you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of,do i go to the side of the indian country,well
59,yes but i'm not going to the middle of the gold,right okay,uh-huh if you had a great rock as if you're going underneath it,right as if i was going underneath the gold rock if it if i had it there,yeah you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of,do i go to the side of the indian country
60,that's the best part,to the side down by the side of the wigwams underneath this great rock,right okay,uh-huh if you had a great rock as if you're going underneath it,right as if i was going underneath the gold rock if it if i had it there,yeah you're heading from the indian country to the gold mine but trying to avoid the gold rock so come down to the bottom of
61,right as when the red woman comes in,uh-huh,to the side down by the side of the wigwams underneath this great rock,right okay,uh-huh if you had a great rock as if you're going underneath it,right as if i was going underneath the gold rock if it if i had it there
62,uhhh... the goldmine,then back up and above the gold mine,uh-huh,to the side down by the side of the wigwams underneath this great rock,right okay,uh-huh if you had a great rock as if you're going underneath it
63,i have no idea,right okay got that,then back up and above the gold mine,uh-huh,to the side down by the side of the wigwams underneath this great rock,right okay
64,"yeah, let's go",okay just going curving along down the side of the gold mine,right okay got that,then back up and above the gold mine,uh-huh,to the side down by the side of the wigwams underneath this great rock
65,now do the goldmine,right,okay just going curving along down the side of the gold mine,right okay got that,then back up and above the gold mine,uh-huh
66,ok well ill be on later today if you still want to trade,you're going quite far down maybe wait a second what do you have underneath the gold mine anything,right,okay just going curving along down the side of the gold mine,right okay got that,then back up and above the gold mine
67,"ok cool, ill be right there",i've i've got a gold mine a totem pole and then a great rock a really good bit down,you're going quite far down maybe wait a second what do you have underneath the gold mine anything,right,okay just going curving along down the side of the gold mine,right okay got that
68,i think i've found a goldmine,right,i've i've got a gold mine a totem pole and then a great rock a really good bit down,you're going quite far down maybe wait a second what do you have underneath the gold mine anything,right,okay just going curving along down the side of the gold mine
69,and a rock,and then bandit territory right at the bottom,right,i've i've got a gold mine a totem pole and then a great rock a really good bit down,you're going quite far down maybe wait a second what do you have underneath the gold mine anything,right
70,you can get them in the gold mines,right what you're trying to do is avoid the totem pole,and then bandit territory right at the bottom,right,i've i've got a gold mine a totem pole and then a great rock a really good bit down,you're going quite far down maybe wait a second what do you have underneath the gold mine anything
71,right. right.,uh-huh,right what you're trying to do is avoid the totem pole,and then bandit territory right at the bottom,right,i've i've got a gold mine a totem pole and then a great rock a really good bit down
72,"i would say that it's a bit of a stretch to call it a totem pole, but i guess that's just me",go i would say go underneath the totem pole do you have a trout farm,uh-huh,right what you're trying to do is avoid the totem pole,and then bandit territory right at the bottom,right
73,"oh ok, I'm not sure then, but it would be good to know.",eh aye but it's away over to the right-hand side,go i would say go underneath the totem pole do you have a trout farm,uh-huh,right what you're trying to do is avoid the totem pole,and then bandit territory right at the bottom
74,i think i know where that totem is but i can't remember where it is,the right yeah well you're getting from underneath the totem pole above which is above the great rock,eh aye but it's away over to the right-hand side,go i would say go underneath the totem pole do you have a trout farm,uh-huh,right what you're trying to do is avoid the totem pole
75,what is it?,uh-huh,the right yeah well you're getting from underneath the totem pole above which is above the great rock,eh aye but it's away over to the right-hand side,go i would say go underneath the totem pole do you have a trout farm,uh-huh
76,how do you get up there?,underneath that and then heading across to the right to the trout farm,uh-huh,the right yeah well you're getting from underneath the totem pole above which is above the great rock,eh aye but it's away over to the right-hand side,go i would say go underneath the totem pole do you have a trout farm
77,The top of the totem is above it,right okay,underneath that and then heading across to the right to the trout farm,uh-huh,the right yeah well you're getting from underneath the totem pole above which is above the great rock,eh aye but it's away over to the right-hand side
78,"I have a horse, you can have a dragon.",do you have a cavalry,right okay,underneath that and then heading across to the right to the trout farm,uh-huh,the right yeah well you're getting from underneath the totem pole above which is above the great rock
79,i have a horse,no,do you have a cavalry,right okay,underneath that and then heading across to the right to the trout farm,uh-huh
80,Do you have any horses?,no well,no,do you have a cavalry,right okay,underneath that and then heading across to the right to the trout farm
81,I'll be there.,i'm up shit creek i haven't got a cavalry,no well,no,do you have a cavalry,right okay
82,go left go right go right,go right go straight underneath the trout farm,i'm up shit creek i haven't got a cavalry,no well,no,do you have a cavalry
83,i don't get it,right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm,go right go straight underneath the trout farm,i'm up shit creek i haven't got a cavalry,no well,no
84,how is this?,yeah sort of well curve sort of up to the trout farm,right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm,go right go straight underneath the trout farm,i'm up shit creek i haven't got a cavalry,no well
85,I'm coming up from a dine in a pole like a dino,right okay,yeah sort of well curve sort of up to the trout farm,right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm,go right go straight underneath the trout farm,i'm up shit creek i haven't got a cavalry
86,what about the trout?,go along,right okay,yeah sort of well curve sort of up to the trout farm,right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm,go right go straight underneath the trout farm
87,what is the curve?,above or below the trout farm,go along,right okay,yeah sort of well curve sort of up to the trout farm,right so i'm coming from a totem pole at a totem pole like in a dinai diagonal across to the trout farm
88,what level are you?,below,above or below the trout farm,go along,right okay,yeah sort of well curve sort of up to the trout farm
89,the trout farm below the mule,right okay,below,above or below the trout farm,go along,right okay
90,I can't tell if you're joking or not,go along the side of the trout farm,right okay,below,above or below the trout farm,go along
