,response,context,context/0,context/1,context/2,context/3
0,"And they're all very active. They, uh, my two older boys are still out running around. They have a, a four year old and a two year old. And I, I run a mile on the treadmill on Saturday mornings and on Sunday afternoon I start. I run about three miles, but on Saturday I start again on Sunday morning I start at about six and a boy and a girl.",Oh gosh.,"Well they range from, let's see about a year and a half to nine years old.",How old are they?,"Yes, I have four cats.",You said you have four cats?
1,!!!%!! RemindMe!!body else got the wrong message. This is a call for help.,Yes.,Oh gosh.,"Well they range from, let's see about a year and a half to nine years old.",How old are they?,"Yes, I have four cats."
2,"Yeah, I think that's the way it is.","I haven't had my oldest one quite nine years, I've had him probably five years.",Yes.,Oh gosh.,"Well they range from, let's see about a year and a half to nine years old.",How old are they?
3,"Yeah, so, I don't know. I don, I just don't have the time to spend with him.","Oh okay, you get so attached to them.","I haven't had my oldest one quite nine years, I've had him probably five years.",Yes.,Oh gosh.,"Well they range from, let's see about a year and a half to nine years old."
4,Oh.,"Oh yes, I love my cats. I lost one, one time, uh,","Oh okay, you get so attached to them.","I haven't had my oldest one quite nine years, I've had him probably five years.",Yes.,Oh gosh.
5,"and I had to have my, uh",Oh.,"Oh yes, I love my cats. I lost one, one time, uh,","Oh okay, you get so attached to them.","I haven't had my oldest one quite nine years, I've had him probably five years.",Yes.
6,Uh-huh.,"the first one I got. He jumped off the balcony actually, of a second story apartment.",Oh.,"Oh yes, I love my cats. I lost one, one time, uh,","Oh okay, you get so attached to them.","I haven't had my oldest one quite nine years, I've had him probably five years."
7,"But, uh.",Oh no.,"the first one I got. He jumped off the balcony actually, of a second story apartment.",Oh.,"Oh yes, I love my cats. I lost one, one time, uh,","Oh okay, you get so attached to them."
8,Uh-huh.,"And he'd never been outside, like, you know, by himself outside.",Oh no.,"the first one I got. He jumped off the balcony actually, of a second story apartment.",Oh.,"Oh yes, I love my cats. I lost one, one time, uh,"
9,He'd never seen anybody. He'd never even seen a cat or cat walk around.,Uh-huh.,"And he'd never been outside, like, you know, by himself outside.",Oh no.,"the first one I got. He jumped off the balcony actually, of a second story apartment.",Oh.
