Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
2	2	5	, you know , the	40	28	1	A	13, 40
2	2	5	get rid of them .	44	12	1	A	33, 44
2	2	5	going to get another one	11	2	1	B	10, 11
8	7	4	, you know ,	24	30	2	A	13, 17, 24, 26, 33, 38, 40, 42
2	2	4	, I don't ,	22	22	1	A	1, 22
2	2	4	and , and I	38	12	1	A	27, 38
2	2	4	it , it was	23	4	1	B	20, 23
2	2	4	to take care of	30	2	1	A	29, 30
9	1	3	, you know	36	30	2	A	13, 17, 24, 26, 33, 36, 38, 40, 42
6	6	3	, uh ,	13	32	1	B	8, 13, 23, 24, 32, 39
4	4	3	Yeah , I	27	10	1	B	24, 27, 30, 33
4	2	3	and , and	42	21	1	A	27, 38, 42, 47
4	2	3	take care of	30	24	2	A	13, 29, 30, 36
3	2	3	, I don't	22	22	2	A	1, 19, 22
3	1	3	, it was	23	4	2	B	20, 22, 23
3	3	3	I had a	8	23	1	A	1, 8, 23
3	1	3	of them .	44	32	2	A	13, 33, 44
2	2	3	, but ,	35	28	1	B	8, 35
2	2	3	, but I	35	12	1	B	24, 35
2	2	3	, when I	23	14	1	B	10, 23
2	2	3	. So ,	29	20	1	B	10, 29
2	2	3	a lot more	47	22	1	B	26, 47
2	2	3	a lot of	26	26	1	A	1, 26
2	2	3	a pet .	1	2	1	B	0, 1
2	2	3	and I think	38	26	1	A	13, 38
2	2	3	have a pet	36	30	1	A	7, 36
2	2	3	it was an	23	4	1	B	20, 23
2	2	3	them for walks	27	2	1	B	26, 27
2	2	3	when I was	40	40	1	A	1, 40
2	2	3	you're going to	36	26	1	A	11, 36
11	6	2	, I	22	49	3	A	1, 5, 19, 22, 23, 24, 27, 29, 30, 33, 49
10	7	2	, and	36	43	5	A	5, 13, 15, 17, 27, 36, 38, 42, 44, 47
10	2	2	, you	24	40	3	A	3, 13, 17, 24, 26, 33, 36, 38, 40, 42
10	8	2	I think	24	49	4	A	1, 13, 17, 23, 24, 33, 38, 41, 47, 49
9	6	2	Yeah ,	15	44	1	B	2, 15, 23, 24, 25, 27, 30, 33, 45
8	8	2	Yeah .	31	43	4	B	6, 12, 18, 28, 31, 34, 43, 48
8	8	2	kind of	21	22	3	B	14, 16, 20, 21, 24, 27, 32, 35
8	1	2	know ,	24	30	2	A	13, 17, 24, 26, 33, 38, 40, 42
7	3	2	and ,	26	25	1	A	23, 26, 27, 38, 40, 42, 47
5	5	2	, that's	25	37	1	B	4, 25, 27, 31, 40
5	2	2	a pet	1	37	1	B	0, 1, 7, 33, 36
5	3	2	it was	23	23	2	B	20, 22, 23, 30, 42
4	1	2	, but	42	35	2	B	8, 24, 35, 42
4	1	2	I don't	35	35	2	A	1, 19, 22, 35
4	2	2	it ,	20	25	1	A	5, 20, 23, 29
4	1	2	them .	24	32	1	A	13, 24, 33, 44
4	4	2	to ,	36	10	1	A	33, 36, 40, 42
3	3	2	, I'm	24	17	1	A	11, 24, 27
3	1	2	, it	23	4	2	B	20, 22, 23
3	1	2	I was	40	40	2	A	1, 5, 40
3	3	2	and they	26	24	2	A	3, 13, 26
3	1	2	but ,	19	28	1	B	8, 19, 35
3	1	2	going to	11	27	1	B	10, 11, 36
3	1	2	have a	51	45	1	A	7, 36, 51
3	3	2	have to	49	26	2	B	24, 26, 49
3	1	2	of them	44	32	2	A	13, 33, 44
3	3	2	right ,	51	48	2	B	4, 26, 51
3	3	2	thing ,	26	38	1	A	5, 26, 42
3	1	2	to get	44	35	1	B	10, 11, 44
3	1	2	was an	20	5	1	A	19, 20, 23
2	2	2	, just	40	8	1	A	33, 40
2	1	2	, the	40	28	1	A	13, 40
2	2	2	, they	32	16	1	A	17, 32
2	2	2	I ,	27	4	1	B	24, 27
2	2	2	Okay ,	51	2	1	B	50, 51
2	2	2	as a	40	36	1	A	5, 40
2	2	2	cat .	19	10	1	B	10, 19
2	2	2	cat was	22	4	1	A	19, 22
2	2	2	dog ,	30	4	1	A	27, 30
2	2	2	dogs and	27	4	1	B	24, 27
2	2	2	if you	33	8	1	B	26, 33
2	2	2	people that	42	30	1	A	13, 42
2	2	2	that ,	33	10	1	B	24, 33
2	2	2	them and	26	14	1	A	13, 26
2	2	2	was a	42	42	1	A	1, 42
2	2	2	you have	24	18	1	A	7, 24
21	6	1	I	10	49	2	A	1, 5, 8, 10, 13, 14, 17, 19, 22, 23, 24, 27, 29, 30, 33, 35, 38, 40, 41, 47, 49
21	9	1	and	14	45	3	A	3, 5, 13, 14, 15, 17, 23, 24, 26, 27, 29, 30, 32, 33, 36, 37, 38, 40, 42, 44, 47
21	7	1	of	10	44	2	A	1, 5, 10, 13, 14, 16, 20, 21, 22, 24, 26, 27, 29, 30, 32, 33, 35, 36, 40, 42, 44
19	8	1	a	8	52	1	B	0, 1, 5, 7, 8, 9, 10, 14, 17, 23, 26, 27, 30, 33, 36, 40, 42, 47, 51
14	5	1	to	14	40	1	B	10, 11, 14, 22, 24, 26, 29, 30, 33, 36, 40, 42, 44, 49
14	6	1	you	3	43	1	B	0, 3, 7, 13, 14, 17, 19, 24, 26, 33, 36, 38, 40, 42
12	4	1	know	24	30	3	A	13, 17, 19, 24, 26, 27, 33, 35, 36, 38, 40, 42
11	9	1	that	22	38	3	A	5, 11, 13, 22, 23, 24, 26, 33, 35, 40, 42
11	7	1	that's	11	46	1	B	4, 11, 13, 16, 25, 27, 31, 40, 41, 47, 49
10	1	1	think	24	49	4	A	1, 13, 17, 23, 24, 33, 38, 41, 47, 49
10	2	1	was	8	42	2	A	1, 5, 8, 19, 20, 22, 23, 30, 40, 42
9	3	1	it	22	38	1	A	5, 20, 22, 23, 27, 29, 30, 36, 42
9	8	1	the	22	30	1	A	13, 22, 26, 27, 30, 32, 36, 40, 42
8	4	1	have	7	52	1	B	0, 7, 13, 24, 26, 36, 49, 51
7	3	1	don't	22	42	3	A	1, 5, 19, 22, 26, 35, 42
7	3	1	them	24	42	2	A	3, 13, 24, 26, 27, 33, 44
6	2	1	care	22	24	1	A	13, 22, 26, 29, 30, 36
6	5	1	for	27	17	4	B	14, 22, 24, 26, 27, 30
6	6	1	like	9	24	1	B	4, 9, 19, 24, 26, 27
6	2	1	pet	8	37	1	B	0, 1, 7, 8, 33, 36
6	2	1	take	26	24	2	A	13, 17, 26, 29, 30, 36
5	2	1	an	20	23	3	A	1, 15, 19, 20, 23
5	3	1	going	11	27	1	B	10, 11, 27, 33, 36
5	4	1	just	30	36	2	A	5, 13, 30, 33, 40
5	5	1	my	22	27	3	A	1, 13, 15, 22, 27
5	3	1	one	10	42	1	A	1, 10, 11, 13, 42
5	5	1	really	26	29	2	A	13, 17, 26, 33, 41
5	2	1	right	27	48	2	B	4, 26, 27, 37, 51
5	1	1	they	26	30	3	A	3, 13, 17, 26, 32
5	2	1	thing	26	42	2	A	1, 5, 26, 40, 42
5	1	1	when	22	40	1	A	1, 10, 22, 23, 40
4	4	1	And	16	32	1	A	1, 16, 26, 32
4	1	1	I'm	11	18	1	B	10, 11, 24, 27
4	2	1	So	29	47	2	B	0, 10, 29, 46
4	4	1	be	27	21	1	B	22, 27, 36, 42
4	1	1	cat	19	15	2	B	8, 10, 19, 22
4	3	1	dog	30	14	3	A	17, 23, 27, 30
4	3	1	dogs	24	15	1	A	13, 24, 26, 27
4	2	1	get	11	35	1	B	10, 11, 33, 44
4	2	1	had	8	40	1	A	1, 8, 23, 40
4	4	1	is	30	47	1	A	1, 30, 40, 47
4	4	1	it's	33	31	2	B	14, 16, 33, 44
4	4	1	not	33	7	2	B	30, 32, 33, 36
