,response,context,context/0,context/1,context/2,context/3
0,right okay,yeah south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill,due south and then back up again,we are going to go due south straight south and then we're going to turn straight back round and head north past an old mill on the right hand side,mmhmm,okay starting off we are above a caravan park
1,okay and then we're going to turn east,right okay,yeah south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill,due south and then back up again,we are going to go due south straight south and then we're going to turn straight back round and head north past an old mill on the right hand side,mmhmm
2,mmhmm,okay and then we're going to turn east,right okay,yeah south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill,due south and then back up again,we are going to go due south straight south and then we're going to turn straight back round and head north past an old mill on the right hand side
3,not straight east slightly sort of northeast,mmhmm,okay and then we're going to turn east,right okay,yeah south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill,due south and then back up again
4,slightly northeast,not straight east slightly sort of northeast,mmhmm,okay and then we're going to turn east,right okay,yeah south and then straight back up again with an old mill on the right and you're going to pass on the left-hand side of the mill
5,slightly slightly yeah very slightly and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course and then we're going to turn north again,slightly northeast,not straight east slightly sort of northeast,mmhmm,okay and then we're going to turn east,right okay
6,mmhmm,slightly slightly yeah very slightly and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course and then we're going to turn north again,slightly northeast,not straight east slightly sort of northeast,mmhmm,okay and then we're going to turn east
7,and well a distance below that turning point there's a fenced meadow but you should be avoiding that by quite a distance,mmhmm,slightly slightly yeah very slightly and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course and then we're going to turn north again,slightly northeast,not straight east slightly sort of northeast,mmhmm
8,okay,and well a distance below that turning point there's a fenced meadow but you should be avoiding that by quite a distance,mmhmm,slightly slightly yeah very slightly and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course and then we're going to turn north again,slightly northeast,not straight east slightly sort of northeast
9,okay so we've turned and we're going up north again,okay,and well a distance below that turning point there's a fenced meadow but you should be avoiding that by quite a distance,mmhmm,slightly slightly yeah very slightly and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course and then we're going to turn north again,slightly northeast
10,mmhmm,okay so we've turned and we're going up north again,okay,and well a distance below that turning point there's a fenced meadow but you should be avoiding that by quite a distance,mmhmm,slightly slightly yeah very slightly and we're going to continue straight along erm quite a wee a wee distance erm quite a wee distance right we're going to continue along on that course and then we're going to turn north again
11,continue straight up north,mmhmm,okay so we've turned and we're going up north again,okay,and well a distance below that turning point there's a fenced meadow but you should be avoiding that by quite a distance,mmhmm
12,mmhmm,continue straight up north,mmhmm,okay so we've turned and we're going up north again,okay,and well a distance below that turning point there's a fenced meadow but you should be avoiding that by quite a distance
13,and then we're going to turn to the west on a curvature right sort of,mmhmm,continue straight up north,mmhmm,okay so we've turned and we're going up north again,okay
14,okay,and then we're going to turn to the west on a curvature right sort of,mmhmm,continue straight up north,mmhmm,okay so we've turned and we're going up north again
15,"""s"" bend and immediately below that bend there is an abandoned cottage",okay,and then we're going to turn to the west on a curvature right sort of,mmhmm,continue straight up north,mmhmm
16,mmhmm okay,"""s"" bend and immediately below that bend there is an abandoned cottage",okay,and then we're going to turn to the west on a curvature right sort of,mmhmm,continue straight up north
17,"and we're passing above the top of that we're going to continue in that sort of ""s"" shape a big wide ""s""",mmhmm okay,"""s"" bend and immediately below that bend there is an abandoned cottage",okay,and then we're going to turn to the west on a curvature right sort of,mmhmm
18,mmhmm,"and we're passing above the top of that we're going to continue in that sort of ""s"" shape a big wide ""s""",mmhmm okay,"""s"" bend and immediately below that bend there is an abandoned cottage",okay,and then we're going to turn to the west on a curvature right sort of
19,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow but you're passing on the top of that okay right okay,mmhmm,"and we're passing above the top of that we're going to continue in that sort of ""s"" shape a big wide ""s""",mmhmm okay,"""s"" bend and immediately below that bend there is an abandoned cottage",okay
20,okay,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow but you're passing on the top of that okay right okay,mmhmm,"and we're passing above the top of that we're going to continue in that sort of ""s"" shape a big wide ""s""",mmhmm okay,"""s"" bend and immediately below that bend there is an abandoned cottage"
21,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah",okay,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow but you're passing on the top of that okay right okay,mmhmm,"and we're passing above the top of that we're going to continue in that sort of ""s"" shape a big wide ""s""",mmhmm okay
22,right,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah",okay,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow but you're passing on the top of that okay right okay,mmhmm,"and we're passing above the top of that we're going to continue in that sort of ""s"" shape a big wide ""s"""
23,"right and then at the top of the ""s"" we're turning north",right,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah",okay,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow but you're passing on the top of that okay right okay,mmhmm
24,mmhmm,"right and then at the top of the ""s"" we're turning north",right,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah",okay,and on the sort of mmhmm top erm left of that again below it there's a fenced meadow but you're passing on the top of that okay right okay
25,okay we're going straight due north at the top there there's a west lake,mmhmm,"right and then at the top of the ""s"" we're turning north",right,"we've gone from the abandoned cottage right and we're on the sort of ""s"" shape yeah",okay
