,Speaker,Utterance,Unified
5,B,"Well, do we?","B|Well, do we?"
6,M,Do you?,M|Do you?
7,B,"Um,","B|Um,"
8,M,"You know, we all have our hobbies.","M|You know, we all have our hobbies."
9,B,"My tax bracket is, is pretty high up there. I pay the, I generally pay the maximum tax bracket.","B|My tax bracket is, is pretty high up there. I pay the, I generally pay the maximum tax bracket."
10,M,How much money are you making?,M|How much money are you making?
11,B,"And, uh, I think that we're paying too much because I don't have any children.","B|And, uh, I think that we're paying too much because I don't have any children."
12,M,I think you're paying the wrong amount of taxes.,M|I think you're paying the wrong amount of taxes.
13,B,And I pay a lot of property taxes.,B|And I pay a lot of property taxes.
14,M,You pay a ton of property tax.,M|You pay a ton of property tax.
15,B,"I don't have any, um, I don't, you know, I don't use an awful lot of city services. It, it, you know it's like I have to work I have to work all the time just to make enough money to pay the taxes.","B|I don't have any, um, I don't, you know, I don't use an awful lot of city services. It, it, you know it's like I have to work I have to work all the time just to make enough money to pay the taxes."
16,M,You can.,M|You can.
17,B,"And, um, there's so many people who want a, a of the federal money or the state money or whatever it is","B|And, um, there's so many people who want a, a of the federal money or the state money or whatever it is"
18,M,I have a lot. I don'' have any money.,M|I have a lot. I don'' have any money.
19,B,"and I just, sometimes, many times I end up feeling like I'm paying too much in taxes.","B|and I just, sometimes, many times I end up feeling like I'm paying too much in taxes."
20,M,I'm a,M|I'm a
21,B,How about you? Do you pay too much?,B|How about you? Do you pay too much?
22,M,"Well, I'm pretty sure I'm not the only one.","M|Well, I'm pretty sure I'm not the only one."
23,B,"Well, when you  when you go out into the, uh, when you go out into the working world it, it changes quickly.","B|Well, when you  when you go out into the, uh, when you go out into the working world it, it changes quickly."
24,M,"No, you, mhm, well.","M|No, you, mhm, well."
25,B,"Um, you look at your paycheck and you go, oh, my gosh where did it all go Um, what kind of, what kind of, uh, well have you pay a lot of in have you been out working and then gone back to school or are you, did you go directly from high school into, into college?","B|Um, you look at your paycheck and you go, oh, my gosh where did it all go Um, what kind of, what kind of, uh, well have you pay a lot of in have you been out working and then gone back to school or are you, did you go directly from high school into, into college?"
26,M,you?,M|you?
27,B,To worry about it.,B|To worry about it.
28,M,What do you need?,M|What do you need?
29,B,"Have you, have you been active in, in politics trying to, concerning this? Have you like worked on political action committees or something like that?","B|Have you, have you been active in, in politics trying to, concerning this? Have you like worked on political action committees or something like that?"
30,M,You can I just tell me?,M|You can I just tell me?
31,B,"I, uh, I haven't done any of that type of work myself.","B|I, uh, I haven't done any of that type of work myself."
32,M,"But you have, right?","M|But you have, right?"
33,B,"Um, but every once in a while when I hear up here at, at, uh, in D C area, um, one of the radio stations has been talking about the, the Congress, um, Congress has added too towards the Members Bank there, you know, there's a bank that they all bank with, and I guess it went defunct recently.","B|Um, but every once in a while when I hear up here at, at, uh, in D C area, um, one of the radio stations has been talking about the, the Congress, um, Congress has added too towards the Members Bank there, you know, there's a bank that they all bank with, and I guess it went defunct recently."
34,M,You've gone.,M|You've gone.
