,Speaker,Utterance,Unified
5,B,It is. Have you been living there very long?,B|It is. Have you been living there very long?
6,M,"That's, very, very true","M|That's, very, very true"
7,B,"So you've been there longer. We built this one about, uh, it's been let's see it's been six years six and a half years ago,","B|So you've been there longer. We built this one about, uh, it's been let's see it's been six years six and a half years ago,"
8,M,I was in the room for six months,M|I was in the room for six months
9,B,"and we subcontracted it out ourselves. We bought the lot and, uh, had an architect draw the plans based on our specifications","B|and we subcontracted it out ourselves. We bought the lot and, uh, had an architect draw the plans based on our specifications"
10,M,So... we subbed on a lot of people who didn't even get a chance to make a decision.,M|So... we subbed on a lot of people who didn't even get a chance to make a decision.
11,B,"and then we subbed it out, so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in.","B|and then we subbed it out, so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in."
12,M,I'm sure they'll love it,M|I'm sure they'll love it
13,B,"My husband got his big garage. He we have a three car garage, that he has a big work area in","B|My husband got his big garage. He we have a three car garage, that he has a big work area in"
14,M,How is it?,M|How is it?
15,B,"and he likes to rebuild cars and redo engines and, so he has all the work space he needs.","B|and he likes to rebuild cars and redo engines and, so he has all the work space he needs."
16,M,I have a new car. I don't have a car.,M|I have a new car. I don't have a car.
17,B,"He,","B|He,"
18,M,Hey. I don't know who you are.,M|Hey. I don't know who you are.
19,B,"It is, and that's why we decided to build. We looked at things that were already, uh, built","B|It is, and that's why we decided to build. We looked at things that were already, uh, built"
20,M,Why? It's not like the car is the only thing that's not being built.,M|Why? It's not like the car is the only thing that's not being built.
21,B,"and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have.","B|and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have."
22,M,"Yeah, but the houses were large, so the car was the size of the garage.","M|Yeah, but the houses were large, so the car was the size of the garage."
23,B,Uh-huh.,B|Uh-huh.
24,M,And the garaged houses are big and full of cars,M|And the garaged houses are big and full of cars
25,B,So we put a three car garage in.,B|So we put a three car garage in.
26,M,It's in the garage.,M|It's in the garage.
27,B,"But, even if they had three car garages, they didn't have a work space. All of it was taken up with just car space.","B|But, even if they had three car garages, they didn't have a work space. All of it was taken up with just car space."
28,M,I think they did have a garage.,M|I think they did have a garage.
29,B,And so he has a big landing area that's between where the cars are in the garage and where the house starts that he can work on.,B|And so he has a big landing area that's between where the cars are in the garage and where the house starts that he can work on.
30,M,The garage is for work.,M|The garage is for work.
31,B,"Well, sounds like our husbands have similar interests.","B|Well, sounds like our husbands have similar interests."
32,M,You know,M|You know
33,B,"Oh, I see.","B|Oh, I see."
34,M,This is the game where you,M|This is the game where you
35,B,"Uh-huh. Well, that's nice that it's not in your house.","B|Uh-huh. Well, that's nice that it's not in your house."
36,M,He does not.,M|He does not.
37,B,Uh-huh.,B|Uh-huh.
38,M,You're not a bad guy.,M|You're not a bad guy.
39,B,Uh-huh.,B|Uh-huh.
40,M,"Why, because you know, they have all of their stuff of their selves.","M|Why, because you know, they have all of their stuff of their selves."
41,B,Right.,B|Right.
42,M,Uhh... why not?,M|Uhh... why not?
43,B,"Well, we still have a, a son and daughter in college that come home.","B|Well, we still have a, a son and daughter in college that come home."
44,M,He sighs.,M|He sighs.
45,B,And the other room we use as a guest bedroom because my husband's family come. His parents come and also the kids have friends who come and stay,B|And the other room we use as a guest bedroom because my husband's family come. His parents come and also the kids have friends who come and stay
46,M,... That's a good question.,M|... That's a good question.
47,B,and so it seems like it's always used as a bedroom.,B|and so it seems like it's always used as a bedroom.
48,M,We do.,M|We do.
49,B,"Right. Oh, I understand","B|Right. Oh, I understand"
50,M,I'm just trying to make the house fit in.,M|I'm just trying to make the house fit in.
51,B,"Well, we, That's true and you don't want them to not be able to come because there's no room.","B|Well, we, That's true and you don't want them to not be able to come because there's no room."
52,M,They're all gone,M|They're all gone
53,B,"Well, I I haven't reached that point yet. I've heard people say that. But, uh, my middle son is engaged, my oldest son has been going with the same girl for a while.","B|Well, I I haven't reached that point yet. I've heard people say that. But, uh, my middle son is engaged, my oldest son has been going with the same girl for a while."
54,M,"Heh, that's good.","M|Heh, that's good."
55,B,"He's out of college and has a good job,","B|He's out of college and has a good job,"
56,M,Why do you have a middle son?,M|Why do you have a middle son?
57,B,"so he could afford to get married but, is not engaged yet,","B|so he could afford to get married but, is not engaged yet,"
58,M,He doesn't know he's not married yet.,M|He doesn't know he's not married yet.
59,B,"and my daughter's been going with the same boy for a while, but she's still in college and we're just as happy for her to finish her education first.","B|and my daughter's been going with the same boy for a while, but she's still in college and we're just as happy for her to finish her education first."
60,M,"uhh, no.","M|uhh, no."
61,B,That's what she plans to do.,B|That's what she plans to do.
62,M,So he can go to college.,M|So he can go to college.
63,B,"So, I hope so.","B|So, I hope so."
64,M,You can have my daughter if you want.,M|You can have my daughter if you want.
65,B,"Oh, ho-ho.","B|Oh, ho-ho."
66,M,It's not a problem.,M|It's not a problem.
67,B,A whole new world. Uh-huh.,B|A whole new world. Uh-huh.
68,M,I am. I am.,M|I am. I am.
69,B,I can understand.,B|I can understand.
70,M,The most interesting thing about me is that I have never been on acid.,M|The most interesting thing about me is that I have never been on acid.
71,B,Uh-huh.,B|Uh-huh.
72,M,"Oh, you've been there. I've been to the library.","M|Oh, you've been there. I've been to the library."
73,B,So you're all back to the safety catches and the whole nine yards or either watching them every minute.,B|So you're all back to the safety catches and the whole nine yards or either watching them every minute.
74,M,I'm gonna go with a yes.,M|I'm gonna go with a yes.
75,B,Yeah.,B|Yeah.
76,M,Are you watching them?,M|Are you watching them?
77,B,"Well, that's the same thing that I did. I hope I'll be able to do the same with grandchildren.","B|Well, that's the same thing that I did. I hope I'll be able to do the same with grandchildren."
78,M,"No, I haven't put it up yet. I am not sure if I have.","M|No, I haven't put it up yet. I am not sure if I have."
79,B,"Um, uh-huh","B|Um, uh-huh"
80,M,,M|
81,B,"Well, we have,","B|Well, we have,"
