,Speaker,Utterance,Unified
5,B,Have I?,B|Have I?
6,M,I do.,M|I do.
7,B,"Uh, no, not actually","B|Uh, no, not actually"
8,M,You mean to tell me that you have?,M|You mean to tell me that you have?
9,B,Okay.,B|Okay.
10,M,You have to have some kind of special relationship with me to be an adult.,M|You have to have some kind of special relationship with me to be an adult.
11,B,Right.,B|Right.
12,M,"So, and you're you're right.","M|So, and you're you're right."
13,B,Okay.,B|Okay.
14,M,"How, are.","M|How, are."
15,B,"Right. I, I think that job wise benefits are just as important as salary is.","B|Right. I, I think that job wise benefits are just as important as salary is."
16,M,But...,M|But...
17,B,"Exactly,","B|Exactly,"
18,M,I don't think you understand how the job market works.,M|I don't think you understand how the job market works.
19,B,exactly.,B|exactly.
20,M,"It's not that much, just a lot of money.","M|It's not that much, just a lot of money."
21,B,"Especially when you have a family, with children, and you are always going to the doctor for,","B|Especially when you have a family, with children, and you are always going to the doctor for,"
22,M,That's because it's a good way to get your blood pressure up.,M|That's because it's a good way to get your blood pressure up.
23,B,"Exactly,","B|Exactly,"
24,M,You're a lot more likely to get a new doctor if you have an old one.,M|You're a lot more likely to get a new doctor if you have an old one.
25,B,they always do.,B|they always do.
26,M,And it's always good to be home,M|And it's always good to be home
27,B,"Yeah, I think any, any, even if your insurance policy is not the greatest.","B|Yeah, I think any, any, even if your insurance policy is not the greatest."
28,M,"A small business company, if you will.","M|A small business company, if you will."
29,B,Exactly. You you would not be pulling it out of your account all of the time just by yourself.,B|Exactly. You you would not be pulling it out of your account all of the time just by yourself.
30,M,I would not.,M|I would not.
31,B,"Also, for working women uh, I think a lot of the companies should start providing for day-care in the, in the, in the building.","B|Also, for working women uh, I think a lot of the companies should start providing for day-care in the, in the, in the building."
32,M,"I wouldnt have to work, just to pay my own rent and food.","M|I wouldnt have to work, just to pay my own rent and food."
33,B,Right.,B|Right.
34,M,You're,M|You're
35,B,"Yeah. Like in may case, I have three children *spelling: 'may' should be 'my' from ages nine to two. And, it's just unfeasible for me to try to get a job because all the money that I would, be making would be going to day care.","B|Yeah. Like in may case, I have three children *spelling: 'may' should be 'my' from ages nine to two. And, it's just unfeasible for me to try to get a job because all the money that I would, be making would be going to day care."
36,M,I ',M|I '
37,B,"And it would be just,","B|And it would be just,"
38,M,The world would be a better place if people could be a bit self,M|The world would be a better place if people could be a bit self
39,B,"basically be me working to pay for them to be at a day care,  center.","B|basically be me working to pay for them to be at a day care,  center."
40,M,I'd say the most likely scenario is that they,M|I'd say the most likely scenario is that they
41,B,Exactly.,B|Exactly.
42,M,"So if you're a mom, they'd be deprived?","M|So if you're a mom, they'd be deprived?"
