,Speaker,Utterance,Unified
5,B,"I kind of, I think so, too. I think that's a bit dramatic, but, but other than that I think it's, it's a good idea to get them involved in city and community activities and, you know, like the, uh, shelters and, uh, that kind of, thing, helping out, uh, volunteering, I guess, if they can.","B|I kind of, I think so, too. I think that's a bit dramatic, but, but other than that I think it's, it's a good idea to get them involved in city and community activities and, you know, like the, uh, shelters and, uh, that kind of, thing, helping out, uh, volunteering, I guess, if they can."
6,M,"I, etc.","M|I, etc."
7,B,Yeah.,B|Yeah.
8,M,I'm not saying it's okay.I just think it is a little too,M|I'm not saying it's okay.I just think it is a little too
9,B,"Your right, I do, too, I think they start out young, like in, uh, Girl Scouts and Boy Scouts a video doing","B|Your right, I do, too, I think they start out young, like in, uh, Girl Scouts and Boy Scouts a video doing"
10,M,"I do,","M|I do,"
11,B,"Right, that's, see that's what we did in Girl Scouts and that got you involved real good and it, I think it starts kids out on the right track and then it lets them decide if that's what they enjoy doing.","B|Right, that's, see that's what we did in Girl Scouts and that got you involved real good and it, I think it starts kids out on the right track and then it lets them decide if that's what they enjoy doing."
12,M,i.,M|i.
13,B,"Something,","B|Something,"
14,M,,M|
15,B,Yeah.,B|Yeah.
16,M,They are?,M|They are?
17,B,"I do, too. I think, I think a lot of people, a lot more people volunteer than, than, uh, than we, than get credit for it as, you know, like in hospitals and, uh, and the shelters and stuff like that. And even if it is a couple times a year like at the holidays, I mean at least they're getting out and doing it and you know, helping, helping out. I think that's good and,","B|I do, too. I think, I think a lot of people, a lot more people volunteer than, than, uh, than we, than get credit for it as, you know, like in hospitals and, uh, and the shelters and stuff like that. And even if it is a couple times a year like at the holidays, I mean at least they're getting out and doing it and you know, helping, helping out. I think that's good and,"
18,M,Well.,M|Well.
19,B,"Yeah,  yeah.","B|Yeah,  yeah."
20,M,We,M|We
21,B,Yeah There you go.,B|Yeah There you go.
22,M,"you,","M|you,"
23,B,Right.,B|Right.
24,M,I'm just kidding.,M|I'm just kidding.
25,B,"Yeah, it sounds pretty good That sounds good. I've noticed a lot of, uh, different organizations in our community, uh, pick up, like on the highway and stuff, and I think that's pretty neat. They, uh, go along and have so many miles I guess of highway to take over","B|Yeah, it sounds pretty good That sounds good. I've noticed a lot of, uh, different organizations in our community, uh, pick up, like on the highway and stuff, and I think that's pretty neat. They, uh, go along and have so many miles I guess of highway to take over"
26,M,"I like that, uh, thing","M|I like that, uh, thing"
27,B,and they clean it up.,B|and they clean it up.
28,M,It's called a garage,M|It's called a garage
29,B,"And keep it clean. I think that's I pretty good idea. And I think, you know, again I've seen a lot of young kids doing that and I think it gets them prepared to, to learn how to volunteer as they get older. I know I did, you know, in Girl Scouts and everything and after that in high school I would volunteer at a nursing home and stuff like that","B|And keep it clean. I think that's I pretty good idea. And I think, you know, again I've seen a lot of young kids doing that and I think it gets them prepared to, to learn how to volunteer as they get older. I know I did, you know, in Girl Scouts and everything and after that in high school I would volunteer at a nursing home and stuff like that"
30,M,,M|
31,B,"So, Oh.","B|So, Oh."
32,M,"Hahaah. I'm... it's ice, and ice.","M|Hahaah. I'm... it's ice, and ice."
33,B,"Yeah, I'm in Texas. Where are you at?","B|Yeah, I'm in Texas. Where are you at?"
34,M,Oh??,M|Oh??
35,B,New York.,B|New York.
36,M,Where are you from?,M|Where are you from?
37,B,"Oh, gosh.","B|Oh, gosh."
38,M,"Yeah, I'm from the US","M|Yeah, I'm from the US"
39,B,Yeah.,B|Yeah.
40,M,Is this upstate New york?,M|Is this upstate New york?
41,B,Yeah,B|Yeah
42,M,"Yeah, yeah.","M|Yeah, yeah."
43,B,"Uh-huh.  Oh, no.","B|Uh-huh.  Oh, no."
44,M,Yeah. And there's a bunch of trees in Rochester.,M|Yeah. And there's a bunch of trees in Rochester.
45,B,Oh.,B|Oh.
