,Speaker,Utterance,Unified
5,B,Tibby and Liberty.,B|Tibby and Liberty.
6,M,Are they?,M|Are they?
7,B,Tibby is the dog and Liberty is the cat.,B|Tibby is the dog and Liberty is the cat.
8,M,Tiberius is the puppy and the dog.,M|Tiberius is the puppy and the dog.
9,B,Oh.,B|Oh.
10,M,They have a dog and a cat.,M|They have a dog and a cat.
11,B,Oh Ours are pretty calm.,B|Oh Ours are pretty calm.
12,M,Ours are sooo cute.,M|Ours are sooo cute.
13,B,Uh-huh.,B|Uh-huh.
14,M,"I don't know, I'm just a dog.","M|I don't know, I'm just a dog."
15,B,Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.,B|Yeah. Our cat we got from the pound the day the night she was going to be put to sleep. So that's why we call her Liberty.
16,M,You're a lucky cat.,M|You're a lucky cat.
17,B,Do you want to hear about my other animals I've had?,B|Do you want to hear about my other animals I've had?
18,M,I have a pet.,M|I have a pet.
19,B,I've had a skunk,B|I've had a skunk
20,M,I love skunks.,M|I love skunks.
21,B,"I've had a Burmese python, I've had rats, I've had mice","B|I've had a Burmese python, I've had rats, I've had mice"
22,M,"You have had a snake, I've seen a snake.","M|You have had a snake, I've seen a snake."
23,B,"uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover.","B|uh, let's see, I've had gerbils, I have, I had a son, he's now gone from the home, that was an animal lover."
24,M,What's your favourite animal?,M|What's your favourite animal?
25,B,"So at one point I had a snake, skunk, dog and cat running loose in the house.","B|So at one point I had a snake, skunk, dog and cat running loose in the house."
26,M,You're not getting out.,M|You're not getting out.
27,B,Yes,B|Yes
28,M,Do you have a cat?,M|Do you have a cat?
29,B,it was litter trained,B|it was litter trained
30,M,Is it a snake?,M|Is it a snake?
31,B,and we had it perfumed,B|and we had it perfumed
32,M,We had it lit up for a while.,M|We had it lit up for a while.
33,B,"and, uh, it was very aggressive.","B|and, uh, it was very aggressive."
34,M,"Uh, that's not the only thing that's aggressive","M|Uh, that's not the only thing that's aggressive"
35,B,"But all the, all three of them, dog, cat and skunk, used to chase each other all through the house.","B|But all the, all three of them, dog, cat and skunk, used to chase each other all through the house."
36,M,You're right.,M|You're right.
37,B,"And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa.","B|And the only thing we have with the skunk, he was very, very protective of his territory being the sofa and the blanket on the sofa."
38,M,It was a dog and a cat.,M|It was a dog and a cat.
39,B,Nobody came near it when he was there.,B|Nobody came near it when he was there.
40,M,"He got away with it, he had a good run.","M|He got away with it, he had a good run."
41,B,Oh.,B|Oh.
42,M,"You know, the other day I was in the back of a house, and there was a dog.","M|You know, the other day I was in the back of a house, and there was a dog."
43,B,"Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed","B|Yeah, they um, ours would still back up to the dog or cat when he got mad and try to perfume them, but the glands had been removed"
44,M,Did they have to do this?,M|Did they have to do this?
45,B,"so,","B|so,"
46,M,He was very angry,M|He was very angry
47,B,Right.,B|Right.
48,M,"So we have a dog and a cat, right?","M|So we have a dog and a cat, right?"
49,B,"Yeah, I always said if I Well, I always said if I died I'd come back as a dog","B|Yeah, I always said if I Well, I always said if I died I'd come back as a dog"
50,M,I'm sorry I'm not like to talk,M|I'm sorry I'm not like to talk
51,B,That'd be the best way to be.,B|That'd be the best way to be.
52,M,I can't wait,M|I can't wait
