,Speaker,Utterance,Unified
5,M,"uh, and","M|uh, and"
6,B,"Uh, no, no not, no, this was, well, I am actually from Mississippi, and, so that's,","B|Uh, no, no not, no, this was, well, I am actually from Mississippi, and, so that's,"
7,M,...,M|...
8,B,"it, it was around there generally.","B|it, it was around there generally."
9,M,I don't think I've ever seen it before.,M|I don't think I've ever seen it before.
10,B,"Uh, that's where the family grew.","B|Uh, that's where the family grew."
11,M,"uh, what?","M|uh, what?"
12,B,"Yeah, and it was not only in Mississippi, in some other places, as well,","B|Yeah, and it was not only in Mississippi, in some other places, as well,"
13,M,"Oh, that's cool. It was in Mississippi.","M|Oh, that's cool. It was in Mississippi."
14,B,"so. It was, uh, it was a big deal, but, uh, they tried to, to centralize it in one spot. So, in the past couple of years they had it at a state park every year.","B|so. It was, uh, it was a big deal, but, uh, they tried to, to centralize it in one spot. So, in the past couple of years they had it at a state park every year."
15,M,I don't know. I'm not from the state of Mississippi.,M|I don't know. I'm not from the state of Mississippi.
16,B,"We rent a pavilion and, and do that and that's usually works out to be pretty good. And, uh, they will rent a pavilion on a weekend, and uh","B|We rent a pavilion and, and do that and that's usually works out to be pretty good. And, uh, they will rent a pavilion on a weekend, and uh"
17,M,Yes,M|Yes
18,B,"I have not gone back lately. In fact, uh, this past Sunday was the, was the reunion, but I did not get to go. Uh, I have,","B|I have not gone back lately. In fact, uh, this past Sunday was the, was the reunion, but I did not get to go. Uh, I have,"
19,M,"Oh, uh, uh.","M|Oh, uh, uh."
20,B,Not getting to go.,B|Not getting to go.
21,M,What's the difference between the two?,M|What's the difference between the two?
22,B,"Uh, just, uh, the distance involved and,","B|Uh, just, uh, the distance involved and,"
23,M,He smiles back and gives you a thumbs up.,M|He smiles back and gives you a thumbs up.
24,B,"uh, just not, I have a younger daughter now and, uh, I, it's kind of hard to get her, get her there, and everything.","B|uh, just not, I have a younger daughter now and, uh, I, it's kind of hard to get her, get her there, and everything."
25,M,Uhhh... uh... how do you do that?,M|Uhhh... uh... how do you do that?
26,B,"But I am going to, to, uh, hopefully next year get to go back, cause, uh, a lot of the family has not, uh, on her side, my mother's side, has not seen, you know, my daughter, so","B|But I am going to, to, uh, hopefully next year get to go back, cause, uh, a lot of the family has not, uh, on her side, my mother's side, has not seen, you know, my daughter, so"
27,M,"uuhh, uh","M|uuhh, uh"
28,B,"I have one brother, so.","B|I have one brother, so."
29,M,I know. I know.,M|I know. I know.
30,B,Yes.,B|Yes.
31,M,Did I say something wrong?,M|Did I say something wrong?
32,B,"Right, yeah.","B|Right, yeah."
33,M,"I'm sorry, I'm a little confused.","M|I'm sorry, I'm a little confused."
