,Speaker,Utterance,Unified
5,B,Okay. Go ahead.,B|Okay. Go ahead.
6,M,I know.,M|I know.
7,B,Yeah,B|Yeah
8,M,"I mean, I've seen people say that.","M|I mean, I've seen people say that."
9,B,That's true.,B|That's true.
10,M,They are the best.,M|They are the best.
11,B,"Um, me either. I, I went to college and then started working and then got married and,","B|Um, me either. I, I went to college and then started working and then got married and,"
12,M,What about you?,M|What about you?
13,B,"No, I haven't, I know that, uh, my sister, I have a twin sister and when they graduated she went to, uh, teach in a small town down in south Texas and I know, that like if you have college notes, if you teach in a lower income bracket where they don't pay as much and they cancel part of your, you know, your college note or whatever.","B|No, I haven't, I know that, uh, my sister, I have a twin sister and when they graduated she went to, uh, teach in a small town down in south Texas and I know, that like if you have college notes, if you teach in a lower income bracket where they don't pay as much and they cancel part of your, you know, your college note or whatever."
14,M,...,M|...
15,B,"Uh-huh. If it's like, you know, really a, you know, a lower paying job, you know, where in a small town you don't obviously you don't need as much as far as to, you know, to live.","B|Uh-huh. If it's like, you know, really a, you know, a lower paying job, you know, where in a small town you don't obviously you don't need as much as far as to, you know, to live."
16,M,,M|
17,B,"Yeah, she only taught there one year but I,","B|Yeah, she only taught there one year but I,"
18,M,"How, I'm","M|How, I'm"
19,B,Uh-huh.,B|Uh-huh.
20,M,"Yeah, but she didn't get the credit","M|Yeah, but she didn't get the credit"
21,B,"And, um, I think it would be, I know that also one of my cousins who, uh, he is in like the therapy type thing and he was, um, some group paid part of his college income but then he was required to go back and work for a certain number of years in this town at, uh, uh, I mean, it's a nursing home or something like that.","B|And, um, I think it would be, I know that also one of my cousins who, uh, he is in like the therapy type thing and he was, um, some group paid part of his college income but then he was required to go back and work for a certain number of years in this town at, uh, uh, I mean, it's a nursing home or something like that."
22,M,I think it's the one where she teaches,M|I think it's the one where she teaches
23,B,"So, you know, if, I think that's a good way for people to, you know, maybe get people to come back to these small towns to work by helping people that normally might not be able to go to college and get the type of degree they want.","B|So, you know, if, I think that's a good way for people to, you know, maybe get people to come back to these small towns to work by helping people that normally might not be able to go to college and get the type of degree they want."
24,M,You know,M|You know
25,B,"Yeah. As far as yeah, getting doctors and all that stuff, yeah.","B|Yeah. As far as yeah, getting doctors and all that stuff, yeah."
26,M,,M|
27,B,Yeah.,B|Yeah.
28,M,"Oh,","M|Oh,"
29,B,Uh-huh.,B|Uh-huh.
30,M,Oh. I think I'm gonna go with no.,M|Oh. I think I'm gonna go with no.
31,B,Yeah.,B|Yeah.
32,M,You can see the city.and the city is in the middle of the ocean.You know what I mean.It's not like we are going to get any new cities.But we have to go to the city.,M|You can see the city.and the city is in the middle of the ocean.You know what I mean.It's not like we are going to get any new cities.But we have to go to the city.
33,B,"I really don't know that much about it, you know, I, I, I think of the Peace Corps, you know, more like the sixties and that kind of stuff when,","B|I really don't know that much about it, you know, I, I, I think of the Peace Corps, you know, more like the sixties and that kind of stuff when,"
34,M,"I, uh, I don't.","M|I, uh, I don't."
35,B,Yeah. And don't they go into other countries and stuff?,B|Yeah. And don't they go into other countries and stuff?
36,M,"Yeah, they're called the Peace corps.","M|Yeah, they're called the Peace corps."
37,B,"Uh-huh. Things that make the, yeah. Make them more self-supporting?","B|Uh-huh. Things that make the, yeah. Make them more self-supporting?"
38,M,How do they do that?,M|How do they do that?
39,B,Yeah.,B|Yeah.
40,M,"Yeah, you?","M|Yeah, you?"
41,B,Right. Yeah.,B|Right. Yeah.
42,M,"But, we do have a program that does that.","M|But, we do have a program that does that."
43,B,But it definitely would give a lot of the kids now that have everything given to them that they want to see what it's like if you don't have all the money and can't have what you want when you want it.,B|But it definitely would give a lot of the kids now that have everything given to them that they want to see what it's like if you don't have all the money and can't have what you want when you want it.
44,M,I don't think so,M|I don't think so
45,B,Uh-huh.,B|Uh-huh.
46,M,You're kids.,M|You're kids.
47,B,Yeah.,B|Yeah.
48,M,Would it,M|Would it
49,B,"I don't, I don't know that you could require everyone to, do that for, yeah, to do it for a whole year, or two years or something like that,","B|I don't, I don't know that you could require everyone to, do that for, yeah, to do it for a whole year, or two years or something like that,"
50,M,Maybe you can make a list of all the things that have been done in the past?,M|Maybe you can make a list of all the things that have been done in the past?
51,B,"I don't know that that would work if, somebody's, was, didn't really want to be there and didn't have,","B|I don't know that that would work if, somebody's, was, didn't really want to be there and didn't have,"
52,M,Can we just have a mandatory season?,M|Can we just have a mandatory season?
53,B,"Yeah, I mean, there would be loopholes just like there is in anything else","B|Yeah, I mean, there would be loopholes just like there is in anything else"
54,M,I'd rather not have my way out of it.,M|I'd rather not have my way out of it.
55,B,Yeah.,B|Yeah.
56,M,,M|
57,B,Yeah.,B|Yeah.
58,M,L,M|L
59,B,Uh-huh.,B|Uh-huh.
60,M,"Oh, there's a lot of people who are dying, we're just losing some.","M|Oh, there's a lot of people who are dying, we're just losing some."
61,B,Uh-huh.,B|Uh-huh.
62,M,People are still extinct point and figure,M|People are still extinct point and figure
63,B,"Right, yeah.","B|Right, yeah."
64,M,You're right.,M|You're right.
65,B,"Yeah, uh-huh.","B|Yeah, uh-huh."
66,M,"It's a question, but it's not really a question.","M|It's a question, but it's not really a question."
67,B,Yeah.,B|Yeah.
68,M,I think the fact that they were so sad when they were kicked out of the country was a good example.,M|I think the fact that they were so sad when they were kicked out of the country was a good example.
69,B,Yeah.,B|Yeah.
70,M,They are all like friends.,M|They are all like friends.
71,B,Yeah.,B|Yeah.
72,M,I mean... You do have the peace corps though.,M|I mean... You do have the peace corps though.
73,B,"Well, Down here with the Peace Corps we're talking about all these people that aren't even in our own country when there's enough people here that I think probably need help and, could be helped.","B|Well, Down here with the Peace Corps we're talking about all these people that aren't even in our own country when there's enough people here that I think probably need help and, could be helped."
74,M,"I know, I'm not.","M|I know, I'm not."
75,B,Yeah.,B|Yeah.
76,M,No. It's not really a problem.,M|No. It's not really a problem.
77,B,"And maybe rather than just, require somebody to join like the Peace Corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required to do some kind of community service type work, and help people in that area or people in the United States.","B|And maybe rather than just, require somebody to join like the Peace Corps for a year maybe like, um, during college, you know, maybe have some kind of course where they'd be required to do some kind of community service type work, and help people in that area or people in the United States."
78,M,North America,M|North America
79,B,"There probably are, you know, for but I'm sure, that's probably like people that do that are, are the people that are going to go into social work and stuff but I think that it wouldn't really be half bad for everybody not to do something, you know, and realize it's everybody's responsibility to, um, help these people, you know, and I'm not saying just give them money but, I mean, because they have to be taught to be,","B|There probably are, you know, for but I'm sure, that's probably like people that do that are, are the people that are going to go into social work and stuff but I think that it wouldn't really be half bad for everybody not to do something, you know, and realize it's everybody's responsibility to, um, help these people, you know, and I'm not saying just give them money but, I mean, because they have to be taught to be,"
80,M,I,M|I
81,B,"Yeah I mean, I know that's what my father-in-law was talking about, you know, when you give these people money or, what was it they were bringing up points asking as far as whether they need to give, um, more money to these people, I mean, and that's not really the answer, I mean , because if they're alcoholics they'll just go out and spend, it on, you know, booze or something like that,","B|Yeah I mean, I know that's what my father-in-law was talking about, you know, when you give these people money or, what was it they were bringing up points asking as far as whether they need to give, um, more money to these people, I mean, and that's not really the answer, I mean , because if they're alcoholics they'll just go out and spend, it on, you know, booze or something like that,"
82,M,...,M|...
83,B,but.,B|but.
84,M,money,M|money
85,B,Yeah.,B|Yeah.
86,M,"I'm, it's, and","M|I'm, it's, and"
87,B,"Or, you know, to find a job where they can learn how to support themselves,","B|Or, you know, to find a job where they can learn how to support themselves,"
88,M,"I know what you mean. But if they're going to try to do that, they should do it.","M|I know what you mean. But if they're going to try to do that, they should do it."
89,B,"I mean, I guess we're getting kind of off the subject, here, but.","B|I mean, I guess we're getting kind of off the subject, here, but."
90,M,You're right.,M|You're right.
91,B,"Yeah, I mean it's, True. Yeah.","B|Yeah, I mean it's, True. Yeah."
92,M,True. I'm not saying that the military is the only branch of the US government.,M|True. I'm not saying that the military is the only branch of the US government.
93,B,Yeah.,B|Yeah.
94,M,That's true.,M|That's true.
95,B,"Flower Mound, yeah. So, we're a little you know, farther removed from like Dallas and some of the areas where they probably have more of the homeless and that type of thing.","B|Flower Mound, yeah. So, we're a little you know, farther removed from like Dallas and some of the areas where they probably have more of the homeless and that type of thing."
96,M,Ayehuh?,M|Ayehuh?
