,Speaker,Utterance,Unified
5,M,"Yea, I'm a nurse.","M|Yea, I'm a nurse."
6,B,Right.,B|Right.
7,M,I think he's talking about the other kids,M|I think he's talking about the other kids
8,B,"Oh, it's very difficult I know.","B|Oh, it's very difficult I know."
9,M,"Yeah, it's hard for me too.","M|Yeah, it's hard for me too."
10,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
11,M,Uhm... What?,M|Uhm... What?
12,B,Right.,B|Right.
13,M,It's unrealistic.,M|It's unrealistic.
14,B,Yeah.,B|Yeah.
15,M,Ohhh uh,M|Ohhh uh
16,B,"Yeah, how old is she?","B|Yeah, how old is she?"
17,M,"Yeah, she's cool.","M|Yeah, she's cool."
18,B,"Uh, my, see my father is ninety-two and still, uh, he and mother still live at the house and drive and and do the whole thing,","B|Uh, my, see my father is ninety-two and still, uh, he and mother still live at the house and drive and and do the whole thing,"
19,M,"Oh. Well, how old are you?","M|Oh. Well, how old are you?"
20,B,"but you know if something would, uh, whenever something happens to one of them then, I don't know what I'll do up there.","B|but you know if something would, uh, whenever something happens to one of them then, I don't know what I'll do up there."
21,M,I'm sorry.,M|I'm sorry.
22,B,"I, I just know that too many horror stories about nursing homes and so,","B|I, I just know that too many horror stories about nursing homes and so,"
23,M,"I, uh, I'm not a nurse, I just do, uh... I don'know, uh.","M|I, uh, I'm not a nurse, I just do, uh... I don'know, uh."
24,B,"They're in Missouri and I could, I, I know, I know stories for sure that they just, they, they just, well, they can't take the proper care of them. Most of them.","B|They're in Missouri and I could, I, I know, I know stories for sure that they just, they, they just, well, they can't take the proper care of them. Most of them."
25,M,Are you from Missouri?,M|Are you from Missouri?
26,B,"And, uh, it's, it's tragic that, you know, when people live so long that they, uh, don't have a really don't have a place to go.","B|And, uh, it's, it's tragic that, you know, when people live so long that they, uh, don't have a really don't have a place to go."
27,M,"I know, it's so sad","M|I know, it's so sad"
28,B,"So,","B|So,"
29,M,"They're, uh, sad.","M|They're, uh, sad."
30,B,Right.,B|Right.
31,M,Yeah. I'm not a big fan of them either.,M|Yeah. I'm not a big fan of them either.
32,B,"Yeah, there's one very close to where my parents are but, uh, I think it would be nice but my dad's the type he wouldn't want to spend the money on anything.","B|Yeah, there's one very close to where my parents are but, uh, I think it would be nice but my dad's the type he wouldn't want to spend the money on anything."
33,M,"Well, if you can afford it, I think you can handle a little.","M|Well, if you can afford it, I think you can handle a little."
34,B,"So, uh, I mean, he's from that old depression era and, uh, you know, it's, oh, it's just blissfull that they're both, able to do everything for themselves.","B|So, uh, I mean, he's from that old depression era and, uh, you know, it's, oh, it's just blissfull that they're both, able to do everything for themselves."
35,M,"No, I mean like, I'm not the only one","M|No, I mean like, I'm not the only one"
36,B,"I would imagine that I'll, uh, if something happens, I'll move one of them or you know, in, in with me.","B|I would imagine that I'll, uh, if something happens, I'll move one of them or you know, in, in with me."
37,M,"If anything happens, I'll.","M|If anything happens, I'll."
38,B,"So, uh,","B|So, uh,"
39,M,"He's a little short for me, but I'm not a big fan of him.","M|He's a little short for me, but I'm not a big fan of him."
40,B,"But I know a lot of people have said that and then find out how tough it is and, but I think you'd have to really, they also wanted us to talk about you'd have to really check on the, uh on this homes.","B|But I know a lot of people have said that and then find out how tough it is and, but I think you'd have to really, they also wanted us to talk about you'd have to really check on the, uh on this homes."
41,M,"I don't think you can really say that, unless I'm missing something.","M|I don't think you can really say that, unless I'm missing something."
42,B,"But I just don't know how much you can see when you go for a,","B|But I just don't know how much you can see when you go for a,"
43,M,Well I don't think I can say I have ever had to talk to anyone.,M|Well I don't think I can say I have ever had to talk to anyone.
44,B,I think you just have to drop in all unexpectedly a lot.,B|I think you just have to drop in all unexpectedly a lot.
45,M,What do you mean?,M|What do you mean?
46,B,"And so many people when they put people in the nurses home, they never see them.","B|And so many people when they put people in the nurses home, they never see them."
47,M,"You just need to drop into the nurse home, and you will find them.","M|You just need to drop into the nurse home, and you will find them."
48,B,They never go to see them.,B|They never go to see them.
49,M,How many people do you know who don't have their own.,M|How many people do you know who don't have their own.
50,B,"I've talked to many, uh, owners of places and say that nobody even, maybe, maybe Christmas.","B|I've talked to many, uh, owners of places and say that nobody even, maybe, maybe Christmas."
51,M,"And if they are in the hospital, they go.","M|And if they are in the hospital, they go."
52,B,Uh-huh.,B|Uh-huh.
53,M,Awwwwwwwww nursing homes.,M|Awwwwwwwww nursing homes.
54,B,Right.,B|Right.
55,M,Yeah. But I'm not sure.,M|Yeah. But I'm not sure.
