Freq.	Size	Surface Form	Spanning	First Speaker	Turns
3	6	oh , that sounds good .	23	M	66, 68, 88
2	6	, uh , you know ,	45	M	56, 100
2	6	, yeah , that's true .	63	M	44, 106
4	5	, that sounds good .	39	M	50, 66, 68, 88
4	4	oh , that sounds	53	M	36, 66, 68, 88
3	4	i don't know .	97	M	0, 86, 96
2	4	and , uh ,	11	M	52, 62
2	4	it's a lot of	35	M	14, 48
2	4	uh , well ,	31	M	78, 108
8	3	, uh ,	69	M	32, 52, 56, 62, 78, 84, 86, 100
4	3	i don't know	97	M	0, 74, 86, 96
3	3	a lot of	39	M	14, 48, 52
3	3	and , uh	37	M	26, 52, 62
3	3	you know ,	45	M	56, 78, 100
2	3	, i ,	45	M	42, 86
2	3	, it's a	69	M	14, 82
2	3	, um .	7	M	76, 82
2	3	a rice dish	5	M	78, 82
2	3	uh , you	45	M	56, 100
2	3	yeah , i	31	M	42, 72
12	2	uh ,	77	M	32, 44, 52, 56, 62, 78, 84, 86, 92, 100, 106, 108
10	2	, uh	91	M	10, 26, 32, 52, 56, 62, 78, 84, 86, 100
9	2	uh-huh .	85	M	20, 38, 40, 56, 64, 80, 98, 102, 104
8	2	yeah ,	93	M	14, 18, 42, 44, 60, 72, 74, 106
7	2	, that	83	M	6, 36, 50, 52, 66, 68, 88
5	2	good .	59	M	50, 66, 68, 88, 108
5	2	oh ,	53	M	36, 44, 66, 68, 88
5	2	yeah .	91	M	4, 16, 34, 58, 94
4	2	, i	45	M	42, 72, 78, 86
4	2	, that's	99	M	10, 44, 106, 108
4	2	know .	97	M	0, 72, 86, 96
3	2	, i've	61	M	14, 42, 74
3	2	, it's	79	M	14, 82, 92
3	2	, you	45	M	56, 78, 100
3	2	. i	17	M	74, 86, 90
3	2	it's a	69	M	14, 48, 82
3	2	uh .	15	M	10, 12, 24
3	2	uh-uh .	87	M	4, 54, 90
3	2	well ,	59	M	50, 78, 108
2	2	, and	23	M	56, 78
2	2	, um	7	M	76, 82
2	2	a rice	5	M	78, 82
2	2	and then	17	M	62, 78
2	2	and you	7	M	56, 62
2	2	cover it	7	M	56, 62
2	2	do that	5	M	70, 74
2	2	great .	31	M	6, 36
2	2	i'm not	9	M	78, 86
2	2	it ,	15	M	78, 92
2	2	it on	17	M	62, 78
2	2	it's not	85	M	8, 92
2	2	like a	5	M	78, 82
2	2	like to	85	M	2, 86
2	2	make it	17	M	62, 78
2	2	put in	27	M	56, 82
2	2	that .	17	M	74, 90
2	2	then you	17	M	62, 78
2	2	um ,	5	M	82, 86
2	2	with ,	27	M	56, 82
2	2	you can	39	M	62, 100
10	1	i	97	M	0, 2, 42, 70, 72, 74, 78, 86, 90, 96
10	1	that	85	M	6, 36, 50, 52, 66, 68, 70, 74, 88, 90
8	1	a	87	M	14, 48, 52, 78, 82, 90, 92, 100
8	1	it	85	M	8, 14, 56, 62, 74, 78, 84, 92
8	1	of	71	M	14, 42, 48, 52, 62, 78, 82, 84
7	1	and	77	M	2, 14, 26, 52, 56, 62, 78
6	1	good	101	M	8, 50, 66, 68, 88, 108
6	1	oh	67	M	22, 36, 44, 66, 68, 88
6	1	you	83	M	18, 52, 56, 62, 78, 100
5	1	don't	97	M	0, 52, 74, 86, 96
5	1	it's	85	M	8, 14, 48, 82, 92
5	1	like	85	M	2, 78, 82, 84, 86
5	1	put	27	M	56, 62, 70, 78, 82
5	1	to	85	M	2, 14, 52, 74, 86
4	1	for	89	M	2, 70, 78, 90
4	1	have	89	M	2, 14, 52, 90
4	1	in	27	M	56, 70, 78, 82
4	1	that's	99	M	10, 44, 106, 108
3	1	be	13	M	6, 8, 18
3	1	do	57	M	18, 70, 74
3	1	i've	61	M	14, 42, 74
3	1	just	17	M	62, 70, 78
3	1	make	27	M	52, 62, 78
3	1	the	25	M	62, 78, 86
3	1	with	27	M	56, 78, 82
2	1	as	79	M	8, 86
2	1	but	63	M	14, 76
2	1	cook	77	M	2, 78
2	1	could	67	M	8, 74
2	1	how	61	M	18, 78
2	1	much	69	M	18, 86
2	1	my	43	M	28, 70
2	1	really	73	M	14, 86
2	1	rice	5	M	78, 82
2	1	time	31	M	62, 92
2	1	would	73	M	6, 78

