Freq.	Size	Surface Form	Spanning	First Speaker	Turns
2	5	You don't have to be	11	M	5, 15
2	4	I don't know .	61	M	49, 109
2	4	I'm not sure .	7	M	41, 47
3	3	, uh ,	85	M	3, 27, 87
3	3	I'm not sure	17	M	31, 41, 47
2	3	I'm sorry ,	23	M	99, 121
5	2	, and	107	M	13, 21, 51, 65, 119
4	2	, uh	95	M	3, 27, 87, 97
4	2	I'm not	73	M	31, 41, 47, 103
4	2	sure .	81	M	23, 41, 47, 103
4	2	uh ,	117	M	3, 27, 87, 119
3	2	, I	31	M	21, 49, 51
3	2	I don't	61	M	49, 99, 109
3	2	I'm a	109	M	13, 115, 121
3	2	I'm sorry	59	M	63, 99, 121
3	2	You know	87	M	3, 39, 89
3	2	it .	33	M	1, 5, 33
3	2	know .	71	M	39, 49, 109
2	2	, I'm	75	M	47, 121
2	2	, but	69	M	31, 99
2	2	, they	89	M	29, 117
2	2	Well ,	55	M	51, 105
2	2	a little	107	M	15, 121
2	2	a place	75	M	31, 105
2	2	have a	5	M	17, 21
2	2	in the	57	M	61, 117
2	2	know ,	25	M	3, 27
2	2	there .	45	M	13, 57
2	2	they are	97	M	21, 117
13	1	I'm	109	M	13, 19, 23, 31, 41, 47, 63, 69, 71, 99, 103, 115, 121
12	1	a	121	M	1, 13, 15, 17, 21, 31, 69, 89, 105, 107, 115, 121
10	1	I	109	M	1, 13, 21, 33, 35, 49, 51, 91, 99, 109
7	1	You	87	M	3, 5, 11, 15, 39, 55, 89
7	1	don't	105	M	5, 15, 49, 77, 87, 99, 109
7	1	the	105	M	13, 47, 61, 99, 107, 111, 117
6	1	to	107	M	1, 5, 15, 19, 31, 107
6	1	you	111	M	3, 9, 27, 31, 43, 113
5	1	have	19	M	3, 5, 15, 17, 21
5	1	not	75	M	31, 41, 47, 103, 105
4	1	are	97	M	21, 43, 55, 117
4	1	it	33	M	1, 5, 19, 33
3	1	in	87	M	31, 61, 117
3	1	like	37	M	33, 65, 69
3	1	my	77	M	3, 51, 79
3	1	of	107	M	1, 7, 107
3	1	they	97	M	21, 29, 117
3	1	was	61	M	51, 65, 111
2	1	And	91	M	27, 117
2	1	Heh	53	M	9, 61
2	1	So	15	M	29, 43
2	1	That	35	M	49, 83
2	1	That's	23	M	9, 31
2	1	The	47	M	65, 111
2	1	can't	5	M	1, 5
2	1	even	103	M	1, 103
2	1	from	29	M	51, 79
2	1	if	87	M	31, 117
2	1	said	53	M	9, 61
2	1	that's	17	M	89, 105
2	1	thing	65	M	47, 111
2	1	understand	85	M	15, 99
2	1	we	13	M	5, 17
2	1	what	59	M	9, 67
2	1	with	53	M	13, 65

