,Speaker,Utterance,Unified
5,f,uh-huh,f|uh-huh
6,M,and then turn left and go underneath the caravan,M|and then turn left and go underneath the caravan
7,f,uh-huh,f|uh-huh
8,M,right,M|right
9,f,right,f|right
10,M,and then turn right so you come down the left-hand side of it and go underneath the picket fence,M|and then turn right so you come down the left-hand side of it and go underneath the picket fence
11,f,mmhmm,f|mmhmm
12,M,ehm have you got a picket fence,M|ehm have you got a picket fence
13,f,aye i'm going back down south,f|aye i'm going back down south
14,M,right you're going down south now,M|right you're going down south now
15,f,aye aye right,f|aye aye right
16,M,and then you're going to come straight down at forty-five degrees,M|and then you're going to come straight down at forty-five degrees
17,f,uh-huh,f|uh-huh
18,M,right you're going to come up and you're about an inch above the old temple you're heading for the old,M|right you're going to come up and you're about an inch above the old temple you're heading for the old
19,f,right well stop now,f|right well stop now
20,M,mmhmm,M|mmhmm
21,f,right so out the caravan park,f|right so out the caravan park
22,M,uh-uh,M|uh-uh
23,f,right go left then left again,f|right go left then left again
24,M,right,M|right
25,f,right now is there anything i should be watching for,f|right now is there anything i should be watching for
26,M,no nothing at all,M|no nothing at all
27,f,aye,f|aye
28,M,have you come across from the caravan,M|have you come across from the caravan
29,f,immediately past the caravan park,f|immediately past the caravan park
30,M,"!!!!:!!""!!'!!!'!!226!!8!!148!!4!!147!!428!!7!!88!!81!!83!!84!!72!!92!!!,!!!.!!,!!75!!.!!!?!!2018!!2019!! 2018!!2017!!","M|!!!!:!!""!!'!!!'!!226!!8!!148!!4!!147!!428!!7!!88!!81!!83!!84!!72!!92!!!,!!!.!!,!!75!!.!!!?!!2018!!2019!! 2018!!2017!!"
31,f,uh-huh,f|uh-huh
32,M,right,M|right
33,f,right,f|right
34,M,and then turn left and go upwards for a,M|and then turn left and go upwards for a
35,f,i don't go to the bottom of the map,f|i don't go to the bottom of the map
36,M,right just go straight along,M|right just go straight along
37,f,right uh-huh,f|right uh-huh
38,M,right go down 'til you're about a centimetre away from the edge of the page,M|right go down 'til you're about a centimetre away from the edge of the page
