,Speaker,Utterance,Unified
5,f,on the the bottom side of them pass them on the bottom,f|on the the bottom side of them pass them on the bottom
6,M,"!!! Remindme!! Task Force!!Task!!.!!'!!""!!8!!4!!7!!","M|!!! Remindme!! Task Force!!Task!!.!!'!!""!!8!!4!!7!!"
7,f,on the left,f|on the left
8,M,uh-huh,M|uh-huh
9,f,no i've just got nothing in below the cliffs,f|no i've just got nothing in below the cliffs
10,M,right well go right up there for about an inch,M|right well go right up there for about an inch
11,f,yes,f|yes
12,M,right okay go up towards that old pine,M|right okay go up towards that old pine
13,f,a pretend semicircle to the,f|a pretend semicircle to the
14,M,yeah,M|yeah
15,f,inside or the aye to the inside or the outside of the map,f|inside or the aye to the inside or the outside of the map
16,M,"it's like a backwards ""c""","M|it's like a backwards ""c"""
17,f,i'm just below the cliffs,f|i'm just below the cliffs
18,M,right and then you go along right,M|right and then you go along right
19,f,towards the outside of the map right,f|towards the outside of the map right
20,M,right,M|right
21,f,which isn't there,f|which isn't there
22,M,and then you go straight along to the left about two inches and you stop,M|and then you go straight along to the left about two inches and you stop
23,f,right okay,f|right okay
24,M,and then you go down about an inch and then you turn to the right,M|and then you go down about an inch and then you turn to the right
25,f,the inside,f|the inside
26,M,right,M|right
27,f,to the left of the pine,f|to the left of the pine
28,M,yeah,M|yeah
29,f,up past the pine tree,f|up past the pine tree
30,M,i've got a popular tourist spot erm between the pine grove and the lake,M|i've got a popular tourist spot erm between the pine grove and the lake
31,f,the pine tree is always on my right,f|the pine tree is always on my right
32,M,uh well go right up until you're sort of just past the middle of the page and then go straight up about three inches,M|uh well go right up until you're sort of just past the middle of the page and then go straight up about three inches
33,f,okay,f|okay
34,M,right and then,M|right and then
35,f,top of the pine tree,f|top of the pine tree
36,M,uh-huh,M|uh-huh
37,f,vertically across,f|vertically across
38,M,uh-huh vertically across,M|uh-huh vertically across
39,f,right so i'm going across the page right,f|right so i'm going across the page right
40,M,and then you're going across about the same plane as the guy just above the camera shop,M|and then you're going across about the same plane as the guy just above the camera shop
41,f,yes,f|yes
