,Speaker,Utterance,Unified
5,f,to the right,f|to the right
6,M,uh-uh,M|uh-uh
7,f,right how far,f|right how far
8,M,ehm about four inches,M|ehm about four inches
9,f,uh-huh,f|uh-huh
10,M,right,M|right
11,f,have you not got have you not got the carpenter's cottage,f|have you not got have you not got the carpenter's cottage
12,M,no,M|no
13,f,how how far below the burnt forest do i go do i go right along the beneath it before i curve,f|how how far below the burnt forest do i go do i go right along the beneath it before i curve
14,M,no you don't go right you're going you're still going right along,M|no you don't go right you're going you're still going right along
15,f,i just go past it,f|i just go past it
16,M,right,M|right
17,f,so it's only a slight curve,f|so it's only a slight curve
18,M,"!!!'!! Remnant!!""!!2018!!2019!!2020!!2017!! 2018!!there!!you!!have!!i!!","M|!!!'!! Remnant!!""!!2018!!2019!!2020!!2017!! 2018!!there!!you!!have!!i!!"
19,f,to the right and then back to the left,f|to the right and then back to the left
20,M,yeah,M|yeah
21,f,right uh-huh,f|right uh-huh
22,M,"so you're now two centimetres to the right of the ""e"" in lake","M|so you're now two centimetres to the right of the ""e"" in lake"
23,f,mm mmhmm,f|mm mmhmm
24,M,"right and then you go down about an inch so you should be just about underneath the ""b""","M|right and then you go down about an inch so you should be just about underneath the ""b"""
25,f,uh-huh,f|uh-huh
26,M,right you're you're curving right round the ravines okay,M|right you're you're curving right round the ravines okay
27,f,below it,f|below it
28,M,uh from the start,M|uh from the start
29,f,right so i go along to the right,f|right so i go along to the right
30,M,uh and you're you're about an centimetre above the start,M|uh and you're you're about an centimetre above the start
31,f,until i'm about an inch below the ravine but to the left of it,f|until i'm about an inch below the ravine but to the left of it
32,M,right okay,M|right okay
33,f,and then i go up past the left-hand side of it,f|and then i go up past the left-hand side of it
34,M,yeah and then you go right,M|yeah and then you go right
35,f,no,f|no
36,M,okay well you're going to go up and then you're you're curving round the top of the ravn,M|okay well you're going to go up and then you're you're curving round the top of the ravn
37,f,i'm now at the top left-hand side of the ravine,f|i'm now at the top left-hand side of the ravine
38,M,"!!!!:!!'!!':!!!'!!""!!2019!!2018!!2020!!2017!!8!!4!!7!!754!!88!!84!!,!!889!!888!!886!!!!!!!!!!!!!!!!.!!!!!!!!!!!.!!r!!","M|!!!!:!!'!!':!!!'!!""!!2019!!2018!!2020!!2017!!8!!4!!7!!754!!88!!84!!,!!889!!888!!886!!!!!!!!!!!!!!!!.!!!!!!!!!!!.!!r!!"
39,f,still to the left of it,f|still to the left of it
40,M,uh to the bottom left of the pine grove,M|uh to the bottom left of the pine grove
41,f,uh-huh,f|uh-huh
42,M,right,M|right
43,f,have you got the pine grove,f|have you got the pine grove
44,M,yeah it's at the top right-hand corner of the page,M|yeah it's at the top right-hand corner of the page
45,f,mmhmm,f|mmhmm
46,M,just go straight up to the top of the pebbled shore,M|just go straight up to the top of the pebbled shore
47,f,right,f|right
48,M,and then go straight across to below the words pine groves,M|and then go straight across to below the words pine groves
49,f,okay,f|okay
50,M,right now do you have a footbridge,M|right now do you have a footbridge
51,f,okay mmhmm,f|okay mmhmm
52,M,right okay,M|right okay
53,f,uh-huh,f|uh-huh
54,M,right okay,M|right okay
55,f,bottom left-hand corner,f|bottom left-hand corner
56,M,yeah,M|yeah
57,f,but not ehm touching it or,f|but not ehm touching it or
58,M,no,M|no
59,f,right,f|right
