,Speaker,Utterance,Unified
5,B,"And I,","B|And I,"
6,M,"Oh, and I?","M|Oh, and I?"
7,B,"Okay Uh, I've, the high school I went to was, uh, was a good one also. And I, well, I guess you could say one of the problems with the public education system is the disparity between different schools. Because the one I went to was, you know, I'm sure a, a lot nicer than, you know, a lot of the inner city schools and the things around Atlanta.","B|Okay Uh, I've, the high school I went to was, uh, was a good one also. And I, well, I guess you could say one of the problems with the public education system is the disparity between different schools. Because the one I went to was, you know, I'm sure a, a lot nicer than, you know, a lot of the inner city schools and the things around Atlanta."
8,M,Yeah.,M|Yeah.
9,B,Yeah.,B|Yeah.
10,M,"You are you not in the school, you know?","M|You are you not in the school, you know?"
11,B,What,B|What
12,M,Well,M|Well
13,B,"Yeah, that's true.","B|Yeah, that's true."
14,M,And,M|And
15,B,"Yeah.  And I'm also  I mean, in the, in those places where, uh, like the economy is really bad, they might, you know, be more tempted to, to quit school and get jobs and that kind of thing because they need the, you know, money to put food on the table and stuff like that. More than they would you know, in areas where they","B|Yeah.  And I'm also  I mean, in the, in those places where, uh, like the economy is really bad, they might, you know, be more tempted to, to quit school and get jobs and that kind of thing because they need the, you know, money to put food on the table and stuff like that. More than they would you know, in areas where they"
16,M,I think that's it.,M|I think that's it.
17,B,Uh-huh. Yeah.  That's true.,B|Uh-huh. Yeah.  That's true.
18,M,Your words,M|Your words
19,B,Right.,B|Right.
20,M,I don't,M|I don't
21,B,Yeah.,B|Yeah.
22,M,What?,M|What?
23,B,"That's hard for me to say since I didn't, I didn't really grow, well when I went to elementary school it, it wasn't in a great area but I still, I mean, I learned to read, started learning to read when I was in kindergarten, you know.","B|That's hard for me to say since I didn't, I didn't really grow, well when I went to elementary school it, it wasn't in a great area but I still, I mean, I learned to read, started learning to read when I was in kindergarten, you know."
24,M,"No, it.","M|No, it."
25,B,"So I guess I can't really I can't say what it would be like to, uh, grow up in a really oppressed region","B|So I guess I can't really I can't say what it would be like to, uh, grow up in a really oppressed region"
26,M,It's not like you can say what you would be if you grew up in the country.,M|It's not like you can say what you would be if you grew up in the country.
27,B,"You know, I guess the whole, the whole environment and attitude towards school and learning is different for the people.","B|You know, I guess the whole, the whole environment and attitude towards school and learning is different for the people."
28,M,"I mean, I know I'd be","M|I mean, I know I'd be"
29,B,"So, I guess the problem is the, the thing to do is to try to, uh, to get some kind of motivation to learn and,","B|So, I guess the problem is the, the thing to do is to try to, uh, to get some kind of motivation to learn and,"
30,M,"I'm not sure, I think","M|I'm not sure, I think"
31,B,Uh-huh.  Yeah.  Uh-huh.,B|Uh-huh.  Yeah.  Uh-huh.
32,M,I.,M|I.
33,B,"No, I, I can't say that I have either. But, uh,","B|No, I, I can't say that I have either. But, uh,"
34,M,"I don't, but","M|I don't, but"
35,B,"Yeah. I've, I've heard some, I mean I've heard statistics and things that, that compare a public education to a private education. I mean within like, within the same, uh, income groups.","B|Yeah. I've, I've heard some, I mean I've heard statistics and things that, that compare a public education to a private education. I mean within like, within the same, uh, income groups."
36,M,Nope.. Uh.,M|Nope.. Uh.
37,B,"If you compare the, like the people that could have, that could have sent their kids to private schools and the people that, you know, the people that, uh, did send their kids to private  schools.","B|If you compare the, like the people that could have, that could have sent their kids to private schools and the people that, you know, the people that, uh, did send their kids to private  schools."
38,M,Private school.,M|Private school.
39,B,"I think they compare you know, fairly well.","B|I think they compare you know, fairly well."
40,M,"Not really, they don't compare you in any way.","M|Not really, they don't compare you in any way."
41,B,"Yeah. I, I, I, my schools, I mean, there, I have a lot of once, once it seemed I got into high school, they had a lot of, uh, accelerated programs and all kinds of stuff like that.","B|Yeah. I, I, I, my schools, I mean, there, I have a lot of once, once it seemed I got into high school, they had a lot of, uh, accelerated programs and all kinds of stuff like that."
42,M,Ya ',M|Ya '
43,B,"That, I mean, that makes a big difference cause I wondered when they're taking classes with, uh, with people that are really, are interested in the, the subject and stuff like that.","B|That, I mean, that makes a big difference cause I wondered when they're taking classes with, uh, with people that are really, are interested in the, the subject and stuff like that."
44,M,I'm sorry.,M|I'm sorry.
45,B,Uh-huh.,B|Uh-huh.
46,M,Four levels.,M|Four levels.
