,Speaker,Utterance,Unified
5,B,Uh-huh.,B|Uh-huh.
6,M,...,M|...
7,B,That's right.,B|That's right.
8,M,I'm not going.,M|I'm not going.
9,B,"That's absolutely right. It, it, uh, I guess it all comes down to, uh, you know, a, a definition of, uh, how much out, outside activities affect your work and, uh, uh, granted, you know, that, any, any kind of drug use on, on company property and whatnot, is, is definitely not acceptable.","B|That's absolutely right. It, it, uh, I guess it all comes down to, uh, you know, a, a definition of, uh, how much out, outside activities affect your work and, uh, uh, granted, you know, that, any, any kind of drug use on, on company property and whatnot, is, is definitely not acceptable."
10,M,Haha.,M|Haha.
11,B,"Uh, uh, I don't think anybody would ever argue that. Or, uh, any, any after affects carrying over into the workday","B|Uh, uh, I don't think anybody would ever argue that. Or, uh, any, any after affects carrying over into the workday"
12,M,"What does it affect you know, uh, you know?","M|What does it affect you know, uh, you know?"
13,B,"but, um, you know, I don't, I'm not particularly concerned with what people do, um, after they leave for the day especially if I don't, if I don't, uh, see any results of it the next day.","B|but, um, you know, I don't, I'm not particularly concerned with what people do, um, after they leave for the day especially if I don't, if I don't, uh, see any results of it the next day."
14,M,This,M|This
15,B,"Well, it, it is, it, you know, on the other hand you, you've got, uh, you've got the, uh, the possibility of people, oh, you've got some people could be arrested for, uh, drug use, drug dealings and things like that, and, uh, if their, if their employers name hits the papers and that it's, it's, it's a mark against them,","B|Well, it, it is, it, you know, on the other hand you, you've got, uh, you've got the, uh, the possibility of people, oh, you've got some people could be arrested for, uh, drug use, drug dealings and things like that, and, uh, if their, if their employers name hits the papers and that it's, it's, it's a mark against them,"
16,M,...,M|...
17,B,"the company and, uh, you know, what kind of people work there, what, uh,","B|the company and, uh, you know, what kind of people work there, what, uh,"
18,M,"I,?","M|I,?"
19,B,"That's right. That's right. Right. even if it is, you know, a company policy of, uh, immediate termination or whatever, they still have to replace them.","B|That's right. That's right. Right. even if it is, you know, a company policy of, uh, immediate termination or whatever, they still have to replace them."
20,M,I,M|I
21,B,"And, uh, there's, there's a lot involved there.","B|And, uh, there's, there's a lot involved there."
22,M,"Well, uh, there's","M|Well, uh, there's"
