,Speaker,Utterance,Unified
5,B,"Yeah,","B|Yeah,"
6,M,"Uhm, are you doing the thing here?","M|Uhm, are you doing the thing here?"
7,B,actually through electronic mail.,B|actually through electronic mail.
8,M,You can't.,M|You can't.
9,B,Uh-huh.,B|Uh-huh.
10,M,"Uhh, uh, I work in Georgia Tech.","M|Uhh, uh, I work in Georgia Tech."
11,B,"Right. So it's pretty fair they've got you slaving away,  at, at this point","B|Right. So it's pretty fair they've got you slaving away,  at, at this point"
12,M,What?,M|What?
13,B,Yeah.,B|Yeah.
14,M,I'm not sure.,M|I'm not sure.
15,B,"Well, um, I'm research stuff here now so what they, they have, uh, um, okay, benefits package. It's not quite as good as industry but one of the significant, um, benefits here is that you can take, uh, up to two courses a semester, um, and they pay for you know, pay for the classes.","B|Well, um, I'm research stuff here now so what they, they have, uh, um, okay, benefits package. It's not quite as good as industry but one of the significant, um, benefits here is that you can take, uh, up to two courses a semester, um, and they pay for you know, pay for the classes."
16,M,I'm still waiting on the benefits package.,M|I'm still waiting on the benefits package.
17,B,"So,  that works out to be, um, a reasonable, a reasonable benefit.","B|So,  that works out to be, um, a reasonable, a reasonable benefit."
18,M,You're not wrong.,M|You're not wrong.
19,B,Uh-huh.,B|Uh-huh.
20,M,"You, uh, yeah, um, do.","M|You, uh, yeah, um, do."
21,B,"If you want to,  do it quickly.","B|If you want to,  do it quickly."
22,M,I like it.,M|I like it.
23,B,"Uh-huh, uh-huh. Yeah. Yeah. So I, I don't know in, in terms of other things, other benefits other than sort of monetary I'd, you know, I, Yeah, we, we do. We have to contribute a certain amount, uh, to it.","B|Uh-huh, uh-huh. Yeah. Yeah. So I, I don't know in, in terms of other things, other benefits other than sort of monetary I'd, you know, I, Yeah, we, we do. We have to contribute a certain amount, uh, to it."
24,M,s,M|s
25,B,"And it's kind of split between C M U and,  and, you know, the employee.","B|And it's kind of split between C M U and,  and, you know, the employee."
26,M,"Yeah, and u, and of course, and...","M|Yeah, and u, and of course, and..."
27,B,"Right. Yeah, and it's also, right now it's, uh, the, like everywhere else, uh, here in Pittsburgh the health care, uh, rates are, are going up pretty quickly.","B|Right. Yeah, and it's also, right now it's, uh, the, like everywhere else, uh, here in Pittsburgh the health care, uh, rates are, are going up pretty quickly."
28,M,This,M|This
29,B,"That's a whole other topic to begin with too but. Yeah, but it's, you are right. I, I, I really agree that, that that's pretty important.","B|That's a whole other topic to begin with too but. Yeah, but it's, you are right. I, I, I really agree that, that that's pretty important."
30,M,What?,M|What?
31,B,Right.,B|Right.
32,M,This.,M|This.
33,B,Right. Uh-huh Oh Now that's a big win.,B|Right. Uh-huh Oh Now that's a big win.
34,M,There's a win.,M|There's a win.
35,B,"Yeah, yeah.  That's,","B|Yeah, yeah.  That's,"
36,M,So.You're saying that it's not a big deal?,M|So.You're saying that it's not a big deal?
37,B,Yeah.,B|Yeah.
38,M,Oh ok.Hmmm I guess.,M|Oh ok.Hmmm I guess.
39,B,"Yeah.  I figured for and they've just raised the, um, income caps on Social Security to the point where you have to be pretty, you have to be pretty well off before you stop paying paying that as well.","B|Yeah.  I figured for and they've just raised the, um, income caps on Social Security to the point where you have to be pretty, you have to be pretty well off before you stop paying paying that as well."
40,M,It's pretty much all you have.,M|It's pretty much all you have.
41,B,"Yeah, well if you could call it a benefit that C M U, I mean the other thing that they allow you to do here while you are working is, is consult for, um, you know, other companies.","B|Yeah, well if you could call it a benefit that C M U, I mean the other thing that they allow you to do here while you are working is, is consult for, um, you know, other companies."
42,M,This.,M|This.
43,B,"Um, so that's, that kind of helps out in terms of,  you know, keeping up-to-date with contacts in industry.","B|Um, so that's, that kind of helps out in terms of,  you know, keeping up-to-date with contacts in industry."
44,M,I'm in the industry.,M|I'm in the industry.
45,B,"You know, in case,  you know, in case you ever need to bail out","B|You know, in case,  you know, in case you ever need to bail out"
46,M,"Yeah, but what do you do when you're in a hospital?","M|Yeah, but what do you do when you're in a hospital?"
47,B,Uh-huh.,B|Uh-huh.
48,M,"heheheh, you know, help me out here","M|heheheh, you know, help me out here"
