,Speaker,Utterance,Unified
5,B,"Oh, that's wonderful. Okay.","B|Oh, that's wonderful. Okay."
6,M,I think.,M|I think.
7,B,"That's, what kind of fondue, the cheese dip or,","B|That's, what kind of fondue, the cheese dip or,"
8,M,It,M|It
9,B,Right. Yeah.,B|Right. Yeah.
10,M,'cant be sharp?,M|'cant be sharp?
11,B,"Oh, that sounds good.","B|Oh, that sounds good."
12,M,"I'm making some other things, and then I'll be making some more.","M|I'm making some other things, and then I'll be making some more."
13,B,"That's always a good thing. Vegetable trays always go over so well, because I think people get tired of eating junk. I mean, I think they like to have healthy stuff too, you know it's,","B|That's always a good thing. Vegetable trays always go over so well, because I think people get tired of eating junk. I mean, I think they like to have healthy stuff too, you know it's,"
14,M,I've never tried them. I've only eaten them once. I'll try it next time.,M|I've never tried them. I've only eaten them once. I'll try it next time.
15,B,"Oh, definitely. I think better even than, than other kinds of food","B|Oh, definitely. I think better even than, than other kinds of food"
16,M,"Oh, I agree. But it's a good","M|Oh, I agree. But it's a good"
17,B,"Right, exactly. Yeah.","B|Right, exactly. Yeah."
18,M,You can get a good sandwich from the grocery store,M|You can get a good sandwich from the grocery store
19,B,Uh-huh.,B|Uh-huh.
20,M,What do they do?,M|What do they do?
21,B,Oh. Yes. Right.,B|Oh. Yes. Right.
22,M,He smiles back and takes a bite. You?,M|He smiles back and takes a bite. You?
23,B,"Right, that's true. Or even have you ever seen where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon that is really neat .","B|Right, that's true. Or even have you ever seen where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon that is really neat ."
24,M,They are.,M|They are.
25,B,Yep.,B|Yep.
26,M,I like them.,M|I like them.
27,B,"Oh, I think it would, it would be a lot of work but, um, you know, because it's, you know,","B|Oh, I think it would, it would be a lot of work but, um, you know, because it's, you know,"
28,M,"No, I...","M|No, I..."
29,B,"you have to cut each thing or, you know, use the melon baller and stuff but, but I think they're really neat and, you know, I think they're worth the time, you know, because they,","B|you have to cut each thing or, you know, use the melon baller and stuff but, but I think they're really neat and, you know, I think they're worth the time, you know, because they,"
30,M,"I, think, you, know, I, don't.","M|I, think, you, know, I, don't."
31,B,"Oh, yeah","B|Oh, yeah"
32,M,"the, is the word you're looking for.","M|the, is the word you're looking for."
33,B,Right. Yeah.,B|Right. Yeah.
34,M,I guess I just have to scrape the watermelons out of it,M|I guess I just have to scrape the watermelons out of it
35,B,"Is that, is that good? You know, I've seen that so many times, strawberries dipped in chocolate but I've never tried it, are they really good?","B|Is that, is that good? You know, I've seen that so many times, strawberries dipped in chocolate but I've never tried it, are they really good?"
36,M,I'm not so worried,M|I'm not so worried
37,B,"Oh, I bet it doesn't mix well, does it?","B|Oh, I bet it doesn't mix well, does it?"
38,M,...,M|...
39,B,"Oh, well, that's good because I know they've been really expensive lately. Because they weren't in season,","B|Oh, well, that's good because I know they've been really expensive lately. Because they weren't in season,"
40,M,"They've been, been.","M|They've been, been."
41,B,"of course, they had to be, be, uh, grown in greenhouses and stuff and in ,","B|of course, they had to be, be, uh, grown in greenhouses and stuff and in ,"
42,M,"Wait, so they're the ones who","M|Wait, so they're the ones who"
43,B,"Oh, is that right?","B|Oh, is that right?"
44,M,"Yeah, I know, I'm saying that they're expensive because of their origins.","M|Yeah, I know, I'm saying that they're expensive because of their origins."
45,B,"Oh, I .","B|Oh, I ."
46,M,"Well, the winter produce came from South American.","M|Well, the winter produce came from South American."
47,B,Uh-huh. Right.,B|Uh-huh. Right.
48,M,"I'm sorry, but I'm not a fan of winter.","M|I'm sorry, but I'm not a fan of winter."
49,B,"Well,","B|Well,"
50,M,How do you?,M|How do you?
51,B,"Okay, sure,","B|Okay, sure,"
52,M,"Well, I think I'll give it a try.","M|Well, I think I'll give it a try."
53,B,Is that right? I've never heard of that.,B|Is that right? I've never heard of that.
54,M,Pudding. I make it.,M|Pudding. I make it.
55,B,Uh-huh.,B|Uh-huh.
56,M,"Oh yeah, I'm sorry, I thought you were being sarcastic","M|Oh yeah, I'm sorry, I thought you were being sarcastic"
57,B,Uh-huh.,B|Uh-huh.
58,M,So you wanna go with that?,M|So you wanna go with that?
59,B,I think I know what you're is it like a hand held?,B|I think I know what you're is it like a hand held?
60,M,I.,M|I.
61,B,"The, yeah, okay.","B|The, yeah, okay."
62,M,Yeah. I guess it's okay.,M|Yeah. I guess it's okay.
63,B,Uh-huh. Huh.,B|Uh-huh. Huh.
64,M,No.,M|No.
65,B,Uh-huh.,B|Uh-huh.
66,M,",cake","M|,cake"
67,B,"Oh, wow. That is really interesting. Are you saying to use like, um, for chocolate like, unsweetened,","B|Oh, wow. That is really interesting. Are you saying to use like, um, for chocolate like, unsweetened,"
68,M,.,M|.
69,B,unsweetened?,B|unsweetened?
70,M,Unsweetened?,M|Unsweetened?
71,B,Yeah.,B|Yeah.
72,M,you mean unsweet?,M|you mean unsweet?
73,B,I have some,B|I have some
74,M,I've heard of that too.,M|I've heard of that too.
75,B,"I just want to,","B|I just want to,"
76,M,You can have it.,M|You can have it.
77,B,Right. Okay.,B|Right. Okay.
78,M,you can use any kind of tea,M|you can use any kind of tea
79,B,Cooking chocolate.,B|Cooking chocolate.
80,M,What do you do for a living?,M|What do you do for a living?
81,B,"That's really interesting, I've never heard of anybody making their own pudding before that's really neat.","B|That's really interesting, I've never heard of anybody making their own pudding before that's really neat."
82,M,"Pudding, I made pudding for breakfast.","M|Pudding, I made pudding for breakfast."
83,B,"Well, how did you get a recipe for pudding on your own?","B|Well, how did you get a recipe for pudding on your own?"
84,M,"I just made a pie, it's delicious!","M|I just made a pie, it's delicious!"
85,B,"Is that right? Oh, neat,","B|Is that right? Oh, neat,"
86,M,You're.,M|You're.
87,B,"that is just really neat. Because I,","B|that is just really neat. Because I,"
88,M,"I have a bunch of different kinds of pudding, and I just made a pudding for my own, so...","M|I have a bunch of different kinds of pudding, and I just made a pudding for my own, so..."
89,B,It would probably be a lot more work and probably not turn out as good.,B|It would probably be a lot more work and probably not turn out as good.
90,M,I would totally buy one of those,M|I would totally buy one of those
91,B,Uh-huh.,B|Uh-huh.
92,M,This is the first time I've seen a video that doesn't have a beter.,M|This is the first time I've seen a video that doesn't have a beter.
93,B,So you put the milk in the cornstarch?,B|So you put the milk in the cornstarch?
94,M,Yes,M|Yes
95,B,And then put that back in the saucepan?,B|And then put that back in the saucepan?
96,M,I'm,M|I'm
97,B,"Huh that's,","B|Huh that's,"
98,M,Yes. That's,M|Yes. That's
99,B,Oh.,B|Oh.
100,M,I'm not really sure what you're talking about.,M|I'm not really sure what you're talking about.
101,B,Uh-huh.,B|Uh-huh.
102,M,I'm sorry.,M|I'm sorry.
103,B,Uh-huh.,B|Uh-huh.
104,M,What do you mean?,M|What do you mean?
105,B,Do do you put it in the refrigerator then or,B|Do do you put it in the refrigerator then or
106,M,,M|
107,B,Uh-huh.,B|Uh-huh.
108,M,Huehuehuhueh... that's how I've,M|Huehuehuhueh... that's how I've
109,B,"Right, that's true. I knew that.","B|Right, that's true. I knew that."
110,M,The cold cold cold part.,M|The cold cold cold part.
111,B,Yeah.,B|Yeah.
112,M,Because you know that you are going to get fat.,M|Because you know that you are going to get fat.
113,B,Yeah.,B|Yeah.
114,M,you mean'' why''?,M|you mean'' why''?
