,Speaker,Utterance,Unified
5,M,you can call me,M|you can call me
6,B,Uh-huh.,B|Uh-huh.
7,M,You know what's up.,M|You know what's up.
8,B,Right.,B|Right.
9,M,well uhuh.,M|well uhuh.
10,B,Uh-huh.,B|Uh-huh.
11,M,They're all back together now.,M|They're all back together now.
12,B,"Well, it might be a good time for you to to, to start a tradition.","B|Well, it might be a good time for you to to, to start a tradition."
13,M,I'm not sure,M|I'm not sure
14,B,You could be responsible for that yourself.,B|You could be responsible for that yourself.
15,M,The only time I've ever been to the place was when I was in high school,M|The only time I've ever been to the place was when I was in high school
16,B,Sure.,B|Sure.
17,M,"Well, that's not true.","M|Well, that's not true."
18,B,"Well, in my family, let's see, last October was the forty fifth annual  uh, reunion.","B|Well, in my family, let's see, last October was the forty fifth annual  uh, reunion."
19,M,He shrugs. I've been around for a long time.,M|He shrugs. I've been around for a long time.
20,B,"The first Sunday in October, the Jordan family gets together.","B|The first Sunday in October, the Jordan family gets together."
21,M,What about the Jordan?,M|What about the Jordan?
22,B,"And all of the descendants of the Civil War, I mean, yeah, the Civil War veterans come together, and they come as far away from California, and there's usually oh, between a hundred and fifty and two hundred and fifty people.","B|And all of the descendants of the Civil War, I mean, yeah, the Civil War veterans come together, and they come as far away from California, and there's usually oh, between a hundred and fifty and two hundred and fifty people."
23,M,"Well, they are.","M|Well, they are."
24,B,"Uh, there's a big community hall in Vernon Texas,","B|Uh, there's a big community hall in Vernon Texas,"
25,M,What is this?,M|What is this?
26,B,"and, uh, that seems to be sort of a middle ground for all of the Texas family.","B|and, uh, that seems to be sort of a middle ground for all of the Texas family."
27,M,That's a little different.,M|That's a little different.
28,B,Uh-huh.,B|Uh-huh.
29,M,"... wait, do you have any relatives in Virginia?","M|... wait, do you have any relatives in Virginia?"
30,B,"Right, uh-huh. A lot of the older family lives in Vernon.","B|Right, uh-huh. A lot of the older family lives in Vernon."
31,M,That sounds cool.,M|That sounds cool.
32,B,"Um, all of his direct descendants, descendants have now died and the grandchildren are in their seventies and eighties.","B|Um, all of his direct descendants, descendants have now died and the grandchildren are in their seventies and eighties."
33,M,"Uh, what?","M|Uh, what?"
34,B,So we're talking about second and third great children here.,B|So we're talking about second and third great children here.
35,M,I'm not sure if that's how it works.,M|I'm not sure if that's how it works.
36,B,"Uh, I take my boys well, I took them up until this year, they're grown and gone from home now","B|Uh, I take my boys well, I took them up until this year, they're grown and gone from home now"
37,M,Why not?,M|Why not?
38,B,"so they, they take their family.","B|so they, they take their family."
39,M,"So they, they, their, their","M|So they, they, their, their"
40,B,"But, uh, let's see, that would make them, grandfather, great grandfather, great great grandfather, okay, so it would be the second great grandchild. And so they,","B|But, uh, let's see, that would make them, grandfather, great grandfather, great great grandfather, okay, so it would be the second great grandchild. And so they,"
41,M,That's what I said.,M|That's what I said.
42,B,"Well, it's a community center, it's a community hall. It's,  a great big open building that has a wonderful kitchen it in,","B|Well, it's a community center, it's a community hall. It's,  a great big open building that has a wonderful kitchen it in,"
43,M,What is this?,M|What is this?
44,B,"and, uh, you just bring the covered dishes. Every, every family brings a, a dish of some kind, and you get all the wonderful old family recipes,  that have been handed,  down for years","B|and, uh, you just bring the covered dishes. Every, every family brings a, a dish of some kind, and you get all the wonderful old family recipes,  that have been handed,  down for years"
45,M,"So,","M|So,"
46,B,"Well, we try to stay away from those things which might have, uh, salmonella in them.","B|Well, we try to stay away from those things which might have, uh, salmonella in them."
47,M,I'll have you know that I am a vegetarian.,M|I'll have you know that I am a vegetarian.
48,B,"And we choose to bring congealed salad. You can bring a congealed vegetable salad,  as opposed to potato salad.","B|And we choose to bring congealed salad. You can bring a congealed vegetable salad,  as opposed to potato salad."
49,M,"We have a lot of stuff in the US, so we can have a salad in","M|We have a lot of stuff in the US, so we can have a salad in"
50,B,"And we are very conscious of, most of us are very conscious of, of, uh, sanitation aspects,  whatever you've got to carry for any distance.","B|And we are very conscious of, most of us are very conscious of, of, uh, sanitation aspects,  whatever you've got to carry for any distance."
51,M,I don't think you can.,M|I don't think you can.
52,B,"I always, take home baked bread.","B|I always, take home baked bread."
53,M,"Yes, but only for you.","M|Yes, but only for you."
54,B,"Uh, that happens to be my specialty for that family. I do other things very well,","B|Uh, that happens to be my specialty for that family. I do other things very well,"
55,M,"I know, right?","M|I know, right?"
56,B,but there are others in the family who do them better.,B|but there are others in the family who do them better.
57,M,I do.,M|I do.
58,B,Uh-huh.,B|Uh-huh.
59,M,... are you okay?,M|... are you okay?
60,B,Uh-huh.,B|Uh-huh.
61,M,What do you mean?,M|What do you mean?
62,B,Uh-huh.,B|Uh-huh.
63,M,Uhuh. Uhuh.,M|Uhuh. Uhuh.
64,B,Uh-huh.,B|Uh-huh.
65,M,Uhh... how?,M|Uhh... how?
66,B,Uh-huh.,B|Uh-huh.
67,M,"Uhh, the Catholic church is still there.","M|Uhh, the Catholic church is still there."
68,B,Uh-huh.  Right.,B|Uh-huh.  Right.
69,M,I.,M|I.
70,B,"Well, it's, uh, we have, uh, uh, kind of a core group that, that serves as, quote, officers of the organization,","B|Well, it's, uh, we have, uh, uh, kind of a core group that, that serves as, quote, officers of the organization,"
71,M,,M|
72,B,"and they plan the reunions, the organize the, you know, who is going to see to it that the coffee pot gets there, who's going to rent the tables, who's going to see to it that the silverware gets turned back to the caterer. Uh, and each year it's done a little bit differently, because different people serve in those roles.","B|and they plan the reunions, the organize the, you know, who is going to see to it that the coffee pot gets there, who's going to rent the tables, who's going to see to it that the silverware gets turned back to the caterer. Uh, and each year it's done a little bit differently, because different people serve in those roles."
73,M,',M|'
74,B,"We have a biographer who, who continues every year to save clippings on any family member, and they're entered into a, a wonderful, uh, scrap book. And pictures of new babies and new people who have been added and, and obituaries to those who are gone. And it keeps the family alive,  even, you know, even though it's very fluid.","B|We have a biographer who, who continues every year to save clippings on any family member, and they're entered into a, a wonderful, uh, scrap book. And pictures of new babies and new people who have been added and, and obituaries to those who are gone. And it keeps the family alive,  even, you know, even though it's very fluid."
75,M,", and,","M|, and,"
76,B,"And they're very dedicated to that, and, uh, it's been really wonderful. It helps you hang onto your roots.","B|And they're very dedicated to that, and, uh, it's been really wonderful. It helps you hang onto your roots."
77,M,...,M|...
78,B,"And it helps you feel a strong sense of belonging. My husband, on the other hand, was not very close to his family. His family was very scattered and very diverse.","B|And it helps you feel a strong sense of belonging. My husband, on the other hand, was not very close to his family. His family was very scattered and very diverse."
79,M,I felt.,M|I felt.
80,B,"And I asked him, I got to talking to him, I said, well, how is his nephew doing. ""Well, I don't know, I haven't,  talked to my brother in three years."" I said , ""Well, how's your brother doing?"" ""I don't know."" Uh, you know, my son keeps in touch with him, I think, but I don't.","B|And I asked him, I got to talking to him, I said, well, how is his nephew doing. ""Well, I don't know, I haven't,  talked to my brother in three years."" I said , ""Well, how's your brother doing?"" ""I don't know."" Uh, you know, my son keeps in touch with him, I think, but I don't."
81,M,Oh.,M|Oh.
82,B,"I said, ""Hey, wouldn't you like to know what's happening with these people?"" ""Yeah, but I'm, you know, it's too much trouble."" So I got busy, got together, and put a reunion together for his family. And succeeded in getting all of his brothers and sisters and all of their offspring but one to our place down at Lake Tawakoni.","B|I said, ""Hey, wouldn't you like to know what's happening with these people?"" ""Yeah, but I'm, you know, it's too much trouble."" So I got busy, got together, and put a reunion together for his family. And succeeded in getting all of his brothers and sisters and all of their offspring but one to our place down at Lake Tawakoni."
83,M,...,M|...
84,B,"Liked to kill me, because I it was, I didn't have that group cooperation, I did,  it by myself.","B|Liked to kill me, because I it was, I didn't have that group cooperation, I did,  it by myself."
85,M,,M|
86,B,"And, uh, nobody brought covered dishes. We had a great big fish fry, and, you know, I fixed a salad in a number three tub.","B|And, uh, nobody brought covered dishes. We had a great big fish fry, and, you know, I fixed a salad in a number three tub."
87,M,"What,, i,?","M|What,, i,?"
88,B,"And, and, uh, it was an enormous task to bring all of those people together with just one or two people helping. And, uh, we had to provide sleeping arrangements for all of them and I told him,","B|And, and, uh, it was an enormous task to bring all of those people together with just one or two people helping. And, uh, we had to provide sleeping arrangements for all of them and I told him,"
89,M,Right.,M|Right.
90,B,"We did it that year, and then the following summer, we did not have all of the family there. We sent invitations. We said, ""Please let us know if you're coming."" It was when, uh, his mother, his step father had died the year before,","B|We did it that year, and then the following summer, we did not have all of the family there. We sent invitations. We said, ""Please let us know if you're coming."" It was when, uh, his mother, his step father had died the year before,"
91,M,"I was,","M|I was,"
92,B,"and it, his mother was alone, and so they came to support her, and then one by one, his you know, his sisters, he began to lose family members,","B|and it, his mother was alone, and so they came to support her, and then one by one, his you know, his sisters, he began to lose family members,"
93,M,We.,M|We.
94,B,"and it was difficult to hold them together. And then, of course, he died two years ago, so, you know, that family has gone down to one brother and one sister now.","B|and it was difficult to hold them together. And then, of course, he died two years ago, so, you know, that family has gone down to one brother and one sister now."
95,M,"And,","M|And,"
96,B,"And, uh, it, I think that's what happens when they get scattered, the, the family unit, you know, falls,  into disrepair.","B|And, uh, it, I think that's what happens when they get scattered, the, the family unit, you know, falls,  into disrepair."
97,M,,M|
98,B,Uh-huh.,B|Uh-huh.
99,M,"Heh, what?","M|Heh, what?"
