,Speaker,Utterance,Unified
5,B,What part of Pittsburgh?,B|What part of Pittsburgh?
6,M,I'm from the East Coast.,M|I'm from the East Coast.
7,B,Uh-huh.,B|Uh-huh.
8,M,Where are you from?,M|Where are you from?
9,B,"Uh, Clarion County.","B|Uh, Clarion County."
10,M,"Uh, where are the people from?","M|Uh, where are the people from?"
11,B,I we live out in the country.,B|I we live out in the country.
12,M,What? I was saying you live in Clarion county.,M|What? I was saying you live in Clarion county.
13,B,"Yeah, we have, we have two children that live in Pittsburgh","B|Yeah, we have, we have two children that live in Pittsburgh"
14,M,"Yeah, I know. We have two.","M|Yeah, I know. We have two."
15,B,"Oh, oh, you are?","B|Oh, oh, you are?"
16,M,"Oh, I'm from Philly.","M|Oh, I'm from Philly."
17,B,"Do you work, do you work for Texas Instruments then?","B|Do you work, do you work for Texas Instruments then?"
18,M,"I'm from Pittsburgh, so I'm not too familiar with the area.","M|I'm from Pittsburgh, so I'm not too familiar with the area."
19,B,"Oh, uh-huh.","B|Oh, uh-huh."
20,M,My husband works for the Texas Instruments company.,M|My husband works for the Texas Instruments company.
21,B,"No, I'm just, Uh, federal company, you know,","B|No, I'm just, Uh, federal company, you know,"
22,M,"Oh, are you from Texas?","M|Oh, are you from Texas?"
23,B,"so, yeah.","B|so, yeah."
24,M,I'm not a cop.,M|I'm not a cop.
25,B,"Uh, we have a big old farmhouse that we've you know, remodeled.","B|Uh, we have a big old farmhouse that we've you know, remodeled."
26,M,... I don't get it.,M|... I don't get it.
27,B,"It had been, you know, of course, a farm.","B|It had been, you know, of course, a farm."
28,M,You're not?,M|You're not?
29,B,"It's a farm community, and we.","B|It's a farm community, and we."
30,M,I dont know.,M|I dont know.
31,B,Ours is not a working farm,B|Ours is not a working farm
32,M,That's what I thought.,M|That's what I thought.
33,B,"Yeah, I have a garden but you know, we have a garden.","B|Yeah, I have a garden but you know, we have a garden."
34,M,You have a farm?,M|You have a farm?
35,B,But we don't farm.,B|But we don't farm.
36,M,You don't have a farm.,M|You don't have a farm.
37,B,Uh-huh.,B|Uh-huh.
38,M,Oh yeah?,M|Oh yeah?
39,B,Uh-huh.,B|Uh-huh.
40,M,It's from the Minnesota Minnesota,M|It's from the Minnesota Minnesota
41,B,Uh-huh.,B|Uh-huh.
42,M,They're originally from Dallas.,M|They're originally from Dallas.
43,B,Uh-huh.,B|Uh-huh.
44,M,uuhuhuh.uhuh,M|uuhuhuh.uhuh
45,B,Uh-huh.,B|Uh-huh.
46,M,uhh.uh.uh,M|uhh.uh.uh
