,Speaker,Utterance,Unified
5,M,"Uhhh, look at that.","M|Uhhh, look at that."
6,B,Uh-huh.,B|Uh-huh.
7,M,"Uhh, you know, we, uh,","M|Uhh, you know, we, uh,"
8,B,"Yeah, I, I, yeah, I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere.","B|Yeah, I, I, yeah, I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere."
9,M,"I have, I, uhhhuhuhuh, we have, we, we","M|I have, I, uhhhuhuhuh, we have, we, we"
10,B,"Um, because it is so, you know, it's,","B|Um, because it is so, you know, it's,"
11,M,Because it's,M|Because it's
12,B,Hello.,B|Hello.
13,M,You are not the first.,M|You are not the first.
14,B,"Yeah, well it wasn't the matter of wealth, it was the matter that they were not wealthy, that made them equal.","B|Yeah, well it wasn't the matter of wealth, it was the matter that they were not wealthy, that made them equal."
15,M,You can't be both.,M|You can't be both.
16,B,"Well, I'll talk to you later,","B|Well, I'll talk to you later,"
17,M,"Oh. Well, I'll see you then.","M|Oh. Well, I'll see you then."
18,B,Okay. Bye-bye.,B|Okay. Bye-bye.
