,Speaker,Utterance,Unified
5,M,"Uh, uh.","M|Uh, uh."
6,B,Oh.,B|Oh.
7,M,... I... I don't know what to say.,M|... I... I don't know what to say.
8,B,Wow.,B|Wow.
9,M,My dog is so beautiful.,M|My dog is so beautiful.
10,B,That's great.,B|That's great.
11,M,Yes. Yes she does.,M|Yes. Yes she does.
12,B,"Yeah, well I, I have a dog that God gave us too,","B|Yeah, well I, I have a dog that God gave us too,"
13,M,"I know, right?","M|I know, right?"
14,B,"Yeah, she just appeared.","B|Yeah, she just appeared."
15,M,"Wait, what?","M|Wait, what?"
16,B,"Yeah, my husband calls her street dog, but we've had her now for about three years,","B|Yeah, my husband calls her street dog, but we've had her now for about three years,"
17,M,"Wait, so, uh, she's a dog?","M|Wait, so, uh, she's a dog?"
18,B,"and I just, you get so attached to them.","B|and I just, you get so attached to them."
19,M,They're so cute!,M|They're so cute!
20,B,Uh-huh.,B|Uh-huh.
21,M,"He was a beautiful dog, man.","M|He was a beautiful dog, man."
22,B,Um. Wow.,B|Um. Wow.
23,M,Uh. You should try to be more like him.,M|Uh. You should try to be more like him.
24,B,Uh-huh.,B|Uh-huh.
25,M,"Oh my god, I'm so sorry.","M|Oh my god, I'm so sorry."
26,B,Oh no.,B|Oh no.
27,M,"Well, he was a man of many talents.","M|Well, he was a man of many talents."
28,B,"Oh, gee.","B|Oh, gee."
29,M,He was really a big guy,M|He was really a big guy
30,B,Uh-huh.,B|Uh-huh.
31,M,That was the hardest part of that video for me.,M|That was the hardest part of that video for me.
32,B,"Oh, I bet.","B|Oh, I bet."
33,M,I think they were just feeling bad.,M|I think they were just feeling bad.
34,B,Oh gosh.,B|Oh gosh.
35,M,I was so close to feeling bad for them.,M|I was so close to feeling bad for them.
36,B,"Yeah, yeah. How long has it been since the first one?","B|Yeah, yeah. How long has it been since the first one?"
37,M,It's been forever.,M|It's been forever.
38,B,"Uh, yeah,","B|Uh, yeah,"
39,M,"Uh, yeah, yeah.","M|Uh, yeah, yeah."
40,B,"Yeah. Well I had, I had a German Shepherd before this one and when she died it just, it just absolutely destroyed me. I mean I was just, you know,","B|Yeah. Well I had, I had a German Shepherd before this one and when she died it just, it just absolutely destroyed me. I mean I was just, you know,"
41,M,"No, I'm pretty sure it's a shepard.","M|No, I'm pretty sure it's a shepard."
42,B,"I couldn't even talk about it for months and so I decided well that's it, I'm not going to do this anymore","B|I couldn't even talk about it for months and so I decided well that's it, I'm not going to do this anymore"
43,M,I can't even speak English right now.,M|I can't even speak English right now.
44,B,"And then God gave me this dog, so","B|And then God gave me this dog, so"
45,M,This dog is the best dog ever.,M|This dog is the best dog ever.
46,B,Uh-huh.,B|Uh-huh.
47,M,"Uhh, huuuuh.","M|Uhh, huuuuh."
48,B,Yeah.,B|Yeah.
49,M,"Uhh,","M|Uhh,"
50,B,"Okay, yeah. Well you just do,","B|Okay, yeah. Well you just do,"
51,M,I don't wanna talk about it.,M|I don't wanna talk about it.
52,B,"you can't help it's like, it's like a kid.","B|you can't help it's like, it's like a kid."
53,M,I think you're right.,M|I think you're right.
54,B,"Yeah, well when, uh, my, my doggie, uh, that we have now, uh, she's, she's mostly Golden Retriever.","B|Yeah, well when, uh, my, my doggie, uh, that we have now, uh, she's, she's mostly Golden Retriever."
55,M,You're all wrong.,M|You're all wrong.
56,B,"The vet called her, uh, a golden mix","B|The vet called her, uh, a golden mix"
57,M,You don't have a golden retriever?,M|You don't have a golden retriever?
58,B,"like who knows, you know.","B|like who knows, you know."
