,Speaker,Utterance,Unified
5,B,It's eighty eighty-eight?,B|It's eighty eighty-eight?
6,M,You're a joke.,M|You're a joke.
7,B,"Okay. Uh what type of, uh, utilizations do you make of it? Word processing obviously.","B|Okay. Uh what type of, uh, utilizations do you make of it? Word processing obviously."
8,M,The only thing that's different is that it's an English based site.,M|The only thing that's different is that it's an English based site.
9,B,"Okay. Uh, I use them both here at work and at home.","B|Okay. Uh, I use them both here at work and at home."
10,M,I don't know what you're talking about.,M|I don't know what you're talking about.
11,B,And I have I B M clones in both cases.,B|And I have I B M clones in both cases.
12,M,"uhh, what do you mean?","M|uhh, what do you mean?"
13,B,Here at work I have the T I one thousand which is a three eighty-six base machine.,B|Here at work I have the T I one thousand which is a three eighty-six base machine.
14,M,There's a T I clone in the box that's the same thing.,M|There's a T I clone in the box that's the same thing.
15,B,"Yes, it is. Uh, unfortunately I need all of it.","B|Yes, it is. Uh, unfortunately I need all of it."
16,M,Is the GX clone a clone?,M|Is the GX clone a clone?
17,B,"Uh, for example, I was messing around with a spreadsheet this weekend that's a third of a meg in beta size.","B|Uh, for example, I was messing around with a spreadsheet this weekend that's a third of a meg in beta size."
18,M,This is how you get a million people to download it.,M|This is how you get a million people to download it.
19,B,"And that, I know that, uh, brings an eighty eighty-eight machine to its knees because I had taken it over from a friend who was working on it and he had a two eighty-six machine,","B|And that, I know that, uh, brings an eighty eighty-eight machine to its knees because I had taken it over from a friend who was working on it and he had a two eighty-six machine,"
20,M,"I'm sorry, I'm not sure what you're asking.","M|I'm sorry, I'm not sure what you're asking."
21,B,and it brought it to its knees. Just in the ability to handle.,B|and it brought it to its knees. Just in the ability to handle.
22,M,"Well, it was a good game.","M|Well, it was a good game."
23,B,"And then I have, uh, a three eighty-six F X a sixteen bit machine, at home.","B|And then I have, uh, a three eighty-six F X a sixteen bit machine, at home."
24,M,"You have, uh, a twelve inch machine, in your bedroom.","M|You have, uh, a twelve inch machine, in your bedroom."
25,B,And I'm really pleased with it.,B|And I'm really pleased with it.
26,M,Uhhh... so you've never heard of it?,M|Uhhh... so you've never heard of it?
27,B,"It manages to take care of all my home needs in terms of word processing and spreadsheets and, uh, databases, database searches.","B|It manages to take care of all my home needs in terms of word processing and spreadsheets and, uh, databases, database searches."
28,M,"I'm really, uh, impressed with it.","M|I'm really, uh, impressed with it."
29,B,"Uh, what I've gotten into more recently are the tools to use them. Have you,","B|Uh, what I've gotten into more recently are the tools to use them. Have you,"
30,M,"That's what I'm thinking.Uhh, what about the tools for word processing?","M|That's what I'm thinking.Uhh, what about the tools for word processing?"
