,Speaker,Utterance,Unified
5,M,I walk.,M|I walk.
6,B,"but Washington is one of my favorite places to visit. Uh, my daughter lives in Arlington, and when I go to visit her, I love to get out on that bike trail, and either ride the bike, oh, gosh, you can ride a bike practically all the way to Southern Virginia or just get out and walk, uh, or even jog a little, although I don't do that regularly.","B|but Washington is one of my favorite places to visit. Uh, my daughter lives in Arlington, and when I go to visit her, I love to get out on that bike trail, and either ride the bike, oh, gosh, you can ride a bike practically all the way to Southern Virginia or just get out and walk, uh, or even jog a little, although I don't do that regularly."
7,M,,M|
8,B,But Washington's a great place to do that.,B|But Washington's a great place to do that.
9,M,So what?,M|So what?
10,B,Uh-huh.,B|Uh-huh.
11,M,He's the canal,M|He's the canal
12,B,Right.,B|Right.
13,M,Do you mean the bike path?,M|Do you mean the bike path?
14,B,Do you live in the District?,B|Do you live in the District?
15,M,You can do it!,M|You can do it!
16,B,Because I think there're so many parts of the District where it's not very safe to get out and walk.,B|Because I think there're so many parts of the District where it's not very safe to get out and walk.
17,M,Why would anyone go to DC?,M|Why would anyone go to DC?
18,B,Uh-huh.,B|Uh-huh.
19,M,"I mean, if you can't find a safe place to walk, then it's no bueno.","M|I mean, if you can't find a safe place to walk, then it's no bueno."
20,B,"Well, it's, uh, it's really both. I'm certainly driven by the desire to maintain my weight and be healthy and be in shape, and, uh, and most of the time I enjoy it. Sometimes I don't, but I feel that, uh, that the discipline it affords me when I do it when I don't want to is also worth something.","B|Well, it's, uh, it's really both. I'm certainly driven by the desire to maintain my weight and be healthy and be in shape, and, uh, and most of the time I enjoy it. Sometimes I don't, but I feel that, uh, that the discipline it affords me when I do it when I don't want to is also worth something."
21,M,...,M|...
22,B,"And I often find that even when I don't feel that much like exercising, like I'll be really tired, and I'll start swimming, and I'll, and I'll actually get energy. And I'll be, have much more energy when I'm done than when I started, I mean, I just feel great. That happens to me probably one in four or five times that I swim.","B|And I often find that even when I don't feel that much like exercising, like I'll be really tired, and I'll start swimming, and I'll, and I'll actually get energy. And I'll be, have much more energy when I'm done than when I started, I mean, I just feel great. That happens to me probably one in four or five times that I swim."
23,M,you,M|you
24,B,"And that's really a terrific feeling, because you just go there at the end of the day, and you figure, God, I'm ready for bed and you exercise and then, it's sort of painful for a while,","B|And that's really a terrific feeling, because you just go there at the end of the day, and you figure, God, I'm ready for bed and you exercise and then, it's sort of painful for a while,"
25,M,that,M|that
26,B,but by the time you get done you feeling really terrific.,B|but by the time you get done you feeling really terrific.
27,M,I think of course.,M|I think of course.
28,B,"Yeah, yeah.","B|Yeah, yeah."
29,M,...,M|...
30,B,"So, can I just ask you, are you Canadian?","B|So, can I just ask you, are you Canadian?"
31,M,"No, I'm sorry.","M|No, I'm sorry."
32,B,Philadelphia?,B|Philadelphia?
33,M,Where do you live?,M|Where do you live?
34,B,"I'm trying to because you have a, you have one funny vowel that's probably going to drive the T I people crazy.","B|I'm trying to because you have a, you have one funny vowel that's probably going to drive the T I people crazy."
35,M,It's a funny vowel.,M|It's a funny vowel.
36,B,"Say out, instead of out you say out. Did you know that?","B|Say out, instead of out you say out. Did you know that?"
37,M,TIL there are people in Philadelphia,M|TIL there are people in Philadelphia
38,B,Huh.,B|Huh.
39,M,"I, uh, don't think so.","M|I, uh, don't think so."
40,B,"Huh. I see. I know this isn't on our topic, but where did you grow up in California?","B|Huh. I see. I know this isn't on our topic, but where did you grow up in California?"
41,M,Nope. You don't.,M|Nope. You don't.
42,B,"Oh, okay, because I grew up in North Hollywood, California went to U C L A and all that.","B|Oh, okay, because I grew up in North Hollywood, California went to U C L A and all that."
43,M,I live in California.,M|I live in California.
44,B,Yes.,B|Yes.
45,M,Is that a good thing?,M|Is that a good thing?
46,B,"Well, same here. Thanks for calling.","B|Well, same here. Thanks for calling."
47,M,"I've been in a few, I have no idea what I'm doing.","M|I've been in a few, I have no idea what I'm doing."
48,B,Bye.,B|Bye.
49,M,See you.Later.,M|See you.Later.
