,Speaker,Utterance,Unified
5,B,"Oh, definitely.","B|Oh, definitely."
6,M,It.,M|It.
7,B,"Right. Yeah, yeah.","B|Right. Yeah, yeah."
8,M,I'm sorry,M|I'm sorry
9,B,"Yeah. Yeah, yeah.","B|Yeah. Yeah, yeah."
10,M,They don't really.,M|They don't really.
11,B,"Yeah, that sounds like a good idea. My only concern is what happens when you turn things over to the government, I don't know","B|Yeah, that sounds like a good idea. My only concern is what happens when you turn things over to the government, I don't know"
12,M,"I mean, I can't imagine that many people would actually be upset about this.","M|I mean, I can't imagine that many people would actually be upset about this."
13,B,"Do they wind up with more red tape, and more problems then?  Yeah,  yeah.","B|Do they wind up with more red tape, and more problems then?  Yeah,  yeah."
14,M,"I'm pretty sure they have, but I don t know.","M|I'm pretty sure they have, but I don t know."
15,B,Uh-huh.,B|Uh-huh.
16,M,It's a lot easier to make a lot of money when you don't have to do anything.,M|It's a lot easier to make a lot of money when you don't have to do anything.
17,B,Oh.,B|Oh.
18,M,"Well, if you go through the rest of Europe you'll find a lot of them.","M|Well, if you go through the rest of Europe you'll find a lot of them."
19,B,Yeah.,B|Yeah.
20,M,It's interesting that you can tell when people are being sarcastic.,M|It's interesting that you can tell when people are being sarcastic.
21,B,Wow.,B|Wow.
22,M,You can be a medic if you have a heart attack.,M|You can be a medic if you have a heart attack.
23,B,"Yeah. Well, I think part of the, the tremendous benefit of that is that there's so many people who wait now because they don't have the money, until, you know, they have no preventative measures People, um, you know, just go on and on and on. I mean, so many people don't even get prenatal care or, and it just extends with if it, what would be a minor problem to deal with if they had a help available early on becomes just this horrendous, you know, burden on the taxpayers. They're saying now that one out of every ten child born in public hospitals is addicted to crack.","B|Yeah. Well, I think part of the, the tremendous benefit of that is that there's so many people who wait now because they don't have the money, until, you know, they have no preventative measures People, um, you know, just go on and on and on. I mean, so many people don't even get prenatal care or, and it just extends with if it, what would be a minor problem to deal with if they had a help available early on becomes just this horrendous, you know, burden on the taxpayers. They're saying now that one out of every ten child born in public hospitals is addicted to crack."
24,M,,M|
25,B,"Well, you know","B|Well, you know"
26,M,...,M|...
27,B,Uh-huh.,B|Uh-huh.
28,M,Why,M|Why
29,B,Yeah.,B|Yeah.
30,M,"You mean, like, you just","M|You mean, like, you just"
31,B,"Yeah,  yeah.","B|Yeah,  yeah."
32,M,The young people are robbing,M|The young people are robbing
33,B,"Oh, it's unbelievable how much you go through. When I just had a problem with my neck and they ended up doing a seven hundred dollar CAT scan, and, I mean, a chiropractor got it in one time","B|Oh, it's unbelievable how much you go through. When I just had a problem with my neck and they ended up doing a seven hundred dollar CAT scan, and, I mean, a chiropractor got it in one time"
34,M,,M|
35,B,it was just strange.,B|it was just strange.
36,M,It's just strange.,M|It's just strange.
37,B,"Oh, well, that should help.","B|Oh, well, that should help."
38,M,i have the problem of the cat being in the same room,M|i have the problem of the cat being in the same room
39,B,Yeah,B|Yeah
40,M,I'm not sure. I think it was a joke.,M|I'm not sure. I think it was a joke.
41,B,"Oh I see  Oh, gosh.","B|Oh I see  Oh, gosh."
42,M,"I've never heard of that, I was just thinking about it.","M|I've never heard of that, I was just thinking about it."
43,B,"Okay, well","B|Okay, well"
44,M,I'm not even sure.,M|I'm not even sure.
45,B,"Okay,  thank you. Bye-bye","B|Okay,  thank you. Bye-bye"
46,M,I see.,M|I see.
