,Speaker,Utterance,Unified
5,B,Yeah. It's,B|Yeah. It's
6,M,"Oh,","M|Oh,"
7,B,Uh-huh.,B|Uh-huh.
8,M,He.,M|He.
9,B,"Oh, really?","B|Oh, really?"
10,M,He has a lot of time.,M|He has a lot of time.
11,B,Uh-huh.,B|Uh-huh.
12,M,So what happens if he goes to the senior center and says I need to get some help?,M|So what happens if he goes to the senior center and says I need to get some help?
13,B,Right.,B|Right.
14,M,I think it's the other way around.,M|I think it's the other way around.
15,B,To put her in a rest home?,B|To put her in a rest home?
16,M,Why is she still in the house?,M|Why is she still in the house?
17,B,"Um, well, see it's more my grandma that feels that way.","B|Um, well, see it's more my grandma that feels that way."
18,M,"Oh, okay.","M|Oh, okay."
19,B,"She says that when her husband died that he said, oh, that my uncle had said that he would never put her in a rest home. So it's kind of, uh, I don't know. I mean, I don't, I don't think my parents would but she is getting pretty bad like she has to have like a little toilet right by her bed and, it's,","B|She says that when her husband died that he said, oh, that my uncle had said that he would never put her in a rest home. So it's kind of, uh, I don't know. I mean, I don't, I don't think my parents would but she is getting pretty bad like she has to have like a little toilet right by her bed and, it's,"
20,M,Why?,M|Why?
21,B,"and my mom has to take care of her pretty much so it gets, I don't know. It's, it's a hard decision, but I don't think I would do it to my parents personally","B|and my mom has to take care of her pretty much so it gets, I don't know. It's, it's a hard decision, but I don't think I would do it to my parents personally"
22,M,"I'm so, I'm...","M|I'm so, I'm..."
23,B,When he retired?,B|When he retired?
24,M,I,M|I
25,B,"Yeah, it's like that good for us just because my uncle and my, and my mom switch off like we have her for three months and then he has her for three months.","B|Yeah, it's like that good for us just because my uncle and my, and my mom switch off like we have her for three months and then he has her for three months."
26,M,You,M|You
27,B,"So that, that works out good.","B|So that, that works out good."
28,M,"I'm gonna be in the hospital, I'm gonna have","M|I'm gonna be in the hospital, I'm gonna have"
29,B,Uh-huh.,B|Uh-huh.
30,M,"Yeah, and then I can","M|Yeah, and then I can"
31,B,Really?,B|Really?
32,M,I'm?,M|I'm?
33,B,Uh-huh.,B|Uh-huh.
34,M,... You know.,M|... You know.
35,B,Uh-huh.,B|Uh-huh.
36,M,"Ugh, I know.","M|Ugh, I know."
37,B,"You think? I, I I'm not really familiar with how other countries,","B|You think? I, I I'm not really familiar with how other countries,"
38,M,"And here I am, in the US, where it's like the first time you've seen a baby, you know, before.","M|And here I am, in the US, where it's like the first time you've seen a baby, you know, before."
39,B,They're seen as senile,B|They're seen as senile
40,M,"No,","M|No,"
41,B,Right.,B|Right.
42,M,"You mean you like, you know.","M|You mean you like, you know."
43,B,Uh-huh.,B|Uh-huh.
44,M,"And I'm a pretty young person, so I can't really say that's a problem.","M|And I'm a pretty young person, so I can't really say that's a problem."
45,B,Right.,B|Right.
46,M,It's incredible.,M|It's incredible.
47,B,Uh-huh. I know.,B|Uh-huh. I know.
48,M,"I'm sorry, but what is the point of this?","M|I'm sorry, but what is the point of this?"
49,B,"Um, I'm twenty.","B|Um, I'm twenty."
50,M,I'm 26.,M|I'm 26.
51,B,"Yeah, it's, it really is but, and she, she drives us","B|Yeah, it's, it really is but, and she, she drives us"
