,Speaker,Utterance,Unified
5,B,Oh.,B|Oh.
6,M,Yeah. I'm sorry.,M|Yeah. I'm sorry.
7,B,"Oh, wow.","B|Oh, wow."
8,M,It's an old car.,M|It's an old car.
9,B,"Well, I really, the last car we got was a, was a used car. I really don't prefer buying a new car. I like to let somebody else pay for that","B|Well, I really, the last car we got was a, was a used car. I really don't prefer buying a new car. I like to let somebody else pay for that"
10,M,"I'm not sure I'd ever buy a used vehicle, especially a used one.","M|I'm not sure I'd ever buy a used vehicle, especially a used one."
11,B,"But, uh mine was a year old,","B|But, uh mine was a year old,"
12,M,"Well, I've got a new one for you.","M|Well, I've got a new one for you."
13,B,"and we bought it for very functional purposes,","B|and we bought it for very functional purposes,"
14,M,That's not the point of the post,M|That's not the point of the post
15,B,"and that was we bought a station wagon. We wanted an economical car to operate,","B|and that was we bought a station wagon. We wanted an economical car to operate,"
16,M,"Uhh... no, they don't.","M|Uhh... no, they don't."
17,B,"but we wanted one that could carry a lot of equipment. So, we chose a Nissan Stanza wagon.","B|but we wanted one that could carry a lot of equipment. So, we chose a Nissan Stanza wagon."
18,M,uuhuh. Why?,M|uuhuh. Why?
19,B,"And I've never been sorry,","B|And I've never been sorry,"
20,M,I've been sorry,M|I've been sorry
21,B,"however the need for that kind of car has changed now,","B|however the need for that kind of car has changed now,"
22,M,I'm sorry.,M|I'm sorry.
23,B,"and, uh, while it is still good, and it's quite serviceable, and I'll drive it until it no longer is reliable.","B|and, uh, while it is still good, and it's quite serviceable, and I'll drive it until it no longer is reliable."
24,M,"And, while it's still good, it's not reliable.","M|And, while it's still good, it's not reliable."
25,B,And probably then some I'll spend a lot of time praying over it before I give it up.,B|And probably then some I'll spend a lot of time praying over it before I give it up.
26,M,"Ugh. I'm sorry, but I don't think it's worth the trouble.","M|Ugh. I'm sorry, but I don't think it's worth the trouble."
27,B,"I think that I would like to, if you know, we all say, if I could have the car I always wanted I would either buy a Nissan Maxima, uh,","B|I think that I would like to, if you know, we all say, if I could have the car I always wanted I would either buy a Nissan Maxima, uh,"
28,M,You're just asking for it.,M|You're just asking for it.
29,B,I'm sold on Nissans.,B|I'm sold on Nissans.
