,Speaker,Utterance,Unified
5,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
6,M,,M|
7,B,"Where are you?  See,  Well, we've got a lot too. I'm in Texas.","B|Where are you?  See,  Well, we've got a lot too. I'm in Texas."
8,M,'.,M|'.
9,B,"In Garland, right outside of Dallas.","B|In Garland, right outside of Dallas."
10,M,I'm in Austin.,M|I'm in Austin.
11,B,"So, we're getting a large oh, gosh, I don't know, I think there's like twenty-six different languages now, that are spoken in I, the I S D. Dallas Innercity School District.","B|So, we're getting a large oh, gosh, I don't know, I think there's like twenty-six different languages now, that are spoken in I, the I S D. Dallas Innercity School District."
12,M,... and we're going to have a huge event.,M|... and we're going to have a huge event.
13,B,"Cambodians, uh, Asians, Vietnamese. We, we're getting a lot of, uh, Mexican Americans, you know, we've had,  those for a long time.","B|Cambodians, uh, Asians, Vietnamese. We, we're getting a lot of, uh, Mexican Americans, you know, we've had,  those for a long time."
14,M,Hahaha! I'll be there all week,M|Hahaha! I'll be there all week
15,B,"Yes, oh, yes. to child in No, I'm busy right now, Steven. Steven wants me to do popcorn right now.","B|Yes, oh, yes. to child in No, I'm busy right now, Steven. Steven wants me to do popcorn right now."
16,M,"I can't, you?","M|I can't, you?"
17,B,to Okay. And I don't know what the solution is.,B|to Okay. And I don't know what the solution is.
18,M,Oh. Uh.,M|Oh. Uh.
19,B,"To get them on their,  Yeah.","B|To get them on their,  Yeah."
20,M,You're too,M|You're too
21,B,"Right,","B|Right,"
22,M,"I'm sorry, I'm sorry","M|I'm sorry, I'm sorry"
23,B,Um.,B|Um.
24,M,,M|
25,B,Uh-huh.,B|Uh-huh.
26,M,,M|
27,B,"And there's a lot of graft, like people trying to tell them, oh, giving them information that was free to them anyway if they just knew how to get it.","B|And there's a lot of graft, like people trying to tell them, oh, giving them information that was free to them anyway if they just knew how to get it."
28,M,,M|
29,B,Yeah.,B|Yeah.
30,M,Do you have any,M|Do you have any
31,B,Right.,B|Right.
32,M,It's not like they're American.,M|It's not like they're American.
33,B,"You mean, really trying to plant something? That's what you're saying?","B|You mean, really trying to plant something? That's what you're saying?"
34,M,,M|
35,B,Farming?,B|Farming?
36,M,,M|
37,B,Oh.,B|Oh.
38,M,You have to make your own food.,M|You have to make your own food.
39,B,Oh that's terrible.,B|Oh that's terrible.
40,M,The kids in the town are also getting thrown out of school.,M|The kids in the town are also getting thrown out of school.
41,B,Uh-huh.,B|Uh-huh.
42,M,Oh.Oh. Oh.,M|Oh.Oh. Oh.
43,B,And not being cared for.,B|And not being cared for.
44,M,,M|
45,B,Yeah. That's true.,B|Yeah. That's true.
46,M,I,M|I
47,B,"Well, what did you do when you helped these people?","B|Well, what did you do when you helped these people?"
48,M,"... well, I'm a little bit older than you, and my parents are dead.","M|... well, I'm a little bit older than you, and my parents are dead."
49,B,"How did you, what did you do,","B|How did you, what did you do,"
