,Speaker,Utterance,Unified
5,B,Uh ...,B|Uh ...
6,M,"Yeah, uh, yea.","M|Yeah, uh, yea."
7,B,"Oh, uh, I was tested, uh, within my company. I think it's kind of a push to, uh, weed out drugs in states and, because I don't know of any other countries that are doing this","B|Oh, uh, I was tested, uh, within my company. I think it's kind of a push to, uh, weed out drugs in states and, because I don't know of any other countries that are doing this"
8,M,...,M|...
9,B,"and I, I feel like it's really just within the United States. It's, uh, it's okay. I think your record should stand for itself. That, you know, if you've been tested at other companies and you've always come up negative or whatever, then I don't see what the big deal is that they have to go to all the expense of testing you over and over and over.","B|and I, I feel like it's really just within the United States. It's, uh, it's okay. I think your record should stand for itself. That, you know, if you've been tested at other companies and you've always come up negative or whatever, then I don't see what the big deal is that they have to go to all the expense of testing you over and over and over."
10,M,you.,M|you.
11,B,"And once you've established the fact that you're not a drug user and especially if your personality proves that you're not. I think they could, uh, save money by not doing that. You know, every time, say if you change jobs you wouldn't have to do it if you'd just been tested at your other work place.","B|And once you've established the fact that you're not a drug user and especially if your personality proves that you're not. I think they could, uh, save money by not doing that. You know, every time, say if you change jobs you wouldn't have to do it if you'd just been tested at your other work place."
12,M,,M|
13,B,Oh.,B|Oh.
14,M,I.,M|I.
15,B,"Uh, not if it's done fairly. And that's probably my question is, how, how do you know it's done fairly.","B|Uh, not if it's done fairly. And that's probably my question is, how, how do you know it's done fairly."
16,M,You're welcome.,M|You're welcome.
17,B,Yeah.,B|Yeah.
18,M,It's random.,M|It's random.
19,B,"Well, they might tell you it's random.","B|Well, they might tell you it's random."
20,M,Because it's not fair,M|Because it's not fair
21,B,"But then, you know, it's kind of like a, a lottery. Somebody in their lifetime may win millions of dollars where another person doesn't win anything, and tries and tries and tries. You know.","B|But then, you know, it's kind of like a, a lottery. Somebody in their lifetime may win millions of dollars where another person doesn't win anything, and tries and tries and tries. You know."
22,M,It's not that hard to do.,M|It's not that hard to do.
23,B,"Oh, I see. How'd, how did they, how do they pick their people?","B|Oh, I see. How'd, how did they, how do they pick their people?"
24,M,Because it's a random.org poll.,M|Because it's a random.org poll.
25,B,Uh-huh.,B|Uh-huh.
26,M,What does a college,M|What does a college
27,B,"Oh, I see. So, do you ...","B|Oh, I see. So, do you ..."
28,M,"I think you are thinking of the NCAA, the one that is responsible for the NCAA's drug","M|I think you are thinking of the NCAA, the one that is responsible for the NCAA's drug"
29,B,"Right. Well, do you think that should be implemented in the work place. You know, as like a manager or supervisor thinks or has suspicion that someone is using drugs, do you think they should have the right to send them to be tested.","B|Right. Well, do you think that should be implemented in the work place. You know, as like a manager or supervisor thinks or has suspicion that someone is using drugs, do you think they should have the right to send them to be tested."
30,M,,M|
31,B,Right.,B|Right.
32,M,I think it should be possible to send people who use drugs to test them,M|I think it should be possible to send people who use drugs to test them
33,B,Right.,B|Right.
34,M,Right.,M|Right.
35,B,"Right, right. Yeah, it, it would almost be like a, a, uh ...","B|Right, right. Yeah, it, it would almost be like a, a, uh ..."
36,M,They would be mad at you if you did.,M|They would be mad at you if you did.
37,B,"Uh-huh. And then how would you feel afterwards when you came up negative and, you know, your supervisor has accused you of using drugs.","B|Uh-huh. And then how would you feel afterwards when you came up negative and, you know, your supervisor has accused you of using drugs."
38,M,How would you react,M|How would you react
39,B,"Right. I agree with that. Because I know personally myself, I've been in the same job for three years, it will be three years in August and I've already been drug tested three times.","B|Right. I agree with that. Because I know personally myself, I've been in the same job for three years, it will be three years in August and I've already been drug tested three times."
40,M,I,M|I
41,B,"Well, I'm an environmental engineer","B|Well, I'm an environmental engineer"
42,M,What?,M|What?
43,B,"and I've been drug tested three times and I know many people that have never been tested in their lifetime and the company I work for is sixty thousand people, plus. So see I, for some reason, I've come up three times. That's pretty high statistics.","B|and I've been drug tested three times and I know many people that have never been tested in their lifetime and the company I work for is sixty thousand people, plus. So see I, for some reason, I've come up three times. That's pretty high statistics."
44,M,High? No.,M|High? No.
45,B,"No. No, not at all.","B|No. No, not at all."
46,M,Do you think that's how it works?,M|Do you think that's how it works?
47,B,"It's a legal job, you know","B|It's a legal job, you know"
48,M,I'm not sure what I'm doing.,M|I'm not sure what I'm doing.
49,B,"so, see it's really strange.","B|so, see it's really strange."
50,M,I don't know.,M|I don't know.
51,B,"Oh, uh-huh.","B|Oh, uh-huh."
52,M,"It's weird. I've never seen a doctor in the world of medicine, but I've seen doctors and nurses.","M|It's weird. I've never seen a doctor in the world of medicine, but I've seen doctors and nurses."
53,B,"Right. Well, does your, the company say, for instance, does the company you worked for before have the right or do they have the ability to say, hey, we've already drug tested her and she came up negative.","B|Right. Well, does your, the company say, for instance, does the company you worked for before have the right or do they have the ability to say, hey, we've already drug tested her and she came up negative."
54,M,This?,M|This?
55,B,Yeah.,B|Yeah.
56,M,Drug test,M|Drug test
57,B,"Right, right.","B|Right, right."
58,M,You're right.They can't force another drug company to drug test you.,M|You're right.They can't force another drug company to drug test you.
59,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
60,M,I don't remember this.,M|I don't remember this.
61,B,Uh-huh. Yeah. And are they tested random?,B|Uh-huh. Yeah. And are they tested random?
62,M,"I mean, you can be tested.","M|I mean, you can be tested."
63,B,They're ...,B|They're ...
64,M,Uuhhh uhuh. Uhuhuhuh,M|Uuhhh uhuh. Uhuhuhuh
65,B,"Oh, okay. I see.","B|Oh, okay. I see."
66,M,The items are random.,M|The items are random.
67,B,Yeah.,B|Yeah.
68,M,... do you have any job?,M|... do you have any job?
69,B,Uh-huh. Uh-huh.,B|Uh-huh. Uh-huh.
70,M,What are you talking about?,M|What are you talking about?
71,B,"Oh, I see.","B|Oh, I see."
72,M,"Because the drug test is in the USA, and there is no drug testing for a drug test in the UK.","M|Because the drug test is in the USA, and there is no drug testing for a drug test in the UK."
73,B,"Uh-huh. Okay, so they know that. And that's ...","B|Uh-huh. Okay, so they know that. And that's ..."
74,M,You're on the way to the drug test.,M|You're on the way to the drug test.
75,B,Uh-huh. Okay. Well ...,B|Uh-huh. Okay. Well ...
76,M,"Well, we know what's up.","M|Well, we know what's up."
77,B,Yeah,B|Yeah
78,M,You... uh... you don't know?,M|You... uh... you don't know?
79,B,"I think so. Yeah, seven twenty-five.","B|I think so. Yeah, seven twenty-five."
80,M,Yeah. Yeah.,M|Yeah. Yeah.
